loxodonta_africana ENSLAFG00000005402
procavia_capensis ENSPCAG00000015540
microtus_ochrogaster ENSMOCG00000004769
microtus_ochrogaster ENSMOCG00000019495
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024795
prolemur_simus ENSPSMG00000002819
homo_sapiens ENSG00000101204
gorilla_gorilla ENSGGOG00000008378
pan_paniscus ENSPPAG00000037528
pan_troglodytes ENSPTRG00000013735
pongo_abelii ENSPPYG00000011231
nomascus_leucogenys ENSNLEG00000026877
piliocolobus_tephrosceles ENSPTEG00000003466
colobus_angolensis_palliatus ENSCANG00000041845
rhinopithecus_bieti ENSRBIG00000040880
rhinopithecus_roxellana ENSRROG00000026578
theropithecus_gelada ENSTGEG00000008857
papio_anubis ENSPANG00000011181
macaca_fascicularis ENSMFAG00000000312
macaca_mulatta ENSMMUG00000015916
macaca_nemestrina ENSMNEG00000002400
mandrillus_leucophaeus ENSMLEG00000035637
cercocebus_atys ENSCATG00000044554
cebus_capucinus ENSCCAG00000026573
saimiri_boliviensis_boliviensis ENSSBOG00000029663
callithrix_jacchus ENSCJAG00000010168
aotus_nancymaae ENSANAG00000009699
carlito_syrichta ENSTSYG00000037562
propithecus_coquereli ENSPCOG00000017991
microcebus_murinus ENSMICG00000035086
otolemur_garnettii ENSOGAG00000003054
mus_spicilegus ENSMSIG00000014109
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025720
mus_musculus ENSMUSG00000027577
mus_pahari MGP_PahariEiJ_G0026242
rattus_norvegicus ENSRNOG00000011202
meriones_unguiculatus ENSMUGG00000001369
meriones_unguiculatus ENSMUGG00000006038
cricetulus_griseus_chok1gshd ENSCGRG00001016463
cricetulus_griseus_crigri ENSCGRG00000012255
cricetulus_griseus_crigri-picr ENSCGRG00015016569
mesocricetus_auratus ENSMAUG00000001465
peromyscus_maniculatus_bairdii ENSPEMG00000003527
nannospalax_galili ENSNGAG00000016193
jaculus_jaculus ENSJJAG00000018512
castor_canadensis ENSCCNG00000021264
dipodomys_ordii ENSDORG00000023973
chinchilla_lanigera ENSCLAG00000002115
octodon_degus ENSODEG00000004088
cavia_aperea ENSCAPG00000006403
cavia_porcellus ENSCPOG00000010559
heterocephalus_glaber_female ENSHGLG00000013659
heterocephalus_glaber_male ENSHGLG00100017622
fukomys_damarensis ENSFDAG00000015955
spermophilus_dauricus ENSSDAG00000007322
urocitellus_parryii ENSUPAG00010004850
ictidomys_tridecemlineatus ENSSTOG00000028017
marmota_marmota_marmota ENSMMMG00000002798
ailuropoda_melanoleuca ENSAMEG00000001515
