maylandia_zebra ENSMZEG00005021367
astatotilapia_calliptera ENSACLG00000017685
haplochromis_burtoni ENSHBUG00000018651
pundamilia_nyererei ENSPNYG00000011937
neolamprologus_brichardi ENSNBRG00000022490
oreochromis_niloticus ENSONIG00000006616
amphilophus_citrinellus ENSACIG00000015638
amphiprion_ocellaris ENSAOCG00000008542
amphiprion_percula ENSAPEG00000010795
acanthochromis_polyacanthus ENSAPOG00000019401
anabas_testudineus ENSATEG00000006079
mastacembelus_armatus ENSMAMG00000014944
seriola_lalandi ENSSLDG00000018846
seriola_dumerili ENSSDUG00000014676
larimichthys_crocea ENSLCRG00005021159
danio_rerio ENSDARG00000069009
erpetoichthys_calabaricus ENSECRG00000005356
vombatus_ursinus ENSVURG00010024325
vombatus_ursinus ENSVURG00010023827
phascolarctos_cinereus ENSPCIG00000003595
notamacropus_eugenii ENSMEUG00000004836
sarcophilus_harrisii ENSSHAG00000008671
monodelphis_domestica ENSMODG00000006479
homo_sapiens ENSG00000198912
gorilla_gorilla ENSGGOG00000013459
pan_paniscus ENSPPAG00000031126
pan_troglodytes ENSPTRG00000024207
pongo_abelii ENSPPYG00000001957
pongo_abelii ENSPPYG00000029423
nomascus_leucogenys ENSNLEG00000008148
colobus_angolensis ENSCANG00000014666
piliocolobus_tephrosceles ENSPTEG00000021853
rhinopithecus_bieti ENSRBIG00000043326
rhinopithecus_roxellana ENSRROG00000036910
mandrillus_leucophaeus ENSMLEG00000034653
cercocebus_atys ENSCATG00000032678
theropithecus_gelada ENSTGEG00000014616
papio_anubis ENSPANG00000008198
macaca_nemestrina ENSMNEG00000009614
macaca_fascicularis ENSMFAG00000043364
macaca_mulatta ENSMMUG00000015176
chlorocebus_sabaeus ENSCSAG00000000729
cebus_capucinus ENSCCAG00000029954
saimiri_boliviensis ENSSBOG00000025001
callithrix_jacchus ENSCJAG00000002869
aotus_nancymaae ENSANAG00000023356
carlito_syrichta ENSTSYG00000010726
propithecus_coquereli ENSPCOG00000009557
prolemur_simus ENSPSMG00000022431
microcebus_murinus ENSMICG00000033991
otolemur_garnettii ENSOGAG00000033420
castor_canadensis ENSCCNG00000025899
dipodomys_ordii ENSDORG00000027225
cricetulus_griseus ENSCGRG00015011931
cricetulus_griseus ENSCGRG00000009017
cricetulus_griseus ENSCGRG00001005878
mesocricetus_auratus ENSMAUG00000001481
peromyscus_maniculatus ENSPEMG00000020619
microtus_ochrogaster ENSMOCG00000015768
mus_musculus ENSMUSG00000047613
mus_spicilegus ENSMSIG00000014537
mus_spretus MGP_SPRETEiJ_G0027854
mus_caroli MGP_CAROLIEiJ_G0026861
mus_pahari MGP_PahariEiJ_G0029209
rattus_norvegicus ENSRNOG00000025034
meriones_unguiculatus ENSMUGG00000000047
nannospalax_galili ENSNGAG00000010909
jaculus_jaculus ENSJJAG00000015979
chinchilla_lanigera ENSCLAG00000008931
octodon_degus ENSODEG00000010932
cavia_porcellus ENSCPOG00000030695
cavia_aperea ENSCAPG00000008754
heterocephalus_glaber ENSHGLG00100007794
heterocephalus_glaber ENSHGLG00000019128
urocitellus_parryii ENSUPAG00010013501
marmota_marmota ENSMMMG00000018358
spermophilus_dauricus ENSSDAG00000023624
oryctolagus_cuniculus ENSOCUG00000001166
ochotona_princeps ENSOPRG00000012666
tupaia_belangeri ENSTBEG00000012707
ursus_maritimus ENSUMAG00000011142
ursus_americanus ENSUAMG00000012084
ailuropoda_melanoleuca ENSAMEG00000009169
neovison_vison ENSNVIG00000004404
mustela_putorius ENSMPUG00000007218
canis_lupus ENSCAFG00000019504
canis_lupus ENSCAFG00020009536
vulpes_vulpes ENSVVUG00000027059
panthera_pardus ENSPPRG00000001986
felis_catus ENSFCAG00000011635
equus_caballus ENSECAG00000020498
equus_asinus ENSEASG00005021772
myotis_lucifugus ENSMLUG00000000641
pteropus_vampyrus ENSPVAG00000016146
capra_hircus ENSCHIG00000022147
ovis_aries ENSOARG00000014534
bos_indicus ENSBIXG00000019117
bos_indicus ENSBIXG00005016454
bos_taurus ENSBTAG00000024520
bos_mutus ENSBMUG00000001259
bison_bison ENSBBBG00000018774
sus_scrofa ENSSSCG00000031102
tursiops_truncatus ENSTTRG00000011760
loxodonta_africana ENSLAFG00000011634
echinops_telfairi ENSETEG00000011295
dasypus_novemcinctus ENSDNOG00000032779
dasypus_novemcinctus ENSDNOG00000034960
choloepus_hoffmanni ENSCHOG00000002838
ornithorhynchus_anatinus ENSOANG00000013653
calidris_pygmaea ENSCPGG00000012891
calidris_pugnax ENSCPUG00000005070
melopsittacus_undulatus ENSMUNG00000013745
manacus_vitellinus ENSMVIG00005000597
lepidothrix_coronata ENSLCOG00000003442
junco_hyemalis ENSJHYG00000012388
zonotrichia_albicollis ENSZALG00000002978
lonchura_striata ENSLSDG00000006819
serinus_canaria ENSSCAG00000001086
parus_major ENSPMJG00000013299
anser_brachyrhynchus ENSABRG00000006000
anas_platyrhynchos ENSAPLG00000003376
gallus_gallus ENSGALG00000000975
coturnix_japonica ENSCJPG00005009345
meleagris_gallopavo ENSMGAG00000001599
numida_meleagris ENSNMEG00000004881
dromaius_novaehollandiae ENSDNVG00000018011
nothoprocta_perdicaria ENSNPEG00000005840
crocodylus_porosus ENSCPRG00005012263
gopherus_agassizii ENSGAGG00000022580
chelonoidis_abingdonii ENSCABG00000018200
chrysemys_picta ENSCPBG00000019391
pelodiscus_sinensis ENSPSIG00000004225
sphenodon_punctatus ENSSPUG00000010240
pogona_vitticeps ENSPVIG00000018075
xenopus_tropicalis ENSXETG00000014753
latimeria_chalumnae ENSLACG00000019095
callorhinchus_milii ENSCMIG00000002707
