haplochromis_burtoni ENSHBUG00000017997
pundamilia_nyererei ENSPNYG00000014781
astatotilapia_calliptera ENSACLG00000027662
maylandia_zebra ENSMZEG00005003702
amphilophus_citrinellus ENSACIG00000016770
scophthalmus_maximus ENSSMAG00000006460
mastacembelus_armatus ENSMAMG00000006651
monopterus_albus ENSMALG00000013548
seriola_dumerili ENSSDUG00000009094
seriola_lalandi_dorsalis ENSSLDG00000002363
gasterosteus_aculeatus ENSGACG00000003461
anabas_testudineus ENSATEG00000011074
hippocampus_comes ENSHCOG00000008072
cynoglossus_semilaevis ENSCSEG00000015066
labrus_bergylta ENSLBEG00000001470
periophthalmus_magnuspinnatus ENSPMGG00000003672
poecilia_latipinna ENSPLAG00000015894
poecilia_mexicana ENSPMEG00000019194
poecilia_formosa ENSPFOG00000008084
poecilia_reticulata ENSPREG00000004624
xiphophorus_couchianus ENSXCOG00000007432
xiphophorus_maculatus ENSXMAG00000029967
gambusia_affinis ENSGAFG00000008093
cyprinodon_variegatus ENSCVAG00000018555
fundulus_heteroclitus ENSFHEG00000011738
kryptolebias_marmoratus ENSKMAG00000012494
oryzias_latipes ENSORLG00020000603
oryzias_latipes ENSORLG00000030554
oryzias_latipes_asm223469v1 ENSORLG00015005518
oryzias_melastigma ENSOMEG00000017431
gadus_morhua ENSGMOG00000013853
esox_lucius ENSELUG00000020648
ictalurus_punctatus ENSIPUG00000002975
pygocentrus_nattereri ENSPNAG00000026148
paramormyrops_kingsleyae ENSPKIG00000024353
scleropages_formosus ENSSFOG00015021289
