mastacembelus_armatus ENSMAMG00000008197
monopterus_albus ENSMALG00000001721
anabas_testudineus ENSATEG00000009548
scophthalmus_maximus ENSSMAG00000004745
cynoglossus_semilaevis ENSCSEG00000007082
seriola_dumerili ENSSDUG00000016769
seriola_lalandi_dorsalis ENSSLDG00000024826
takifugu_rubripes ENSTRUG00000019689
tetraodon_nigroviridis ENSTNIG00000010836
mola_mola ENSMMOG00000005012
gasterosteus_aculeatus ENSGACG00000007246
oreochromis_niloticus ENSONIG00000008373
neolamprologus_brichardi ENSNBRG00000002104
haplochromis_burtoni ENSHBUG00000021873
pundamilia_nyererei ENSPNYG00000020267
maylandia_zebra ENSMZEG00005005326
astatotilapia_calliptera ENSACLG00000016476
amphilophus_citrinellus ENSACIG00000000239
amphiprion_percula ENSAPEG00000013488
amphiprion_ocellaris ENSAOCG00000004207
acanthochromis_polyacanthus ENSAPOG00000006332
stegastes_partitus ENSSPAG00000007292
hippocampus_comes ENSHCOG00000005941
xiphophorus_couchianus ENSXCOG00000015936
xiphophorus_maculatus ENSXMAG00000006120
gambusia_affinis ENSGAFG00000017520
poecilia_latipinna ENSPLAG00000023807
poecilia_formosa ENSPFOG00000022176
poecilia_mexicana ENSPMEG00000018335
fundulus_heteroclitus ENSFHEG00000005900
cyprinodon_variegatus ENSCVAG00000004424
kryptolebias_marmoratus ENSKMAG00000014033
oryzias_latipes ENSORLG00020006235
oryzias_latipes ENSORLG00000014684
oryzias_latipes_asm223469v1 ENSORLG00015018366
oryzias_melastigma ENSOMEG00000006905
periophthalmus_magnuspinnatus ENSPMGG00000009583
gadus_morhua ENSGMOG00000006313
esox_lucius ENSELUG00000008885
pygocentrus_nattereri ENSPNAG00000023112
astyanax_mexicanus ENSAMXG00000041317
ictalurus_punctatus ENSIPUG00000000672
danio_rerio ENSDARG00000038027
scleropages_formosus ENSSFOG00015012468
paramormyrops_kingsleyae ENSPKIG00000007375
anolis_carolinensis ENSACAG00000015549
pogona_vitticeps ENSPVIG00000024612
notechis_scutatus ENSNSUG00000005239
salvator_merianae ENSSMRG00000015701
sphenodon_punctatus ENSSPUG00000011564
gallus_gallus ENSGALG00000012410
coturnix_japonica ENSCJPG00005013637
meleagris_gallopavo ENSMGAG00000012548
numida_meleagris ENSNMEG00000011802
anser_brachyrhynchus ENSABRG00000002284
anas_platyrhynchos_platyrhynchos ENSAPLG00000030423
manacus_vitellinus ENSMVIG00005017999
lepidothrix_coronata ENSLCOG00000000392
lonchura_striata_domestica ENSLSDG00000006368
taeniopygia_guttata ENSTGUG00000010526
ficedula_albicollis ENSFALG00000012807
zonotrichia_albicollis ENSZALG00000006565
parus_major ENSPMJG00000007908
cyanistes_caeruleus ENSCCEG00000006142
junco_hyemalis ENSJHYG00000006086
serinus_canaria ENSSCAG00000004254
melopsittacus_undulatus ENSMUNG00000000728
calidris_pugnax ENSCPUG00000015359
calidris_pygmaea ENSCPGG00000018888
apteryx_owenii ENSAOWG00000010397
apteryx_rowi ENSARWG00000018022
apteryx_haastii ENSAHAG00000001454
dromaius_novaehollandiae ENSDNVG00000011450
nothoprocta_perdicaria ENSNPEG00000012397
crocodylus_porosus ENSCPRG00005018970
gopherus_agassizii ENSGAGG00000017727
chelonoidis_abingdonii ENSCABG00000001146
chrysemys_picta_bellii ENSCPBG00000023060
pelodiscus_sinensis ENSPSIG00000012103
notamacropus_eugenii ENSMEUG00000000228
phascolarctos_cinereus ENSPCIG00000034336
sarcophilus_harrisii ENSSHAG00000010453
monodelphis_domestica ENSMODG00000000273
spermophilus_dauricus ENSSDAG00000024392
ictidomys_tridecemlineatus ENSSTOG00000028960
urocitellus_parryii ENSUPAG00010004347
marmota_marmota_marmota ENSMMMG00000014881
heterocephalus_glaber_female ENSHGLG00000015482
heterocephalus_glaber_male ENSHGLG00100003937
fukomys_damarensis ENSFDAG00000000919
chinchilla_lanigera ENSCLAG00000016784
octodon_degus ENSODEG00000000101
cavia_porcellus ENSCPOG00000037340
cricetulus_griseus_crigri ENSCGRG00000007664
cricetulus_griseus_chok1gshd ENSCGRG00001016078
cricetulus_griseus_crigri-picr ENSCGRG00015002064
mesocricetus_auratus ENSMAUG00000020440
peromyscus_maniculatus_bairdii ENSPEMG00000010657
microtus_ochrogaster ENSMOCG00000021388
mus_musculus ENSMUSG00000033099
mus_spicilegus ENSMSIG00000021746
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020896
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019998
mus_pahari MGP_PahariEiJ_G0020000
rattus_norvegicus ENSRNOG00000010209
meriones_unguiculatus ENSMUGG00000019629
castor_canadensis ENSCCNG00000020545
oryctolagus_cuniculus ENSOCUG00000017013
ochotona_princeps ENSOPRG00000013360
pan_troglodytes ENSPTRG00000014345
pan_paniscus ENSPPAG00000032357
homo_sapiens ENSG00000273899
homo_sapiens ENSG00000100101
gorilla_gorilla ENSGGOG00000040937
pongo_abelii ENSPPYG00000011800
nomascus_leucogenys ENSNLEG00000014859
macaca_fascicularis ENSMFAG00000006832
macaca_nemestrina ENSMNEG00000016463
macaca_mulatta ENSMMUG00000047489
cercocebus_atys ENSCATG00000038470
chlorocebus_sabaeus ENSCSAG00000007256
theropithecus_gelada ENSTGEG00000012996
papio_anubis ENSPANG00000033918
colobus_angolensis_palliatus ENSCANG00000027973
piliocolobus_tephrosceles ENSPTEG00000021927
rhinopithecus_bieti ENSRBIG00000042117
rhinopithecus_roxellana ENSRROG00000037912
cebus_capucinus ENSCCAG00000033458
cebus_capucinus ENSCCAG00000034277
saimiri_boliviensis_boliviensis ENSSBOG00000036236
callithrix_jacchus ENSCJAG00000012487
callithrix_jacchus ENSCJAG00000005559
aotus_nancymaae ENSANAG00000025653
carlito_syrichta ENSTSYG00000036100
carlito_syrichta ENSTSYG00000027029
carlito_syrichta ENSTSYG00000008865
microcebus_murinus ENSMICG00000033461
prolemur_simus ENSPSMG00000015653
propithecus_coquereli ENSPCOG00000014514
otolemur_garnettii ENSOGAG00000008255
tupaia_belangeri ENSTBEG00000009745
capra_hircus ENSCHIG00000021736
ovis_aries ENSOARG00000013969
bos_taurus ENSBTAG00000051118
bos_mutus ENSBMUG00000009692
bison_bison_bison ENSBBBG00000005472
tursiops_truncatus ENSTTRG00000004799
