sus_scrofa ENSSSCG00000022295
bos_mutus ENSBMUG00000019426
panthera_tigris_altaica ENSPTIG00000017786
panthera_pardus ENSPPRG00000005928
felis_catus ENSFCAG00000014674
mus_spicilegus ENSMSIG00000011594
meriones_unguiculatus ENSMUGG00000012348
cricetulus_griseus_crigri-picr ENSCGRG00015006432
castor_canadensis ENSCCNG00000027436
theropithecus_gelada ENSTGEG00000020940
chlorocebus_sabaeus ENSCSAG00000014048
macaca_nemestrina ENSMNEG00000033466
macaca_fascicularis ENSMFAG00000030421
rhinopithecus_roxellana ENSRROG00000042717
