poecilia_latipinna ENSPLAG00000017417
poecilia_formosa ENSPFOG00000017108
poecilia_mexicana ENSPMEG00000017911
poecilia_mexicana ENSPMEG00000007437
poecilia_reticulata ENSPREG00000012680
xiphophorus_maculatus ENSXMAG00000003256
cyprinodon_variegatus ENSCVAG00000019389
kryptolebias_marmoratus ENSKMAG00000004031
stegastes_partitus ENSSPAG00000006625
anabas_testudineus ENSATEG00000002140
astatotilapia_calliptera ENSACLG00000002010
pundamilia_nyererei ENSPNYG00000023102
mastacembelus_armatus ENSMAMG00000009519
chelonoidis_abingdonii ENSCABG00000019204
gopherus_agassizii ENSGAGG00000008049
chrysemys_picta_bellii ENSCPBG00000006561
sphenodon_punctatus ENSSPUG00000012294
taeniopygia_guttata ENSTGUG00000013462
serinus_canaria ENSSCAG00000013816
junco_hyemalis ENSJHYG00000015818
lonchura_striata_domestica ENSLSDG00000009559
ficedula_albicollis ENSFALG00000008076
parus_major ENSPMJG00000001545
cyanistes_caeruleus ENSCCEG00000003551
erinaceus_europaeus ENSEEUG00000015913
