poecilia_reticulata ENSPREG00000006808
gambusia_affinis ENSGAFG00000016764
fundulus_heteroclitus ENSFHEG00000003453
oryzias_latipes ENSORLG00000030010
amphiprion_ocellaris ENSAOCG00000017847
astatotilapia_calliptera ENSACLG00000020841
haplochromis_burtoni ENSHBUG00000012345
seriola_dumerili ENSSDUG00000022301
cynoglossus_semilaevis ENSCSEG00000019025
takifugu_rubripes ENSTRUG00000019865
esox_lucius ENSELUG00000014178
paramormyrops_kingsleyae ENSPKIG00000024746
gallus_gallus ENSGALG00000035136
coturnix_japonica ENSCJPG00005001625
anas_platyrhynchos_platyrhynchos ENSAPLG00000017936
cyanistes_caeruleus ENSCCEG00000014560
parus_major ENSPMJG00000005283
manacus_vitellinus ENSMVIG00005019736
calidris_pygmaea ENSCPGG00000012167
crocodylus_porosus ENSCPRG00005015075
chrysemys_picta_bellii ENSCPBG00000008820
anolis_carolinensis ENSACAG00000012617
notechis_scutatus ENSNSUG00000007913
salvator_merianae ENSSMRG00000020733
loxodonta_africana ENSLAFG00000000828
procavia_capensis ENSPCAG00000002733
echinops_telfairi ENSETEG00000007024
choloepus_hoffmanni ENSCHOG00000005040
dasypus_novemcinctus ENSDNOG00000009465
pan_troglodytes ENSPTRG00000021260
pan_paniscus ENSPPAG00000036816
homo_sapiens ENSG00000165181
gorilla_gorilla ENSGGOG00000000911
pongo_abelii ENSPPYG00000019501
nomascus_leucogenys ENSNLEG00000016401
piliocolobus_tephrosceles ENSPTEG00000031979
colobus_angolensis_palliatus ENSCANG00000041819
rhinopithecus_roxellana ENSRROG00000041391
rhinopithecus_bieti ENSRBIG00000033439
theropithecus_gelada ENSTGEG00000028707
papio_anubis ENSPANG00000025760
cercocebus_atys ENSCATG00000011915
mandrillus_leucophaeus ENSMLEG00000029546
macaca_fascicularis ENSMFAG00000039780
macaca_mulatta ENSMMUG00000023307
macaca_nemestrina ENSMNEG00000036257
chlorocebus_sabaeus ENSCSAG00000012286
cebus_capucinus ENSCCAG00000033144
callithrix_jacchus ENSCJAG00000017593
saimiri_boliviensis_boliviensis ENSSBOG00000026220
carlito_syrichta ENSTSYG00000009538
prolemur_simus ENSPSMG00000009159
microcebus_murinus ENSMICG00000030600
propithecus_coquereli ENSPCOG00000028148
otolemur_garnettii ENSOGAG00000011149
tupaia_belangeri ENSTBEG00000014567
chinchilla_lanigera ENSCLAG00000014399
octodon_degus ENSODEG00000000113
cavia_porcellus ENSCPOG00000009291
heterocephalus_glaber_male ENSHGLG00100009704
heterocephalus_glaber_female ENSHGLG00000015236
fukomys_damarensis ENSFDAG00000015135
urocitellus_parryii ENSUPAG00010009483
ictidomys_tridecemlineatus ENSSTOG00000002143
marmota_marmota_marmota ENSMMMG00000002235
spermophilus_dauricus ENSSDAG00000014292
castor_canadensis ENSCCNG00000001343
dipodomys_ordii ENSDORG00000007885
mus_spicilegus ENSMSIG00000020232
mus_musculus ENSMUSG00000038598
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027025
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026060
mus_pahari MGP_PahariEiJ_G0028398
meriones_unguiculatus ENSMUGG00000000628
peromyscus_maniculatus_bairdii ENSPEMG00000024275
microtus_ochrogaster ENSMOCG00000017996
cricetulus_griseus_crigri-picr ENSCGRG00015027136
cricetulus_griseus_crigri ENSCGRG00000002524
cricetulus_griseus_chok1gshd ENSCGRG00001020244
mesocricetus_auratus ENSMAUG00000009550
nannospalax_galili ENSNGAG00000015158
oryctolagus_cuniculus ENSOCUG00000016284
ochotona_princeps ENSOPRG00000003387
ursus_maritimus ENSUMAG00000019218
ursus_americanus ENSUAMG00000023220
ailuropoda_melanoleuca ENSAMEG00000017955
neovison_vison ENSNVIG00000008681
mustela_putorius_furo ENSMPUG00000007674
canis_lupus_dingo ENSCAFG00020022562
canis_lupus_familiaris ENSCAFG00000003008
vulpes_vulpes ENSVVUG00000001680
panthera_pardus ENSPPRG00000002968
panthera_tigris_altaica ENSPTIG00000021508
felis_catus ENSFCAG00000023495
vicugna_pacos ENSVPAG00000007060
sus_scrofa ENSSSCG00000005463
bos_mutus ENSBMUG00000006737
bison_bison_bison ENSBBBG00000022166
bos_taurus ENSBTAG00000044004
ovis_aries ENSOARG00000006623
tursiops_truncatus ENSTTRG00000014348
equus_caballus ENSECAG00000014078
equus_asinus_asinus ENSEASG00005000898
sorex_araneus ENSSARG00000013870
erinaceus_europaeus ENSEEUG00000004600
myotis_lucifugus ENSMLUG00000009222
pteropus_vampyrus ENSPVAG00000011133
notamacropus_eugenii ENSMEUG00000013502
sarcophilus_harrisii ENSSHAG00000000568
monodelphis_domestica ENSMODG00000005617
