amphiprion_ocellaris ENSAOCG00000001557
amphiprion_percula ENSAPEG00000001324
acanthochromis_polyacanthus ENSAPOG00000022252
stegastes_partitus ENSSPAG00000006224
maylandia_zebra ENSMZEG00005001439
astatotilapia_calliptera ENSACLG00000010615
pundamilia_nyererei ENSPNYG00000021128
haplochromis_burtoni ENSHBUG00000023850
neolamprologus_brichardi ENSNBRG00000013076
oreochromis_niloticus ENSONIG00000001149
amphilophus_citrinellus ENSACIG00000002415
mastacembelus_armatus ENSMAMG00000017158
monopterus_albus ENSMALG00000009880
seriola_dumerili ENSSDUG00000001748
seriola_lalandi_dorsalis ENSSLDG00000023426
scophthalmus_maximus ENSSMAG00000009775
anabas_testudineus ENSATEG00000003992
labrus_bergylta ENSLBEG00000015307
gasterosteus_aculeatus ENSGACG00000016513
poecilia_formosa ENSPFOG00000018977
poecilia_mexicana ENSPMEG00000006298
poecilia_latipinna ENSPLAG00000022069
poecilia_reticulata ENSPREG00000010030
xiphophorus_maculatus ENSXMAG00000002268
xiphophorus_couchianus ENSXCOG00000014838
gambusia_affinis ENSGAFG00000016904
fundulus_heteroclitus ENSFHEG00000007659
cyprinodon_variegatus ENSCVAG00000004234
cyprinodon_variegatus ENSCVAG00000002173
kryptolebias_marmoratus ENSKMAG00000010159
oryzias_latipes ENSORLG00000020403
oryzias_latipes_asm223469v1 ENSORLG00015019389
oryzias_melastigma ENSOMEG00000015191
takifugu_rubripes ENSTRUG00000015711
tetraodon_nigroviridis ENSTNIG00000013030
mola_mola ENSMMOG00000004142
cynoglossus_semilaevis ENSCSEG00000003467
hippocampus_comes ENSHCOG00000008820
periophthalmus_magnuspinnatus ENSPMGG00000014243
gadus_morhua ENSGMOG00000012399
esox_lucius ENSELUG00000000908
astyanax_mexicanus ENSAMXG00000032882
pygocentrus_nattereri ENSPNAG00000021285
danio_rerio ENSDARG00000071429
scleropages_formosus ENSSFOG00015024146
paramormyrops_kingsleyae ENSPKIG00000015289
scleropages_formosus ENSSFOG00015015049
paramormyrops_kingsleyae ENSPKIG00000018324
pygocentrus_nattereri ENSPNAG00000015365
astyanax_mexicanus ENSAMXG00000015199
ictalurus_punctatus ENSIPUG00000008810
danio_rerio ENSDARG00000023176
lepisosteus_oculatus ENSLOCG00000008247
pogona_vitticeps ENSPVIG00000019668
anolis_carolinensis ENSACAG00000016880
notechis_scutatus ENSNSUG00000010108
salvator_merianae ENSSMRG00000001700
sphenodon_punctatus ENSSPUG00000012365
apteryx_rowi ENSARWG00000007762
apteryx_owenii ENSAOWG00000005355
apteryx_haastii ENSAHAG00000000502
dromaius_novaehollandiae ENSDNVG00000015727
nothoprocta_perdicaria ENSNPEG00000001515
anser_brachyrhynchus ENSABRG00000014814
anas_platyrhynchos_platyrhynchos ENSAPLG00000012137
coturnix_japonica ENSCJPG00005000516
meleagris_gallopavo ENSMGAG00000001555
gallus_gallus ENSGALG00000035207
numida_meleagris ENSNMEG00000020622
parus_major ENSPMJG00000010786
cyanistes_caeruleus ENSCCEG00000013151
ficedula_albicollis ENSFALG00000009286
lonchura_striata_domestica ENSLSDG00000007146
taeniopygia_guttata ENSTGUG00000005403
serinus_canaria ENSSCAG00000011711
junco_hyemalis ENSJHYG00000012761
zonotrichia_albicollis ENSZALG00000007908
lepidothrix_coronata ENSLCOG00000004696
manacus_vitellinus ENSMVIG00005014305
calidris_pygmaea ENSCPGG00000002351
calidris_pugnax ENSCPUG00000009109
melopsittacus_undulatus ENSMUNG00000010645
crocodylus_porosus ENSCPRG00005009318
chelonoidis_abingdonii ENSCABG00000001090
gopherus_agassizii ENSGAGG00000008779
chrysemys_picta_bellii ENSCPBG00000009290
pelodiscus_sinensis ENSPSIG00000008957
macaca_mulatta ENSMMUG00000022018
macaca_fascicularis ENSMFAG00000031955
macaca_nemestrina ENSMNEG00000034656
papio_anubis ENSPANG00000021685
cercocebus_atys ENSCATG00000034134
mandrillus_leucophaeus ENSMLEG00000028294
theropithecus_gelada ENSTGEG00000016568
chlorocebus_sabaeus ENSCSAG00000003252
colobus_angolensis_palliatus ENSCANG00000040585
piliocolobus_tephrosceles ENSPTEG00000007951
rhinopithecus_roxellana ENSRROG00000027658
rhinopithecus_bieti ENSRBIG00000034275
pan_paniscus ENSPPAG00000021027
pan_troglodytes ENSPTRG00000016544
homo_sapiens ENSG00000151790
gorilla_gorilla ENSGGOG00000025440
pongo_abelii ENSPPYG00000015149
nomascus_leucogenys ENSNLEG00000006259
cebus_capucinus ENSCCAG00000035370
saimiri_boliviensis_boliviensis ENSSBOG00000026421
callithrix_jacchus ENSCJAG00000001672
aotus_nancymaae ENSANAG00000022860
carlito_syrichta ENSTSYG00000013167
prolemur_simus ENSPSMG00000020915
propithecus_coquereli ENSPCOG00000012171
microcebus_murinus ENSMICG00000013444
otolemur_garnettii ENSOGAG00000004327
castor_canadensis ENSCCNG00000004216
dipodomys_ordii ENSDORG00000000529
peromyscus_maniculatus_bairdii ENSPEMG00000008450
microtus_ochrogaster ENSMOCG00000021074
cricetulus_griseus_crigri ENSCGRG00000008401
cricetulus_griseus_crigri-picr ENSCGRG00015023520
cricetulus_griseus_chok1gshd ENSCGRG00001021514
mesocricetus_auratus ENSMAUG00000016312
mus_spicilegus ENSMSIG00000009912
mus_musculus ENSMUSG00000028011
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026037
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025095
mus_pahari MGP_PahariEiJ_G0026538
rattus_norvegicus ENSRNOG00000011612
meriones_unguiculatus ENSMUGG00000021863
nannospalax_galili ENSNGAG00000023066
jaculus_jaculus ENSJJAG00000016645
cavia_porcellus ENSCPOG00000008673
cavia_aperea ENSCAPG00000013088
octodon_degus ENSODEG00000005059
chinchilla_lanigera ENSCLAG00000006927
heterocephalus_glaber_male ENSHGLG00100005325
heterocephalus_glaber_female ENSHGLG00000005283
fukomys_damarensis ENSFDAG00000014454
marmota_marmota_marmota ENSMMMG00000004366
ictidomys_tridecemlineatus ENSSTOG00000013798
urocitellus_parryii ENSUPAG00010017712
spermophilus_dauricus ENSSDAG00000010923
oryctolagus_cuniculus ENSOCUG00000015453
ochotona_princeps ENSOPRG00000013795
canis_lupus_familiaris ENSCAFG00000008591
canis_lupus_dingo ENSCAFG00020002538
vulpes_vulpes ENSVVUG00000024921
ursus_maritimus ENSUMAG00000016514
ursus_americanus ENSUAMG00000021744
ailuropoda_melanoleuca ENSAMEG00000015468
neovison_vison ENSNVIG00000013971
mustela_putorius_furo ENSMPUG00000005731
panthera_tigris_altaica ENSPTIG00000013117
panthera_pardus ENSPPRG00000001147
felis_catus ENSFCAG00000025451
equus_asinus_asinus ENSEASG00005015804
equus_caballus ENSECAG00000020063
myotis_lucifugus ENSMLUG00000012458
pteropus_vampyrus ENSPVAG00000006805
erinaceus_europaeus ENSEEUG00000006388
sorex_araneus ENSSARG00000009072
capra_hircus ENSCHIG00000001171
ovis_aries ENSOARG00000006881
bos_mutus ENSBMUG00000017175
bos_taurus ENSBTAG00000011062
bison_bison_bison ENSBBBG00000016904
tursiops_truncatus ENSTTRG00000000653
vicugna_pacos ENSVPAG00000004970
tupaia_belangeri ENSTBEG00000010614
sus_scrofa ENSSSCG00000008868
choloepus_hoffmanni ENSCHOG00000009840
dasypus_novemcinctus ENSDNOG00000033614
loxodonta_africana ENSLAFG00000008026
procavia_capensis ENSPCAG00000014416
echinops_telfairi ENSETEG00000013107
phascolarctos_cinereus ENSPCIG00000029612
notamacropus_eugenii ENSMEUG00000000147
sarcophilus_harrisii ENSSHAG00000003061
monodelphis_domestica ENSMODG00000001690
ornithorhynchus_anatinus ENSOANG00000015662
ornithorhynchus_anatinus ENSOANG00000028436
xenopus_tropicalis ENSXETG00000022396
latimeria_chalumnae ENSLACG00000000346
petromyzon_marinus ENSPMAG00000000335
eptatretus_burgeri ENSEBUG00000016418
ciona_intestinalis ENSCING00000005332
ciona_savignyi ENSCSAVG00000006201
ciona_intestinalis ENSCING00000004622
ciona_savignyi ENSCSAVG00000011189
drosophila_melanogaster FBgn0003965
caenorhabditis_elegans_strain_n2 WBGene00016201
