sphenodon_punctatus ENSSPUG00000008701
salvator_merianae ENSSMRG00000015528
gopherus_agassizii ENSGAGG00000025690
chelonoidis_abingdonii ENSCABG00000009738
chrysemys_picta_bellii ENSCPBG00000003673
crocodylus_porosus ENSCPRG00005016416
pelodiscus_sinensis ENSPSIG00000014711
xenopus_tropicalis ENSXETG00000008516
latimeria_chalumnae ENSLACG00000017637
scleropages_formosus ENSSFOG00015018334
paramormyrops_kingsleyae ENSPKIG00000016376
cynoglossus_semilaevis ENSCSEG00000009895
cynoglossus_semilaevis ENSCSEG00000010950
takifugu_rubripes ENSTRUG00000014904
poecilia_formosa ENSPFOG00000004325
poecilia_latipinna ENSPLAG00000012659
poecilia_reticulata ENSPREG00000017447
xiphophorus_maculatus ENSXMAG00000004574
xiphophorus_couchianus ENSXCOG00000009203
gambusia_affinis ENSGAFG00000006959
fundulus_heteroclitus ENSFHEG00000006242
cyprinodon_variegatus ENSCVAG00000002201
kryptolebias_marmoratus ENSKMAG00000008283
oryzias_latipes ENSORLG00020021411
oryzias_latipes_asm223469v1 ENSORLG00015011712
oryzias_latipes ENSORLG00000015480
oryzias_melastigma ENSOMEG00000020571
astatotilapia_calliptera ENSACLG00000002813
maylandia_zebra ENSMZEG00005001648
pundamilia_nyererei ENSPNYG00000008635
haplochromis_burtoni ENSHBUG00000022696
neolamprologus_brichardi ENSNBRG00000009929
oreochromis_niloticus ENSONIG00000015873
amphilophus_citrinellus ENSACIG00000014550
anabas_testudineus ENSATEG00000014687
mola_mola ENSMMOG00000014930
amphiprion_ocellaris ENSAOCG00000013261
amphiprion_percula ENSAPEG00000002722
acanthochromis_polyacanthus ENSAPOG00000001886
stegastes_partitus ENSSPAG00000004690
poecilia_mexicana ENSPMEG00000011870
neolamprologus_brichardi ENSNBRG00000009918
labrus_bergylta ENSLBEG00000000038
labrus_bergylta ENSLBEG00000008171
gasterosteus_aculeatus ENSGACG00000013231
mastacembelus_armatus ENSMAMG00000020614
monopterus_albus ENSMALG00000016326
scophthalmus_maximus ENSSMAG00000020070
hippocampus_comes ENSHCOG00000005156
seriola_dumerili ENSSDUG00000003252
seriola_lalandi_dorsalis ENSSLDG00000014769
periophthalmus_magnuspinnatus ENSPMGG00000002464
gadus_morhua ENSGMOG00000000425
esox_lucius ENSELUG00000005774
pygocentrus_nattereri ENSPNAG00000007482
astyanax_mexicanus ENSAMXG00000035263
ictalurus_punctatus ENSIPUG00000017157
danio_rerio ENSDARG00000012281
lepisosteus_oculatus ENSLOCG00000015323
danio_rerio ENSDARG00000057568
