cyanistes_caeruleus ENSCCEG00000020875
parus_major ENSPMJG00000007623
ficedula_albicollis ENSFALG00000002648
taeniopygia_guttata ENSTGUG00000001222
lonchura_striata_domestica ENSLSDG00000012676
junco_hyemalis ENSJHYG00000015808
zonotrichia_albicollis ENSZALG00000015996
serinus_canaria ENSSCAG00000006352
lepidothrix_coronata ENSLCOG00000006292
manacus_vitellinus ENSMVIG00005012879
calidris_pugnax ENSCPUG00000017338
calidris_pygmaea ENSCPGG00000010121
melopsittacus_undulatus ENSMUNG00000010433
anser_brachyrhynchus ENSABRG00000016304
anas_platyrhynchos_platyrhynchos ENSAPLG00000006712
coturnix_japonica ENSCJPG00005006846
gallus_gallus ENSGALG00000000568
meleagris_gallopavo ENSMGAG00000001214
numida_meleagris ENSNMEG00000008163
apteryx_owenii ENSAOWG00000011989
apteryx_rowi ENSARWG00000007797
apteryx_haastii ENSAHAG00000008733
dromaius_novaehollandiae ENSDNVG00000018548
nothoprocta_perdicaria ENSNPEG00000002616
crocodylus_porosus ENSCPRG00005006142
gopherus_agassizii ENSGAGG00000002478
chelonoidis_abingdonii ENSCABG00000016372
chrysemys_picta_bellii ENSCPBG00000010122
pelodiscus_sinensis ENSPSIG00000011884
anolis_carolinensis ENSACAG00000004485
pogona_vitticeps ENSPVIG00000007551
notechis_scutatus ENSNSUG00000002668
salvator_merianae ENSSMRG00000003621
sphenodon_punctatus ENSSPUG00000007952
phascolarctos_cinereus ENSPCIG00000000724
notamacropus_eugenii ENSMEUG00000008497
monodelphis_domestica ENSMODG00000000646
sarcophilus_harrisii ENSSHAG00000012606
bos_taurus ENSBTAG00000004789
bos_mutus ENSBMUG00000018101
capra_hircus ENSCHIG00000024412
ovis_aries ENSOARG00000018573
tursiops_truncatus ENSTTRG00000011233
pteropus_vampyrus ENSPVAG00000002664
equus_caballus ENSECAG00000011934
equus_asinus_asinus ENSEASG00005019704
erinaceus_europaeus ENSEEUG00000012297
sorex_araneus ENSSARG00000006857
cricetulus_griseus_crigri-picr ENSCGRG00015024935
cricetulus_griseus_chok1gshd ENSCGRG00001023986
cricetulus_griseus_crigri ENSCGRG00000011351
mesocricetus_auratus ENSMAUG00000004284
microtus_ochrogaster ENSMOCG00000001284
peromyscus_maniculatus_bairdii ENSPEMG00000010971
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015437
mus_spicilegus ENSMSIG00000017146
mus_musculus ENSMUSG00000042793
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014630
mus_pahari MGP_PahariEiJ_G0027866
rattus_norvegicus ENSRNOG00000005093
meriones_unguiculatus ENSMUGG00000008408
nannospalax_galili ENSNGAG00000006200
jaculus_jaculus ENSJJAG00000023003
dipodomys_ordii ENSDORG00000005413
chinchilla_lanigera ENSCLAG00000013362
octodon_degus ENSODEG00000011888
cavia_porcellus ENSCPOG00000035804
cavia_aperea ENSCAPG00000016894
heterocephalus_glaber_male ENSHGLG00100015693
heterocephalus_glaber_female ENSHGLG00000003839
fukomys_damarensis ENSFDAG00000000987
urocitellus_parryii ENSUPAG00010008512
ictidomys_tridecemlineatus ENSSTOG00000027585
marmota_marmota_marmota ENSMMMG00000012854
oryctolagus_cuniculus ENSOCUG00000010236
ochotona_princeps ENSOPRG00000004821
tupaia_belangeri ENSTBEG00000001089
pan_troglodytes ENSPTRG00000001849
pan_paniscus ENSPPAG00000029070
homo_sapiens ENSG00000133067
gorilla_gorilla ENSGGOG00000005825
pongo_abelii ENSPPYG00000000350
nomascus_leucogenys ENSNLEG00000018095
colobus_angolensis_palliatus ENSCANG00000022236
piliocolobus_tephrosceles ENSPTEG00000028161
rhinopithecus_roxellana ENSRROG00000035260
rhinopithecus_bieti ENSRBIG00000029821
mandrillus_leucophaeus ENSMLEG00000015139
cercocebus_atys ENSCATG00000033660
theropithecus_gelada ENSTGEG00000019908
papio_anubis ENSPANG00000016204
macaca_fascicularis ENSMFAG00000035892
macaca_mulatta ENSMMUG00000013790
macaca_nemestrina ENSMNEG00000031709
chlorocebus_sabaeus ENSCSAG00000014130
cebus_capucinus ENSCCAG00000022888
saimiri_boliviensis_boliviensis ENSSBOG00000031017
callithrix_jacchus ENSCJAG00000005906
aotus_nancymaae ENSANAG00000033706
carlito_syrichta ENSTSYG00000029316
propithecus_coquereli ENSPCOG00000014251
prolemur_simus ENSPSMG00000000695
microcebus_murinus ENSMICG00000035884
otolemur_garnettii ENSOGAG00000001875
loxodonta_africana ENSLAFG00000015055
procavia_capensis ENSPCAG00000008751
echinops_telfairi ENSETEG00000019243
neovison_vison ENSNVIG00000014747
mustela_putorius_furo ENSMPUG00000011078
canis_lupus_familiaris ENSCAFG00000010521
canis_lupus_dingo ENSCAFG00020016147
vulpes_vulpes ENSVVUG00000006495
ursus_americanus ENSUAMG00000020337
ursus_maritimus ENSUMAG00000004373
ailuropoda_melanoleuca ENSAMEG00000011896
panthera_tigris_altaica ENSPTIG00000013251
panthera_pardus ENSPPRG00000001495
felis_catus ENSFCAG00000025618
choloepus_hoffmanni ENSCHOG00000005429
ornithorhynchus_anatinus ENSOANG00000002370
ornithorhynchus_anatinus ENSOANG00000000441
latimeria_chalumnae ENSLACG00000015257
paramormyrops_kingsleyae ENSPKIG00000011663
scleropages_formosus ENSSFOG00015023007
paramormyrops_kingsleyae ENSPKIG00000004359
scleropages_formosus ENSSFOG00015003341
pygocentrus_nattereri ENSPNAG00000021289
astyanax_mexicanus ENSAMXG00000031251
ictalurus_punctatus ENSIPUG00000014158
takifugu_rubripes ENSTRUG00000011356
tetraodon_nigroviridis ENSTNIG00000015029
mola_mola ENSMMOG00000011391
gasterosteus_aculeatus ENSGACG00000009806
labrus_bergylta ENSLBEG00000008806
monopterus_albus ENSMALG00000012485
anabas_testudineus ENSATEG00000023406
