caenorhabditis_elegans_strain_n2 WBGene00018735
ciona_intestinalis ENSCING00000018080
hippocampus_comes ENSHCOG00000015445
periophthalmus_magnuspinnatus ENSPMGG00000003472
amphiprion_percula ENSAPEG00000014108
amphiprion_ocellaris ENSAOCG00000006202
acanthochromis_polyacanthus ENSAPOG00000019952
stegastes_partitus ENSSPAG00000019621
poecilia_formosa ENSPFOG00000008628
poecilia_latipinna ENSPLAG00000018505
poecilia_mexicana ENSPMEG00000011576
poecilia_reticulata ENSPREG00000002890
xiphophorus_maculatus ENSXMAG00000029108
gambusia_affinis ENSGAFG00000005380
fundulus_heteroclitus ENSFHEG00000011356
cyprinodon_variegatus ENSCVAG00000022376
kryptolebias_marmoratus ENSKMAG00000016342
oryzias_latipes ENSORLG00000008621
oryzias_latipes ENSORLG00020008519
oryzias_latipes_asm223469v1 ENSORLG00015007069
oryzias_melastigma ENSOMEG00000013763
seriola_dumerili ENSSDUG00000020568
seriola_lalandi_dorsalis ENSSLDG00000020334
scophthalmus_maximus ENSSMAG00000001158
monopterus_albus ENSMALG00000022452
mastacembelus_armatus ENSMAMG00000016937
anabas_testudineus ENSATEG00000022974
maylandia_zebra ENSMZEG00005016073
astatotilapia_calliptera ENSACLG00000007118
pundamilia_nyererei ENSPNYG00000020011
haplochromis_burtoni ENSHBUG00000016907
neolamprologus_brichardi ENSNBRG00000015447
oreochromis_niloticus ENSONIG00000016183
amphilophus_citrinellus ENSACIG00000024491
takifugu_rubripes ENSTRUG00000013638
tetraodon_nigroviridis ENSTNIG00000013164
mola_mola ENSMMOG00000013865
gasterosteus_aculeatus ENSGACG00000002197
labrus_bergylta ENSLBEG00000007177
cynoglossus_semilaevis ENSCSEG00000008590
gadus_morhua ENSGMOG00000000224
esox_lucius ENSELUG00000011826
pygocentrus_nattereri ENSPNAG00000023661
astyanax_mexicanus ENSAMXG00000006691
ictalurus_punctatus ENSIPUG00000001453
scleropages_formosus ENSSFOG00015015129
paramormyrops_kingsleyae ENSPKIG00000000002
scleropages_formosus ENSSFOG00015017860
lepisosteus_oculatus ENSLOCG00000004590
apteryx_haastii ENSAHAG00000013539
apteryx_owenii ENSAOWG00000013233
apteryx_rowi ENSARWG00000004537
dromaius_novaehollandiae ENSDNVG00000001888
nothoprocta_perdicaria ENSNPEG00000000580
calidris_pygmaea ENSCPGG00000016911
calidris_pugnax ENSCPUG00000010107
melopsittacus_undulatus ENSMUNG00000011881
lonchura_striata_domestica ENSLSDG00000005116
lonchura_striata_domestica ENSLSDG00000006078
taeniopygia_guttata ENSTGUG00000006596
serinus_canaria ENSSCAG00000002722
zonotrichia_albicollis ENSZALG00000013266
junco_hyemalis ENSJHYG00000017760
ficedula_albicollis ENSFALG00000006948
cyanistes_caeruleus ENSCCEG00000010430
parus_major ENSPMJG00000015478
lepidothrix_coronata ENSLCOG00000002295
manacus_vitellinus ENSMVIG00005016136
gallus_gallus ENSGALG00000005004
coturnix_japonica ENSCJPG00005010904
meleagris_gallopavo ENSMGAG00000006065
numida_meleagris ENSNMEG00000013838
anas_platyrhynchos_platyrhynchos ENSAPLG00000012180
anser_brachyrhynchus ENSABRG00000010140
crocodylus_porosus ENSCPRG00005007976
gopherus_agassizii ENSGAGG00000005674
chelonoidis_abingdonii ENSCABG00000021040
chrysemys_picta_bellii ENSCPBG00000012732
pelodiscus_sinensis ENSPSIG00000016787
pogona_vitticeps ENSPVIG00000004460
anolis_carolinensis ENSACAG00000008599
notechis_scutatus ENSNSUG00000020061
salvator_merianae ENSSMRG00000007487
salvator_merianae ENSSMRG00000002289
salvator_merianae ENSSMRG00000002287
sphenodon_punctatus ENSSPUG00000006031
phascolarctos_cinereus ENSPCIG00000024601
notamacropus_eugenii ENSMEUG00000003728
sarcophilus_harrisii ENSSHAG00000011668
monodelphis_domestica ENSMODG00000000873
castor_canadensis ENSCCNG00000030344
dipodomys_ordii ENSDORG00000012353
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019886
mus_musculus ENSMUSG00000021770
mus_spicilegus ENSMSIG00000006788
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019008
mus_pahari MGP_PahariEiJ_G0030022
rattus_norvegicus ENSRNOG00000013236
meriones_unguiculatus ENSMUGG00000003127
cricetulus_griseus_crigri-picr ENSCGRG00015015211
cricetulus_griseus_chok1gshd ENSCGRG00001006718
cricetulus_griseus_crigri ENSCGRG00000008467
mesocricetus_auratus ENSMAUG00000013507
peromyscus_maniculatus_bairdii ENSPEMG00000020777
microtus_ochrogaster ENSMOCG00000018893
nannospalax_galili ENSNGAG00000009450
jaculus_jaculus ENSJJAG00000019200
heterocephalus_glaber_female ENSHGLG00000016978
heterocephalus_glaber_male ENSHGLG00100007959
fukomys_damarensis ENSFDAG00000009584
octodon_degus ENSODEG00000015010
chinchilla_lanigera ENSCLAG00000009370
cavia_aperea ENSCAPG00000011726
cavia_porcellus ENSCPOG00000031357
urocitellus_parryii ENSUPAG00010009689
ictidomys_tridecemlineatus ENSSTOG00000028532
spermophilus_dauricus ENSSDAG00000005947
marmota_marmota_marmota ENSMMMG00000023335
oryctolagus_cuniculus ENSOCUG00000009076
ochotona_princeps ENSOPRG00000002388
tupaia_belangeri ENSTBEG00000009083
pan_troglodytes ENSPTRG00000002656
pan_paniscus ENSPPAG00000034932
gorilla_gorilla ENSGGOG00000011029
pongo_abelii ENSPPYG00000002315
nomascus_leucogenys ENSNLEG00000016856
homo_sapiens ENSG00000156671
macaca_fascicularis ENSMFAG00000033013
macaca_nemestrina ENSMNEG00000028276
macaca_mulatta ENSMMUG00000008690
theropithecus_gelada ENSTGEG00000027704
papio_anubis ENSPANG00000022471
cercocebus_atys ENSCATG00000030335
mandrillus_leucophaeus ENSMLEG00000041384
chlorocebus_sabaeus ENSCSAG00000009093
piliocolobus_tephrosceles ENSPTEG00000036830
colobus_angolensis_palliatus ENSCANG00000042715
rhinopithecus_bieti ENSRBIG00000037003
rhinopithecus_roxellana ENSRROG00000020803
cebus_capucinus ENSCCAG00000021877
saimiri_boliviensis_boliviensis ENSSBOG00000025305
callithrix_jacchus ENSCJAG00000001186
aotus_nancymaae ENSANAG00000034909
carlito_syrichta ENSTSYG00000004145
microcebus_murinus ENSMICG00000037514
propithecus_coquereli ENSPCOG00000018979
prolemur_simus ENSPSMG00000019189
otolemur_garnettii ENSOGAG00000009026
myotis_lucifugus ENSMLUG00000007486
pteropus_vampyrus ENSPVAG00000009607
equus_asinus_asinus ENSEASG00005022992
equus_caballus ENSECAG00000005707
ursus_americanus ENSUAMG00000018328
ailuropoda_melanoleuca ENSAMEG00000001717
mustela_putorius_furo ENSMPUG00000003283
neovison_vison ENSNVIG00000008018
canis_lupus_familiaris ENSCAFG00000015388
canis_lupus_dingo ENSCAFG00020016213
vulpes_vulpes ENSVVUG00000023455
panthera_tigris_altaica ENSPTIG00000017445
panthera_pardus ENSPPRG00000009450
felis_catus ENSFCAG00000026865
ovis_aries ENSOARG00000008746
capra_hircus ENSCHIG00000012189
bos_taurus ENSBTAG00000008619
bos_mutus ENSBMUG00000015817
bison_bison_bison ENSBBBG00000019060
tursiops_truncatus ENSTTRG00000000370
sus_scrofa ENSSSCG00000010319
vicugna_pacos ENSVPAG00000008052
sorex_araneus ENSSARG00000002958
erinaceus_europaeus ENSEEUG00000003133
dasypus_novemcinctus ENSDNOG00000042126
loxodonta_africana ENSLAFG00000013269
procavia_capensis ENSPCAG00000005547
choloepus_hoffmanni ENSCHOG00000000763
echinops_telfairi ENSETEG00000013487
ornithorhynchus_anatinus ENSOANG00000005910
xenopus_tropicalis ENSXETG00000009864
latimeria_chalumnae ENSLACG00000003701
pygocentrus_nattereri ENSPNAG00000024525
astyanax_mexicanus ENSAMXG00000009304
ictalurus_punctatus ENSIPUG00000004209
danio_rerio ENSDARG00000074663
hippocampus_comes ENSHCOG00000015976
periophthalmus_magnuspinnatus ENSPMGG00000023064
tetraodon_nigroviridis ENSTNIG00000016552
takifugu_rubripes ENSTRUG00000014755
mola_mola ENSMMOG00000011717
labrus_bergylta ENSLBEG00000018073
gasterosteus_aculeatus ENSGACG00000006560
scophthalmus_maximus ENSSMAG00000005340
cynoglossus_semilaevis ENSCSEG00000009201
kryptolebias_marmoratus ENSKMAG00000019012
xiphophorus_maculatus ENSXMAG00000010390
xiphophorus_couchianus ENSXCOG00000011928
poecilia_formosa ENSPFOG00000008498
poecilia_latipinna ENSPLAG00000012472
poecilia_mexicana ENSPMEG00000019828
poecilia_reticulata ENSPREG00000022023
gambusia_affinis ENSGAFG00000008004
fundulus_heteroclitus ENSFHEG00000008366
cyprinodon_variegatus ENSCVAG00000019384
oryzias_latipes ENSORLG00000009526
oryzias_latipes ENSORLG00020001543
oryzias_latipes_asm223469v1 ENSORLG00015004946
oryzias_melastigma ENSOMEG00000002104
astatotilapia_calliptera ENSACLG00000006133
maylandia_zebra ENSMZEG00005004367
pundamilia_nyererei ENSPNYG00000021016
haplochromis_burtoni ENSHBUG00000022948
neolamprologus_brichardi ENSNBRG00000011938
oreochromis_niloticus ENSONIG00000009663
amphilophus_citrinellus ENSACIG00000017115
amphiprion_ocellaris ENSAOCG00000003217
acanthochromis_polyacanthus ENSAPOG00000003390
stegastes_partitus ENSSPAG00000006653
