mastacembelus_armatus ENSMAMG00000017809
monopterus_albus ENSMALG00000014861
anabas_testudineus ENSATEG00000018994
scophthalmus_maximus ENSSMAG00000012336
cynoglossus_semilaevis ENSCSEG00000018912
seriola_dumerili ENSSDUG00000006197
seriola_lalandi_dorsalis ENSSLDG00000019149
gasterosteus_aculeatus ENSGACG00000020675
labrus_bergylta ENSLBEG00000004018
takifugu_rubripes ENSTRUG00000025544
tetraodon_nigroviridis ENSTNIG00000010020
mola_mola ENSMMOG00000018644
xiphophorus_maculatus ENSXMAG00000013053
xiphophorus_couchianus ENSXCOG00000017078
gambusia_affinis ENSGAFG00000002693
poecilia_formosa ENSPFOG00000019280
poecilia_latipinna ENSPLAG00000007675
poecilia_mexicana ENSPMEG00000000606
poecilia_reticulata ENSPREG00000019959
cyprinodon_variegatus ENSCVAG00000010995
fundulus_heteroclitus ENSFHEG00000015299
kryptolebias_marmoratus ENSKMAG00000018367
oryzias_latipes ENSORLG00000006523
oryzias_latipes ENSORLG00020006985
oryzias_latipes_asm223469v1 ENSORLG00015012397
oryzias_melastigma ENSOMEG00000021199
maylandia_zebra ENSMZEG00005018427
astatotilapia_calliptera ENSACLG00000018719
haplochromis_burtoni ENSHBUG00000021339
pundamilia_nyererei ENSPNYG00000014431
neolamprologus_brichardi ENSNBRG00000005048
oreochromis_niloticus ENSONIG00000005136
amphilophus_citrinellus ENSACIG00000002374
amphiprion_percula ENSAPEG00000024464
amphiprion_ocellaris ENSAOCG00000023841
acanthochromis_polyacanthus ENSAPOG00000007195
stegastes_partitus ENSSPAG00000003103
hippocampus_comes ENSHCOG00000020456
periophthalmus_magnuspinnatus ENSPMGG00000005403
esox_lucius ENSELUG00000020973
pygocentrus_nattereri ENSPNAG00000010513
astyanax_mexicanus ENSAMXG00000013906
ictalurus_punctatus ENSIPUG00000021246
danio_rerio ENSDARG00000028542
