pundamilia_nyererei ENSPNYG00000000317
astatotilapia_calliptera ENSACLG00000008249
haplochromis_burtoni ENSHBUG00000002694
neolamprologus_brichardi ENSNBRG00000010926
oreochromis_niloticus ENSONIG00000020877
amphilophus_citrinellus ENSACIG00000016631
oryzias_latipes_asm223469v1 ENSORLG00015022708
oryzias_latipes ENSORLG00000005069
oryzias_latipes ENSORLG00020000323
oryzias_melastigma ENSOMEG00000005388
scophthalmus_maximus ENSSMAG00000003302
cynoglossus_semilaevis ENSCSEG00000010985
seriola_dumerili ENSSDUG00000004289
hippocampus_comes ENSHCOG00000016118
anabas_testudineus ENSATEG00000007812
labrus_bergylta ENSLBEG00000007069
gambusia_affinis ENSGAFG00000008462
poecilia_formosa ENSPFOG00000022476
scleropages_formosus ENSSFOG00015015254
lepisosteus_oculatus ENSLOCG00000010129
