denticeps_clupeoides ENSDCDG00000030311
clupea_harengus ENSCHAG00000008000
hucho_hucho ENSHHUG00000001677
hucho_hucho ENSHHUG00000048509
esox_lucius ENSELUG00000017187
astyanax_mexicanus ENSAMXG00000004209
astyanax_mexicanus ENSAMXG00005004141
pygocentrus_nattereri ENSPNAG00000024561
electrophorus_electricus ENSEEEG00000019947
ictalurus_punctatus ENSIPUG00000015194
danio_rerio ENSDARG00000017757
scleropages_formosus ENSSFOG00015006087
paramormyrops_kingsleyae ENSPKIG00000016209
lepisosteus_oculatus ENSLOCG00000015829
erpetoichthys_calabaricus ENSECRG00000003338
gouania_willdenowi ENSGWIG00000021434
cynoglossus_semilaevis ENSCSEG00000017673
labrus_bergylta ENSLBEG00000023998
gasterosteus_aculeatus ENSGACG00000019186
takifugu_rubripes ENSTRUG00000011555
tetraodon_nigroviridis ENSTNIG00000006889
mola_mola ENSMMOG00000010243
larimichthys_crocea ENSLCRG00005007441
amphiprion_ocellaris ENSAOCG00000002034
amphiprion_percula ENSAPEG00000022612
acanthochromis_polyacanthus ENSAPOG00000009465
stegastes_partitus ENSSPAG00000009107
parambassis_ranga ENSPRNG00000012997
fundulus_heteroclitus ENSFHEG00000007984
cyprinodon_variegatus ENSCVAG00000008593
xiphophorus_maculatus ENSXMAG00000008792
gambusia_affinis ENSGAFG00000004562
poecilia_formosa ENSPFOG00000012367
poecilia_latipinna ENSPLAG00000012648
poecilia_mexicana ENSPMEG00000015091
poecilia_reticulata ENSPREG00000015272
oryzias_latipes ENSORLG00000009458
oryzias_latipes ENSORLG00020004331
oryzias_melastigma ENSOMEG00000000758
astatotilapia_calliptera ENSACLG00000003623
maylandia_zebra ENSMZEG00005015075
haplochromis_burtoni ENSHBUG00000016341
pundamilia_nyererei ENSPNYG00000015089
oreochromis_niloticus ENSONIG00000011855
neolamprologus_brichardi ENSNBRG00000017863
amphilophus_citrinellus ENSACIG00000022913
mastacembelus_armatus ENSMAMG00000023590
monopterus_albus ENSMALG00000010766
anabas_testudineus ENSATEG00000003954
betta_splendens ENSBSLG00000020102
seriola_dumerili ENSSDUG00000015284
seriola_lalandi ENSSLDG00000017243
scophthalmus_maximus ENSSMAG00000012573
lates_calcarifer ENSLCAG00010026154
takifugu_rubripes ENSTRUG00000001136
hippocampus_comes ENSHCOG00000010763
periophthalmus_magnuspinnatus ENSPMGG00000008049
gadus_morhua ENSGMOG00000009314
kryptolebias_marmoratus ENSKMAG00000000159
pogona_vitticeps ENSPVIG00000010837
anolis_carolinensis ENSACAG00000014783
notechis_scutatus ENSNSUG00000019784
salvator_merianae ENSSMRG00000016289
sphenodon_punctatus ENSSPUG00000019174
calidris_pugnax ENSCPUG00000013790
calidris_pygmaea ENSCPGG00000011769
melopsittacus_undulatus ENSMUNG00000016062
cyanistes_caeruleus ENSCCEG00000017593
parus_major ENSPMJG00000004722
ficedula_albicollis ENSFALG00000010270
lonchura_striata ENSLSDG00000012131
taeniopygia_guttata ENSTGUG00000003053
serinus_canaria ENSSCAG00000006775
zonotrichia_albicollis ENSZALG00000004126
junco_hyemalis ENSJHYG00000011443
lepidothrix_coronata ENSLCOG00000009073
manacus_vitellinus ENSMVIG00005006953
meleagris_gallopavo ENSMGAG00000013678
gallus_gallus ENSGALG00000008081
coturnix_japonica ENSCJPG00005006644
numida_meleagris ENSNMEG00000006110
anser_brachyrhynchus ENSABRG00000023138
anas_platyrhynchos ENSAPLG00000006669
apteryx_owenii ENSAOWG00000001211
apteryx_haastii ENSAHAG00000009747
apteryx_owenii ENSAOWG00000006939
apteryx_haastii ENSAHAG00000016516
apteryx_rowi ENSARWG00000007357
dromaius_novaehollandiae ENSDNVG00000001588
nothoprocta_perdicaria ENSNPEG00000016128
crocodylus_porosus ENSCPRG00005014056
chelonoidis_abingdonii ENSCABG00000018469
gopherus_agassizii ENSGAGG00000019027
gopherus_agassizii ENSGAGG00000023037
chrysemys_picta ENSCPBG00000000989
pelodiscus_sinensis ENSPSIG00000006087
phascolarctos_cinereus ENSPCIG00000004300
vombatus_ursinus ENSVURG00010010632
notamacropus_eugenii ENSMEUG00000009460
sarcophilus_harrisii ENSSHAG00000008508
monodelphis_domestica ENSMODG00000016386
octodon_degus ENSODEG00000001876
dipodomys_ordii ENSDORG00000010565
sorex_araneus ENSSARG00000014216
cavia_porcellus ENSCPOG00000013433
cavia_aperea ENSCAPG00000014394
chinchilla_lanigera ENSCLAG00000006419
heterocephalus_glaber ENSHGLG00000010038
heterocephalus_glaber ENSHGLG00100003399
fukomys_damarensis ENSFDAG00000017872
ictidomys_tridecemlineatus ENSSTOG00000001455
spermophilus_dauricus ENSSDAG00000001121
urocitellus_parryii ENSUPAG00010013897
marmota_marmota ENSMMMG00000016568
peromyscus_maniculatus ENSPEMG00000023525
microtus_ochrogaster ENSMOCG00000007687
cricetulus_griseus ENSCGRG00001015341
cricetulus_griseus ENSCGRG00000017520
cricetulus_griseus ENSCGRG00015005355
mesocricetus_auratus ENSMAUG00000000671
mus_musculus ENSMUSG00000020573
mus_spicilegus ENSMSIG00000004551
mus_spretus MGP_SPRETEiJ_G0018527
mus_caroli MGP_CAROLIEiJ_G0017685
mus_pahari MGP_PahariEiJ_G0029443
rattus_norvegicus ENSRNOG00000009385
meriones_unguiculatus ENSMUGG00000027188
nannospalax_galili ENSNGAG00000018651
oryctolagus_cuniculus ENSOCUG00000012739
ochotona_princeps ENSOPRG00000005253
bos_indicus ENSBIXG00005028401
bos_indicus ENSBIXG00000028227
erinaceus_europaeus ENSEEUG00000007607
choloepus_hoffmanni ENSCHOG00000003949
dasypus_novemcinctus ENSDNOG00000014704
castor_canadensis ENSCCNG00000003150
loxodonta_africana ENSLAFG00000004597
procavia_capensis ENSPCAG00000005715
echinops_telfairi ENSETEG00000015821
tupaia_belangeri ENSTBEG00000009784
jaculus_jaculus ENSJJAG00000008873
pan_troglodytes ENSPTRG00000019573
pan_paniscus ENSPPAG00000043023
homo_sapiens ENSG00000105851
gorilla_gorilla ENSGGOG00000014735
pongo_abelii ENSPPYG00000017896
nomascus_leucogenys ENSNLEG00000008808
cercocebus_atys ENSCATG00000040160
mandrillus_leucophaeus ENSMLEG00000029868
theropithecus_gelada ENSTGEG00000012338
papio_anubis ENSPANG00000007066
macaca_mulatta ENSMMUG00000011385
macaca_fascicularis ENSMFAG00000033319
macaca_nemestrina ENSMNEG00000041878
chlorocebus_sabaeus ENSCSAG00000011408
rhinopithecus_roxellana ENSRROG00000031955
rhinopithecus_bieti ENSRBIG00000043818
colobus_angolensis ENSCANG00000005227
piliocolobus_tephrosceles ENSPTEG00000038644
cebus_capucinus ENSCCAG00000033400
cebus_capucinus ENSCCAG00000030914
saimiri_boliviensis ENSSBOG00000020094
callithrix_jacchus ENSCJAG00000016223
aotus_nancymaae ENSANAG00000035192
carlito_syrichta ENSTSYG00000026615
propithecus_coquereli ENSPCOG00000019696
microcebus_murinus ENSMICG00000001209
prolemur_simus ENSPSMG00000015349
otolemur_garnettii ENSOGAG00000013097
tursiops_truncatus ENSTTRG00000003126
vicugna_pacos ENSVPAG00000008625
bos_mutus ENSBMUG00000008035
bos_taurus ENSBTAG00000020848
bison_bison ENSBBBG00000001333
ovis_aries ENSOARG00000004785
capra_hircus ENSCHIG00000010589
sus_scrofa ENSSSCG00000027272
equus_caballus ENSECAG00000019708
equus_asinus ENSEASG00005017460
canis_lupus ENSCAFG00000003977
canis_lupus ENSCAFG00020023105
vulpes_vulpes ENSVVUG00000022042
pteropus_vampyrus ENSPVAG00000014100
myotis_lucifugus ENSMLUG00000002568
ursus_americanus ENSUAMG00000005394
ursus_maritimus ENSUMAG00000018277
ailuropoda_melanoleuca ENSAMEG00000013432
mustela_putorius ENSMPUG00000018251
neovison_vison ENSNVIG00000007182
panthera_pardus ENSPPRG00000006142
panthera_tigris ENSPTIG00000000092
felis_catus ENSFCAG00000004554
ornithorhynchus_anatinus ENSOANG00000003171
xenopus_tropicalis ENSXETG00000017485
latimeria_chalumnae ENSLACG00000006986
callorhinchus_milii ENSCMIG00000001819
eptatretus_burgeri ENSEBUG00000016177
petromyzon_marinus ENSPMAG00000002221
petromyzon_marinus ENSPMAG00000001332
eptatretus_burgeri ENSEBUG00000014066
callorhinchus_milii ENSCMIG00000019614
