crocodylus_porosus ENSCPRG00005005899
apteryx_owenii ENSAOWG00000008517
capra_hircus ENSCHIG00000008096
capra_hircus ENSCHIG00000002368
sus_scrofa ENSSSCG00000040694
panthera_tigris_altaica ENSPTIG00000011035
panthera_pardus ENSPPRG00000004428
ursus_americanus ENSUAMG00000026088
ursus_maritimus ENSUMAG00000023735
ursus_maritimus ENSUMAG00000002182
neovison_vison ENSNVIG00000008579
ursus_maritimus ENSUMAG00000017664
tursiops_truncatus ENSTTRG00000011441
jaculus_jaculus ENSJJAG00000019816
cricetulus_griseus_crigri ENSCGRG00000017512
spermophilus_dauricus ENSSDAG00000024268
marmota_marmota_marmota ENSMMMG00000006048
urocitellus_parryii ENSUPAG00010007281
spermophilus_dauricus ENSSDAG00000005171
marmota_marmota_marmota ENSMMMG00000007602
cercocebus_atys ENSCATG00000043041
rhinopithecus_bieti ENSRBIG00000043556
xiphophorus_maculatus ENSXMAG00000025558
gambusia_affinis ENSGAFG00000000812
poecilia_mexicana ENSPMEG00000023540
cynoglossus_semilaevis ENSCSEG00000002051
