mandrillus_leucophaeus ENSMLEG00000039357
papio_anubis ENSPANG00000002433
cercocebus_atys ENSCATG00000045335
chlorocebus_sabaeus ENSCSAG00000014170
rhinopithecus_roxellana ENSRROG00000037361
rhinopithecus_bieti ENSRBIG00000033074
colobus_angolensis_palliatus ENSCANG00000029874
pan_troglodytes ENSPTRG00000023429
pan_paniscus ENSPPAG00000040137
gorilla_gorilla ENSGGOG00000023150
macaca_fascicularis ENSMFAG00000028079
macaca_nemestrina ENSMNEG00000033582
nomascus_leucogenys ENSNLEG00000005086
macaca_mulatta ENSMMUG00000021925
theropithecus_gelada ENSTGEG00000019735
saimiri_boliviensis_boliviensis ENSSBOG00000030298
piliocolobus_tephrosceles ENSPTEG00000022215
microcebus_murinus ENSMICG00000049198
marmota_marmota_marmota ENSMMMG00000011345
neovison_vison ENSNVIG00000024942
