petromyzon_marinus ENSPMAG00000001154
eptatretus_burgeri ENSEBUG00000014907
gopherus_agassizii ENSGAGG00000022915
chelonoidis_abingdonii ENSCABG00000019239
chrysemys_picta_bellii ENSCPBG00000025524
pelodiscus_sinensis ENSPSIG00000003072
crocodylus_porosus ENSCPRG00005017751
anolis_carolinensis ENSACAG00000016954
pogona_vitticeps ENSPVIG00000003256
notechis_scutatus ENSNSUG00000013346
salvator_merianae ENSSMRG00000003582
sphenodon_punctatus ENSSPUG00000004648
apteryx_haastii ENSAHAG00000008328
apteryx_rowi ENSARWG00000002737
apteryx_owenii ENSAOWG00000009985
dromaius_novaehollandiae ENSDNVG00000005642
nothoprocta_perdicaria ENSNPEG00000003396
calidris_pygmaea ENSCPGG00000001677
calidris_pugnax ENSCPUG00000014225
lonchura_striata_domestica ENSLSDG00000014666
taeniopygia_guttata ENSTGUG00000001439
junco_hyemalis ENSJHYG00000004948
zonotrichia_albicollis ENSZALG00000012478
serinus_canaria ENSSCAG00000014914
cyanistes_caeruleus ENSCCEG00000012870
parus_major ENSPMJG00000006928
ficedula_albicollis ENSFALG00000001081
lepidothrix_coronata ENSLCOG00000007525
manacus_vitellinus ENSMVIG00005019323
anser_brachyrhynchus ENSABRG00000008753
anas_platyrhynchos_platyrhynchos ENSAPLG00000011113
gallus_gallus ENSGALG00000033469
coturnix_japonica ENSCJPG00005015581
meleagris_gallopavo ENSMGAG00000001236
numida_meleagris ENSNMEG00000003797
phascolarctos_cinereus ENSPCIG00000026174
notamacropus_eugenii ENSMEUG00000005471
monodelphis_domestica ENSMODG00000016138
sarcophilus_harrisii ENSSHAG00000011939
chinchilla_lanigera ENSCLAG00000007181
octodon_degus ENSODEG00000014755
cavia_porcellus ENSCPOG00000010744
cavia_aperea ENSCAPG00000004186
heterocephalus_glaber_female ENSHGLG00000014570
heterocephalus_glaber_male ENSHGLG00100007600
heterocephalus_glaber_female ENSHGLG00000016217
fukomys_damarensis ENSFDAG00000015932
urocitellus_parryii ENSUPAG00010020880
marmota_marmota_marmota ENSMMMG00000018957
ictidomys_tridecemlineatus ENSSTOG00000002451
spermophilus_dauricus ENSSDAG00000009944
mus_spicilegus ENSMSIG00000004881
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027644
mus_musculus ENSMUSG00000036940
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026664
mus_pahari MGP_PahariEiJ_G0028997
rattus_norvegicus ENSRNOG00000022372
meriones_unguiculatus ENSMUGG00000020497
peromyscus_maniculatus_bairdii ENSPEMG00000019071
microtus_ochrogaster ENSMOCG00000019521
cricetulus_griseus_crigri ENSCGRG00000005086
cricetulus_griseus_crigri-picr ENSCGRG00015020978
cricetulus_griseus_chok1gshd ENSCGRG00001017159
mesocricetus_auratus ENSMAUG00000018795
nannospalax_galili ENSNGAG00000010536
jaculus_jaculus ENSJJAG00000012453
dipodomys_ordii ENSDORG00000011724
tupaia_belangeri ENSTBEG00000005729
pan_paniscus ENSPPAG00000042062
pan_troglodytes ENSPTRG00000000321
homo_sapiens ENSG00000004487
gorilla_gorilla ENSGGOG00000003664
pongo_abelii ENSPPYG00000001747
nomascus_leucogenys ENSNLEG00000008363
piliocolobus_tephrosceles ENSPTEG00000011745
colobus_angolensis_palliatus ENSCANG00000021601
rhinopithecus_roxellana ENSRROG00000040856
rhinopithecus_bieti ENSRBIG00000039880
macaca_mulatta ENSMMUG00000009773
macaca_nemestrina ENSMNEG00000036380
macaca_fascicularis ENSMFAG00000037505
theropithecus_gelada ENSTGEG00000003693
papio_anubis ENSPANG00000017802
mandrillus_leucophaeus ENSMLEG00000002451
cercocebus_atys ENSCATG00000035213
chlorocebus_sabaeus ENSCSAG00000000919
callithrix_jacchus ENSCJAG00000005607
saimiri_boliviensis_boliviensis ENSSBOG00000025105
cebus_capucinus ENSCCAG00000000162
aotus_nancymaae ENSANAG00000026300
carlito_syrichta ENSTSYG00000011818
prolemur_simus ENSPSMG00000003976
microcebus_murinus ENSMICG00000013347
propithecus_coquereli ENSPCOG00000022311
otolemur_garnettii ENSOGAG00000002158
castor_canadensis ENSCCNG00000029228
choloepus_hoffmanni ENSCHOG00000012040
dasypus_novemcinctus ENSDNOG00000013361
loxodonta_africana ENSLAFG00000007981
procavia_capensis ENSPCAG00000011027
myotis_lucifugus ENSMLUG00000010587
pteropus_vampyrus ENSPVAG00000014204
equus_caballus ENSECAG00000019669
equus_asinus_asinus ENSEASG00005005392
capra_hircus ENSCHIG00000009169
ovis_aries ENSOARG00000007715
bos_taurus ENSBTAG00000009500
bos_mutus ENSBMUG00000014489
bison_bison_bison ENSBBBG00000003619
tursiops_truncatus ENSTTRG00000007737
sus_scrofa ENSSSCG00000003531
vicugna_pacos ENSVPAG00000002347
erinaceus_europaeus ENSEEUG00000006648
sorex_araneus ENSSARG00000000455
neovison_vison ENSNVIG00000022665
mustela_putorius_furo ENSMPUG00000015915
ursus_maritimus ENSUMAG00000013305
ursus_americanus ENSUAMG00000022536
ailuropoda_melanoleuca ENSAMEG00000014887
canis_lupus_dingo ENSCAFG00020019613
canis_lupus_familiaris ENSCAFG00000013361
vulpes_vulpes ENSVVUG00000026002
panthera_tigris_altaica ENSPTIG00000019129
panthera_pardus ENSPPRG00000012548
felis_catus ENSFCAG00000013801
oryctolagus_cuniculus ENSOCUG00000001164
ochotona_princeps ENSOPRG00000003265
echinops_telfairi ENSETEG00000001401
xenopus_tropicalis ENSXETG00000003698
melopsittacus_undulatus ENSMUNG00000002870
latimeria_chalumnae ENSLACG00000007376
ornithorhynchus_anatinus ENSOANG00000004000
tetraodon_nigroviridis ENSTNIG00000017255
tetraodon_nigroviridis ENSTNIG00000002439
takifugu_rubripes ENSTRUG00000012344
cynoglossus_semilaevis ENSCSEG00000002808
mastacembelus_armatus ENSMAMG00000006551
monopterus_albus ENSMALG00000013868
anabas_testudineus ENSATEG00000011825
gasterosteus_aculeatus ENSGACG00000009679
labrus_bergylta ENSLBEG00000000983
mola_mola ENSMMOG00000010091
seriola_dumerili ENSSDUG00000016135
seriola_lalandi_dorsalis ENSSLDG00000019581
scophthalmus_maximus ENSSMAG00000019502
amphiprion_ocellaris ENSAOCG00000016351
amphiprion_percula ENSAPEG00000017416
acanthochromis_polyacanthus ENSAPOG00000014145
stegastes_partitus ENSSPAG00000017298
maylandia_zebra ENSMZEG00005003449
astatotilapia_calliptera ENSACLG00000015092
haplochromis_burtoni ENSHBUG00000008268
pundamilia_nyererei ENSPNYG00000017657
neolamprologus_brichardi ENSNBRG00000023869
oreochromis_niloticus ENSONIG00000004899
amphilophus_citrinellus ENSACIG00000014179
poecilia_formosa ENSPFOG00000010119
xiphophorus_couchianus ENSXCOG00000003929
poecilia_mexicana ENSPMEG00000021717
poecilia_latipinna ENSPLAG00000021417
poecilia_reticulata ENSPREG00000004563
xiphophorus_maculatus ENSXMAG00000008128
gambusia_affinis ENSGAFG00000008043
fundulus_heteroclitus ENSFHEG00000012094
cyprinodon_variegatus ENSCVAG00000014939
kryptolebias_marmoratus ENSKMAG00000010004
oryzias_latipes ENSORLG00000012604
oryzias_latipes_asm223469v1 ENSORLG00015016433
oryzias_latipes ENSORLG00020000897
oryzias_melastigma ENSOMEG00000015181
xiphophorus_couchianus ENSXCOG00000003867
hippocampus_comes ENSHCOG00000013009
periophthalmus_magnuspinnatus ENSPMGG00000023049
gadus_morhua ENSGMOG00000018843
esox_lucius ENSELUG00000014749
pygocentrus_nattereri ENSPNAG00000023561
astyanax_mexicanus ENSAMXG00000020390
ictalurus_punctatus ENSIPUG00000004255
danio_rerio ENSDARG00000060679
paramormyrops_kingsleyae ENSPKIG00000014589
scleropages_formosus ENSSFOG00015001769
lepisosteus_oculatus ENSLOCG00000004475
ciona_intestinalis ENSCING00000006580
ciona_savignyi ENSCSAVG00000008654
drosophila_melanogaster FBgn0260397
