microtus_ochrogaster ENSMOCG00000020903
mesocricetus_auratus ENSMAUG00000013791
peromyscus_maniculatus_bairdii ENSPEMG00000007967
meriones_unguiculatus ENSMUGG00000004298
mus_spicilegus ENSMSIG00000000541
mus_musculus ENSMUSG00000055150
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030221
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029160
mus_pahari MGP_PahariEiJ_G0021029
rattus_norvegicus ENSRNOG00000015322
nannospalax_galili ENSNGAG00000013957
jaculus_jaculus ENSJJAG00000009556
dipodomys_ordii ENSDORG00000027442
ochotona_princeps ENSOPRG00000012438
vicugna_pacos ENSVPAG00000010941
erinaceus_europaeus ENSEEUG00000008621
