salvator_merianae ENSSMRG00000012432
pogona_vitticeps ENSPVIG00000014902
notechis_scutatus ENSNSUG00000001330
gopherus_agassizii ENSGAGG00000006979
chelonoidis_abingdonii ENSCABG00000011161
chrysemys_picta_bellii ENSCPBG00000019402
equus_asinus_asinus ENSEASG00005004313
pteropus_vampyrus ENSPVAG00000006718
panthera_tigris_altaica ENSPTIG00000012364
canis_lupus_dingo ENSCAFG00020014540
bos_mutus ENSBMUG00000014751
bos_taurus ENSBTAG00000023546
bison_bison_bison ENSBBBG00000005973
capra_hircus ENSCHIG00000020047
tursiops_truncatus ENSTTRG00000013803
vicugna_pacos ENSVPAG00000010135
nomascus_leucogenys ENSNLEG00000017800
pan_troglodytes ENSPTRG00000052700
piliocolobus_tephrosceles ENSPTEG00000004621
rhinopithecus_roxellana ENSRROG00000044481
theropithecus_gelada ENSTGEG00000003151
aotus_nancymaae ENSANAG00000020925
prolemur_simus ENSPSMG00000004929
procavia_capensis ENSPCAG00000013989
choloepus_hoffmanni ENSCHOG00000002315
canis_lupus_familiaris ENSCAFG00000028618
esox_lucius ENSELUG00000009581
esox_lucius ENSELUG00000001178
pygocentrus_nattereri ENSPNAG00000011688
