apteryx_owenii ENSAOWG00000012054
apteryx_haastii ENSAHAG00000011821
nothoprocta_perdicaria ENSNPEG00000016062
dromaius_novaehollandiae ENSDNVG00000014925
anas_platyrhynchos ENSAPLG00000010025
anser_brachyrhynchus ENSABRG00000007562
gallus_gallus ENSGALG00000008866
coturnix_japonica ENSCJPG00005011776
meleagris_gallopavo ENSMGAG00000004854
numida_meleagris ENSNMEG00000003137
manacus_vitellinus ENSMVIG00005018493
lepidothrix_coronata ENSLCOG00000013425
taeniopygia_guttata ENSTGUG00000002232
lonchura_striata ENSLSDG00000016430
serinus_canaria ENSSCAG00000000727
junco_hyemalis ENSJHYG00000002187
zonotrichia_albicollis ENSZALG00000012426
ficedula_albicollis ENSFALG00000013596
parus_major ENSPMJG00000002462
cyanistes_caeruleus ENSCCEG00000012884
calidris_pugnax ENSCPUG00000002908
melopsittacus_undulatus ENSMUNG00000006794
crocodylus_porosus ENSCPRG00005013098
chrysemys_picta ENSCPBG00000013191
gopherus_agassizii ENSGAGG00000008515
pelodiscus_sinensis ENSPSIG00000013662
anolis_carolinensis ENSACAG00000005832
pogona_vitticeps ENSPVIG00000015754
notechis_scutatus ENSNSUG00000019119
salvator_merianae ENSSMRG00000005490
sphenodon_punctatus ENSSPUG00000012958
ursus_maritimus ENSUMAG00000020957
ursus_americanus ENSUAMG00000013339
ailuropoda_melanoleuca ENSAMEG00000005449
mustela_putorius ENSMPUG00000005918
neovison_vison ENSNVIG00000010207
canis_lupus ENSCAFG00000003119
canis_lupus ENSCAFG00020026927
vulpes_vulpes ENSVVUG00000012239
panthera_pardus ENSPPRG00000024890
panthera_tigris ENSPTIG00000018461
felis_catus ENSFCAG00000006657
pteropus_vampyrus ENSPVAG00000005192
sorex_araneus ENSSARG00000011172
erinaceus_europaeus ENSEEUG00000005003
ovis_aries ENSOARG00000020065
capra_hircus ENSCHIG00000018963
bos_indicus ENSBIXG00000015420
bos_indicus ENSBIXG00005009244
bos_mutus ENSBMUG00000022282
bos_taurus ENSBTAG00000005151
bison_bison ENSBBBG00000015935
tursiops_truncatus ENSTTRG00000005288
vicugna_pacos ENSVPAG00000012475
equus_caballus ENSECAG00000019956
equus_asinus ENSEASG00005007245
myotis_lucifugus ENSMLUG00000002336
meriones_unguiculatus ENSMUGG00000009489
rhinopithecus_bieti ENSRBIG00000040890
rhinopithecus_roxellana ENSRROG00000045273
piliocolobus_tephrosceles ENSPTEG00000022413
colobus_angolensis ENSCANG00000031532
theropithecus_gelada ENSTGEG00000009199
papio_anubis ENSPANG00000019775
cercocebus_atys ENSCATG00000043458
mandrillus_leucophaeus ENSMLEG00000040899
macaca_fascicularis ENSMFAG00000033390
macaca_mulatta ENSMMUG00000003979
macaca_nemestrina ENSMNEG00000030809
chlorocebus_sabaeus ENSCSAG00000014684
homo_sapiens ENSG00000143951
gorilla_gorilla ENSGGOG00000011930
pan_paniscus ENSPPAG00000032819
pan_troglodytes ENSPTRG00000024270
pongo_abelii ENSPPYG00000012374
nomascus_leucogenys ENSNLEG00000009810
