scophthalmus_maximus ENSSMAG00000005980
cynoglossus_semilaevis ENSCSEG00000016186
seriola_lalandi_dorsalis ENSSLDG00000000294
seriola_dumerili ENSSDUG00000006418
monopterus_albus ENSMALG00000000836
mastacembelus_armatus ENSMAMG00000019134
anabas_testudineus ENSATEG00000000472
mola_mola ENSMMOG00000009738
haplochromis_burtoni ENSHBUG00000016410
pundamilia_nyererei ENSPNYG00000009824
astatotilapia_calliptera ENSACLG00000010352
oreochromis_niloticus ENSONIG00000015501
amphilophus_citrinellus ENSACIG00000023225
poecilia_mexicana ENSPMEG00000022022
poecilia_formosa ENSPFOG00000011172
poecilia_latipinna ENSPLAG00000019448
poecilia_reticulata ENSPREG00000002074
xiphophorus_maculatus ENSXMAG00000014318
xiphophorus_couchianus ENSXCOG00000013035
gambusia_affinis ENSGAFG00000018544
cyprinodon_variegatus ENSCVAG00000021710
fundulus_heteroclitus ENSFHEG00000020676
kryptolebias_marmoratus ENSKMAG00000007256
oryzias_latipes_asm223469v1 ENSORLG00015012087
oryzias_latipes ENSORLG00000020780
oryzias_melastigma ENSOMEG00000017726
amphiprion_ocellaris ENSAOCG00000016765
amphiprion_percula ENSAPEG00000022107
acanthochromis_polyacanthus ENSAPOG00000013627
stegastes_partitus ENSSPAG00000013777
gasterosteus_aculeatus ENSGACG00000004531
tetraodon_nigroviridis ENSTNIG00000011183
tetraodon_nigroviridis ENSTNIG00000002161
takifugu_rubripes ENSTRUG00000003500
periophthalmus_magnuspinnatus ENSPMGG00000020990
pygocentrus_nattereri ENSPNAG00000008766
astyanax_mexicanus ENSAMXG00000010301
ictalurus_punctatus ENSIPUG00000019975
danio_rerio ENSDARG00000060312
esox_lucius ENSELUG00000021201
paramormyrops_kingsleyae ENSPKIG00000012222
paramormyrops_kingsleyae ENSPKIG00000018068
scleropages_formosus ENSSFOG00015015148
lepisosteus_oculatus ENSLOCG00000014830
ciona_intestinalis ENSCING00000013075
