taeniopygia_guttata ENSTGUG00000011463
lonchura_striata_domestica ENSLSDG00000008566
serinus_canaria ENSSCAG00000008553
zonotrichia_albicollis ENSZALG00000016678
junco_hyemalis ENSJHYG00000000057
cyanistes_caeruleus ENSCCEG00000016398
parus_major ENSPMJG00000007162
ficedula_albicollis ENSFALG00000005383
lepidothrix_coronata ENSLCOG00000014876
manacus_vitellinus ENSMVIG00005016149
melopsittacus_undulatus ENSMUNG00000002783
calidris_pygmaea ENSCPGG00000005337
calidris_pugnax ENSCPUG00000017008
anas_platyrhynchos_platyrhynchos ENSAPLG00000006837
anser_brachyrhynchus ENSABRG00000019323
gallus_gallus ENSGALG00000035535
meleagris_gallopavo ENSMGAG00000011061
coturnix_japonica ENSCJPG00005018759
numida_meleagris ENSNMEG00000012672
apteryx_haastii ENSAHAG00000014423
apteryx_rowi ENSARWG00000002631
apteryx_owenii ENSAOWG00000013164
dromaius_novaehollandiae ENSDNVG00000006876
nothoprocta_perdicaria ENSNPEG00000000223
crocodylus_porosus ENSCPRG00005006595
gopherus_agassizii ENSGAGG00000016493
chelonoidis_abingdonii ENSCABG00000019599
chrysemys_picta_bellii ENSCPBG00000011895
pelodiscus_sinensis ENSPSIG00000014501
pogona_vitticeps ENSPVIG00000012526
anolis_carolinensis ENSACAG00000007075
notechis_scutatus ENSNSUG00000018376
salvator_merianae ENSSMRG00000017977
sphenodon_punctatus ENSSPUG00000007956
tursiops_truncatus ENSTTRG00000004564
vicugna_pacos ENSVPAG00000009001
ovis_aries ENSOARG00000005235
capra_hircus ENSCHIG00000017330
bos_mutus ENSBMUG00000022224
bos_taurus ENSBTAG00000001721
bison_bison_bison ENSBBBG00000017706
sus_scrofa ENSSSCG00000011698
equus_caballus ENSECAG00000023192
equus_asinus_asinus ENSEASG00005021841
mustela_putorius_furo ENSMPUG00000002430
neovison_vison ENSNVIG00000013975
mustela_putorius_furo ENSMPUG00000010968
ursus_maritimus ENSUMAG00000012408
ursus_americanus ENSUAMG00000007572
ailuropoda_melanoleuca ENSAMEG00000010890
canis_lupus_familiaris ENSCAFG00000008249
canis_lupus_dingo ENSCAFG00020018942
vulpes_vulpes ENSVVUG00000012194
panthera_pardus ENSPPRG00000007281
panthera_tigris_altaica ENSPTIG00000007857
felis_catus ENSFCAG00000007859
pteropus_vampyrus ENSPVAG00000012581
myotis_lucifugus ENSMLUG00000006382
erinaceus_europaeus ENSEEUG00000000670
erinaceus_europaeus ENSEEUG00000006475
cercocebus_atys ENSCATG00000042513
macaca_nemestrina ENSMNEG00000031547
mandrillus_leucophaeus ENSMLEG00000038917
rhinopithecus_bieti ENSRBIG00000033305
cercocebus_atys ENSCATG00000037498
pan_troglodytes ENSPTRG00000042719
pan_paniscus ENSPPAG00000000929
gorilla_gorilla ENSGGOG00000038749
nomascus_leucogenys ENSNLEG00000030625
rhinopithecus_bieti ENSRBIG00000029342
rhinopithecus_roxellana ENSRROG00000032133
macaca_fascicularis ENSMFAG00000037192
cercocebus_atys ENSCATG00000032683
macaca_mulatta ENSMMUG00000044244
papio_anubis ENSPANG00000032025
saimiri_boliviensis_boliviensis ENSSBOG00000031773
pan_troglodytes ENSPTRG00000015509
pan_paniscus ENSPPAG00000033397
gorilla_gorilla ENSGGOG00000008980
homo_sapiens ENSG00000163754
pongo_abelii ENSPPYG00000025899
nomascus_leucogenys ENSNLEG00000002557
rhinopithecus_bieti ENSRBIG00000041646
piliocolobus_tephrosceles ENSPTEG00000007620
papio_anubis ENSPANG00000025217
theropithecus_gelada ENSTGEG00000007515
macaca_mulatta ENSMMUG00000005521
mandrillus_leucophaeus ENSMLEG00000029835
chlorocebus_sabaeus ENSCSAG00000011436
rhinopithecus_roxellana ENSRROG00000035996
colobus_angolensis_palliatus ENSCANG00000037345
macaca_nemestrina ENSMNEG00000029032
macaca_fascicularis ENSMFAG00000039971
cercocebus_atys ENSCATG00000041913
cebus_capucinus ENSCCAG00000010480
saimiri_boliviensis_boliviensis ENSSBOG00000035071
callithrix_jacchus ENSCJAG00000001467
aotus_nancymaae ENSANAG00000036809
carlito_syrichta ENSTSYG00000014643
prolemur_simus ENSPSMG00000007740
microcebus_murinus ENSMICG00000048915
propithecus_coquereli ENSPCOG00000023589
otolemur_garnettii ENSOGAG00000008323
nannospalax_galili ENSNGAG00000020600
nannospalax_galili ENSNGAG00000021355
mus_musculus ENSMUSG00000019528
mus_spicilegus ENSMSIG00000025310
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025810
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024879
mus_pahari MGP_PahariEiJ_G0026324
rattus_norvegicus ENSRNOG00000011146
meriones_unguiculatus ENSMUGG00000011805
peromyscus_maniculatus_bairdii ENSPEMG00000016029
microtus_ochrogaster ENSMOCG00000013677
cricetulus_griseus_chok1gshd ENSCGRG00001022471
cricetulus_griseus_crigri-picr ENSCGRG00015028003
cricetulus_griseus_crigri ENSCGRG00000012623
mesocricetus_auratus ENSMAUG00000016848
jaculus_jaculus ENSJJAG00000007942
castor_canadensis ENSCCNG00000025559
