monodelphis_domestica ENSMODG00000005303
phascolarctos_cinereus ENSPCIG00000031478
bos_mutus ENSBMUG00000002754
bos_taurus ENSBTAG00000004290
bison_bison_bison ENSBBBG00000015814
capra_hircus ENSCHIG00000009658
ovis_aries ENSOARG00000003313
sus_scrofa ENSSSCG00000026038
myotis_lucifugus ENSMLUG00000005899
equus_caballus ENSECAG00000006451
equus_asinus_asinus ENSEASG00005020387
ursus_americanus ENSUAMG00000016116
ursus_maritimus ENSUMAG00000019200
ailuropoda_melanoleuca ENSAMEG00000019426
neovison_vison ENSNVIG00000009075
mustela_putorius_furo ENSMPUG00000006915
canis_lupus_familiaris ENSCAFG00000020327
canis_lupus_dingo ENSCAFG00020019785
vulpes_vulpes ENSVVUG00000012876
panthera_pardus ENSPPRG00000018322
panthera_tigris_altaica ENSPTIG00000006444
felis_catus ENSFCAG00000012858
erinaceus_europaeus ENSEEUG00000005017
dasypus_novemcinctus ENSDNOG00000033593
spermophilus_dauricus ENSSDAG00000018253
urocitellus_parryii ENSUPAG00010000207
ictidomys_tridecemlineatus ENSSTOG00000002064
marmota_marmota_marmota ENSMMMG00000014578
cavia_porcellus ENSCPOG00000013746
cricetulus_griseus_crigri-picr ENSCGRG00015008553
cricetulus_griseus_chok1gshd ENSCGRG00001024412
peromyscus_maniculatus_bairdii ENSPEMG00000003395
microtus_ochrogaster ENSMOCG00000009815
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032628
mus_musculus ENSMUSG00000045538
mus_spicilegus ENSMSIG00000005810
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031510
mus_pahari MGP_PahariEiJ_G0023110
rattus_norvegicus ENSRNOG00000019817
meriones_unguiculatus ENSMUGG00000017111
nannospalax_galili ENSNGAG00000015762
jaculus_jaculus ENSJJAG00000012460
dipodomys_ordii ENSDORG00000028868
oryctolagus_cuniculus ENSOCUG00000023074
tupaia_belangeri ENSTBEG00000017695
propithecus_coquereli ENSPCOG00000024632
microcebus_murinus ENSMICG00000012346
otolemur_garnettii ENSOGAG00000016895
gorilla_gorilla ENSGGOG00000001220
homo_sapiens ENSG00000182810
pan_troglodytes ENSPTRG00000008258
pan_paniscus ENSPPAG00000036971
pongo_abelii ENSPPYG00000007481
theropithecus_gelada ENSTGEG00000007913
macaca_mulatta ENSMMUG00000010836
chlorocebus_sabaeus ENSCSAG00000018472
piliocolobus_tephrosceles ENSPTEG00000013115
echinops_telfairi ENSETEG00000001062
echinops_telfairi ENSETEG00000001786
loxodonta_africana ENSLAFG00000031239
choloepus_hoffmanni ENSCHOG00000002864
sorex_araneus ENSSARG00000014169
ornithorhynchus_anatinus ENSOANG00000003551
gallus_gallus ENSGALG00000048700
meleagris_gallopavo ENSMGAG00000004063
coturnix_japonica ENSCJPG00005012388
numida_meleagris ENSNMEG00000016764
anas_platyrhynchos_platyrhynchos ENSAPLG00000024535
anser_brachyrhynchus ENSABRG00000022669
melopsittacus_undulatus ENSMUNG00000014853
calidris_pugnax ENSCPUG00000002260
calidris_pygmaea ENSCPGG00000017220
ficedula_albicollis ENSFALG00000014595
cyanistes_caeruleus ENSCCEG00000015160
parus_major ENSPMJG00000001387
lepidothrix_coronata ENSLCOG00000015171
manacus_vitellinus ENSMVIG00005008929
junco_hyemalis ENSJHYG00000015310
zonotrichia_albicollis ENSZALG00000012041
lonchura_striata_domestica ENSLSDG00000015514
serinus_canaria ENSSCAG00000004982
apteryx_owenii ENSAOWG00000015294
apteryx_rowi ENSARWG00000005062
apteryx_haastii ENSAHAG00000000661
dromaius_novaehollandiae ENSDNVG00000016196
nothoprocta_perdicaria ENSNPEG00000001692
crocodylus_porosus ENSCPRG00005002813
chelonoidis_abingdonii ENSCABG00000018658
gopherus_agassizii ENSGAGG00000004565
chrysemys_picta_bellii ENSCPBG00000012105
pelodiscus_sinensis ENSPSIG00000001127
anolis_carolinensis ENSACAG00000009755
pogona_vitticeps ENSPVIG00000013243
notechis_scutatus ENSNSUG00000017963
salvator_merianae ENSSMRG00000000268
xenopus_tropicalis ENSXETG00000005435
latimeria_chalumnae ENSLACG00000005578
hippocampus_comes ENSHCOG00000017590
periophthalmus_magnuspinnatus ENSPMGG00000007908
xiphophorus_couchianus ENSXCOG00000012364
xiphophorus_maculatus ENSXMAG00000019603
gambusia_affinis ENSGAFG00000009249
poecilia_formosa ENSPFOG00000020838
poecilia_formosa ENSPFOG00000020952
poecilia_mexicana ENSPMEG00000011311
poecilia_latipinna ENSPLAG00000016292
poecilia_reticulata ENSPREG00000002899
cyprinodon_variegatus ENSCVAG00000004044
fundulus_heteroclitus ENSFHEG00000012573
kryptolebias_marmoratus ENSKMAG00000018183
oryzias_latipes ENSORLG00020001951
oryzias_latipes ENSORLG00000011968
oryzias_latipes_asm223469v1 ENSORLG00015023030
oryzias_melastigma ENSOMEG00000012445
cynoglossus_semilaevis ENSCSEG00000011651
takifugu_rubripes ENSTRUG00000007815
tetraodon_nigroviridis ENSTNIG00000011352
mola_mola ENSMMOG00000000270
gasterosteus_aculeatus ENSGACG00000016367
seriola_dumerili ENSSDUG00000003257
seriola_lalandi_dorsalis ENSSLDG00000004513
scophthalmus_maximus ENSSMAG00000006831
labrus_bergylta ENSLBEG00000006072
amphiprion_ocellaris ENSAOCG00000004610
amphiprion_percula ENSAPEG00000002143
acanthochromis_polyacanthus ENSAPOG00000000991
stegastes_partitus ENSSPAG00000000988
pundamilia_nyererei ENSPNYG00000018804
haplochromis_burtoni ENSHBUG00000001016
astatotilapia_calliptera ENSACLG00000012984
maylandia_zebra ENSMZEG00005009292
neolamprologus_brichardi ENSNBRG00000001337
oreochromis_niloticus ENSONIG00000020597
amphilophus_citrinellus ENSACIG00000021615
monopterus_albus ENSMALG00000008864
mastacembelus_armatus ENSMAMG00000020220
anabas_testudineus ENSATEG00000018691
gadus_morhua ENSGMOG00000017045
esox_lucius ENSELUG00000005302
pygocentrus_nattereri ENSPNAG00000014597
astyanax_mexicanus ENSAMXG00000005878
ictalurus_punctatus ENSIPUG00000017350
danio_rerio ENSDARG00000060411
paramormyrops_kingsleyae ENSPKIG00000021200
scleropages_formosus ENSSFOG00015010181
lepisosteus_oculatus ENSLOCG00000017604
petromyzon_marinus ENSPMAG00000004003
petromyzon_marinus ENSPMAG00000006983
eptatretus_burgeri ENSEBUG00000004791
ciona_intestinalis ENSCING00000024630
ciona_savignyi ENSCSAVG00000006341
drosophila_melanogaster FBgn0086130
saccharomyces_cerevisiae YGL064C
