pteropus_vampyrus ENSPVAG00000011575
myotis_lucifugus ENSMLUG00000007435
ursus_maritimus ENSUMAG00000025328
ursus_americanus ENSUAMG00000021408
ailuropoda_melanoleuca ENSAMEG00000003516
neovison_vison ENSNVIG00000011873
mustela_putorius_furo ENSMPUG00000009855
canis_lupus_dingo ENSCAFG00020012944
canis_lupus_familiaris ENSCAFG00000025093
vulpes_vulpes ENSVVUG00000000253
panthera_tigris_altaica ENSPTIG00000007494
panthera_pardus ENSPPRG00000006278
felis_catus ENSFCAG00000013839
equus_asinus_asinus ENSEASG00005019208
capra_hircus ENSCHIG00000014905
ovis_aries ENSOARG00000007182
bos_mutus ENSBMUG00000025285
bos_taurus ENSBTAG00000017714
bison_bison_bison ENSBBBG00000015207
tursiops_truncatus ENSTTRG00000015630
vicugna_pacos ENSVPAG00000011337
sus_scrofa ENSSSCG00000015661
rattus_norvegicus ENSRNOG00000004125
mus_spicilegus ENSMSIG00000025240
meriones_unguiculatus ENSMUGG00000021258
cricetulus_griseus_crigri-picr ENSCGRG00015005490
peromyscus_maniculatus_bairdii ENSPEMG00000029381
castor_canadensis ENSCCNG00000019754
marmota_marmota_marmota ENSMMMG00000002378
urocitellus_parryii ENSUPAG00010015947
heterocephalus_glaber_female ENSHGLG00000004277
heterocephalus_glaber_male ENSHGLG00100003260
cavia_porcellus ENSCPOG00000000380
tupaia_belangeri ENSTBEG00000005879
pan_paniscus ENSPPAG00000034105
homo_sapiens ENSG00000123843
gorilla_gorilla ENSGGOG00000012249
pan_troglodytes ENSPTRG00000001926
pongo_abelii ENSPPYG00000000271
nomascus_leucogenys ENSNLEG00000007499
rhinopithecus_bieti ENSRBIG00000036152
rhinopithecus_roxellana ENSRROG00000033566
colobus_angolensis_palliatus ENSCANG00000027599
piliocolobus_tephrosceles ENSPTEG00000035136
theropithecus_gelada ENSTGEG00000011840
papio_anubis ENSPANG00000018149
mandrillus_leucophaeus ENSMLEG00000040827
cercocebus_atys ENSCATG00000043219
macaca_mulatta ENSMMUG00000022168
macaca_fascicularis ENSMFAG00000002712
macaca_nemestrina ENSMNEG00000015766
chlorocebus_sabaeus ENSCSAG00000015078
cebus_capucinus ENSCCAG00000030739
saimiri_boliviensis_boliviensis ENSSBOG00000021724
callithrix_jacchus ENSCJAG00000018353
aotus_nancymaae ENSANAG00000020439
carlito_syrichta ENSTSYG00000014489
prolemur_simus ENSPSMG00000008264
microcebus_murinus ENSMICG00000046708
propithecus_coquereli ENSPCOG00000025523
loxodonta_africana ENSLAFG00000001875
procavia_capensis ENSPCAG00000000481
echinops_telfairi ENSETEG00000019050
sorex_araneus ENSSARG00000007055
erinaceus_europaeus ENSEEUG00000011390
phascolarctos_cinereus ENSPCIG00000034206
notamacropus_eugenii ENSMEUG00000012030
monodelphis_domestica ENSMODG00000002211
