denticeps_clupeoides ENSDCDG00000026956
clupea_harengus ENSCHAG00000019419
gasterosteus_aculeatus ENSGACG00000016553
gadus_morhua ENSGMOG00000001013
labrus_bergylta ENSLBEG00000009889
hippocampus_comes ENSHCOG00000020751
cynoglossus_semilaevis ENSCSEG00000012383
oryzias_latipes ENSORLG00020021792
oryzias_latipes ENSORLG00000029891
oryzias_latipes ENSORLG00015000829
oryzias_melastigma ENSOMEG00000014770
betta_splendens ENSBSLG00000020041
xiphophorus_maculatus ENSXMAG00000000028
xiphophorus_couchianus ENSXCOG00000013950
gambusia_affinis ENSGAFG00000013024
poecilia_mexicana ENSPMEG00000009697
poecilia_latipinna ENSPLAG00000003021
poecilia_formosa ENSPFOG00000002077
poecilia_reticulata ENSPREG00000004761
cyprinodon_variegatus ENSCVAG00000019262
fundulus_heteroclitus ENSFHEG00000022290
kryptolebias_marmoratus ENSKMAG00000017822
gouania_willdenowi ENSGWIG00000022246
amphiprion_ocellaris ENSAOCG00000020015
amphiprion_percula ENSAPEG00000008466
larimichthys_crocea ENSLCRG00005022902
mastacembelus_armatus ENSMAMG00000002444
anabas_testudineus ENSATEG00000001821
parambassis_ranga ENSPRNG00000023214
mola_mola ENSMMOG00000000008
takifugu_rubripes ENSTRUG00000003484
lates_calcarifer ENSLCAG00010018927
scophthalmus_maximus ENSSMAG00000008191
seriola_dumerili ENSSDUG00000005083
seriola_lalandi ENSSLDG00000001854
monopterus_albus ENSMALG00000012187
cottoperca_gobio ENSCGOG00000014736
pundamilia_nyererei ENSPNYG00000012275
maylandia_zebra ENSMZEG00005007639
astatotilapia_calliptera ENSACLG00000015181
haplochromis_burtoni ENSHBUG00000002176
neolamprologus_brichardi ENSNBRG00000011095
oreochromis_niloticus ENSONIG00000002690
amphilophus_citrinellus ENSACIG00000016226
stegastes_partitus ENSSPAG00000001522
hucho_hucho ENSHHUG00000046293
hucho_hucho ENSHHUG00000048133
esox_lucius ENSELUG00000016930
pygocentrus_nattereri ENSPNAG00000004691
astyanax_mexicanus ENSAMXG00005015863
ictalurus_punctatus ENSIPUG00000011023
electrophorus_electricus ENSEEEG00000016257
paramormyrops_kingsleyae ENSPKIG00000015514
paramormyrops_kingsleyae ENSPKIG00000000781
scleropages_formosus ENSSFOG00015003675
lepisosteus_oculatus ENSLOCG00000014280
xenopus_tropicalis ENSXETG00000002464
latimeria_chalumnae ENSLACG00000011747
callorhinchus_milii ENSCMIG00000008160
acanthochromis_polyacanthus ENSAPOG00000015689
acanthochromis_polyacanthus ENSAPOG00000021017
acanthochromis_polyacanthus ENSAPOG00000001086
tetraodon_nigroviridis ENSTNIG00000011966
hucho_hucho ENSHHUG00000005263
hucho_hucho ENSHHUG00000046290
scleropages_formosus ENSSFOG00015003702
periophthalmus_magnuspinnatus ENSPMGG00000011401
periophthalmus_magnuspinnatus ENSPMGG00000011398
astyanax_mexicanus ENSAMXG00000033932
scleropages_formosus ENSSFOG00015006551
chelonoidis_abingdonii ENSCABG00000018149
chrysemys_picta ENSCPBG00000024201
gopherus_agassizii ENSGAGG00000004620
lonchura_striata ENSLSDG00000011130
taeniopygia_guttata ENSTGUG00000004965
serinus_canaria ENSSCAG00000016366
junco_hyemalis ENSJHYG00000013803
zonotrichia_albicollis ENSZALG00000015373
anas_platyrhynchos ENSAPLG00000026730
cyanistes_caeruleus ENSCCEG00000000291
parus_major ENSPMJG00000007177
ficedula_albicollis ENSFALG00000009980
lepidothrix_coronata ENSLCOG00000015201
manacus_vitellinus ENSMVIG00005016913
melopsittacus_undulatus ENSMUNG00000001154
calidris_pygmaea ENSCPGG00000009655
calidris_pugnax ENSCPUG00000004775
meleagris_gallopavo ENSMGAG00000000858
gallus_gallus ENSGALG00000038637
coturnix_japonica ENSCJPG00005000161
anser_brachyrhynchus ENSABRG00000011857
numida_meleagris ENSNMEG00000008072
nothoprocta_perdicaria ENSNPEG00000006063
apteryx_owenii ENSAOWG00000002572
apteryx_haastii ENSAHAG00000014078
apteryx_rowi ENSARWG00000013768
dromaius_novaehollandiae ENSDNVG00000016813
pelodiscus_sinensis ENSPSIG00000018158
anas_platyrhynchos ENSAPLG00000006184
anolis_carolinensis ENSACAG00000006308
