hippocampus_comes ENSHCOG00000003494
periophthalmus_magnuspinnatus ENSPMGG00000022486
takifugu_rubripes ENSTRUG00000002430
tetraodon_nigroviridis ENSTNIG00000012956
mastacembelus_armatus ENSMAMG00000013150
monopterus_albus ENSMALG00000002726
anabas_testudineus ENSATEG00000017906
seriola_lalandi_dorsalis ENSSLDG00000019158
seriola_dumerili ENSSDUG00000008876
labrus_bergylta ENSLBEG00000006573
mola_mola ENSMMOG00000000378
amphiprion_ocellaris ENSAOCG00000013429
amphiprion_percula ENSAPEG00000003175
acanthochromis_polyacanthus ENSAPOG00000023592
stegastes_partitus ENSSPAG00000014186
astatotilapia_calliptera ENSACLG00000017299
maylandia_zebra ENSMZEG00005020353
pundamilia_nyererei ENSPNYG00000002585
haplochromis_burtoni ENSHBUG00000010749
neolamprologus_brichardi ENSNBRG00000014029
oreochromis_niloticus ENSONIG00000004280
amphilophus_citrinellus ENSACIG00000024289
poecilia_formosa ENSPFOG00000008394
poecilia_mexicana ENSPMEG00000009592
poecilia_latipinna ENSPLAG00000009559
poecilia_reticulata ENSPREG00000008440
xiphophorus_maculatus ENSXMAG00000028496
xiphophorus_couchianus ENSXCOG00000015632
gambusia_affinis ENSGAFG00000019831
cyprinodon_variegatus ENSCVAG00000014270
fundulus_heteroclitus ENSFHEG00000014982
kryptolebias_marmoratus ENSKMAG00000015940
cynoglossus_semilaevis ENSCSEG00000012814
scophthalmus_maximus ENSSMAG00000006758
oryzias_latipes ENSORLG00020016478
oryzias_latipes ENSORLG00000011483
oryzias_latipes_asm223469v1 ENSORLG00015011164
oryzias_melastigma ENSOMEG00000021884
gasterosteus_aculeatus ENSGACG00000016856
gadus_morhua ENSGMOG00000019144
esox_lucius ENSELUG00000022095
pygocentrus_nattereri ENSPNAG00000024397
astyanax_mexicanus ENSAMXG00000039070
ictalurus_punctatus ENSIPUG00000001259
danio_rerio ENSDARG00000021250
paramormyrops_kingsleyae ENSPKIG00000000162
scleropages_formosus ENSSFOG00015001917
lepisosteus_oculatus ENSLOCG00000011632
latimeria_chalumnae ENSLACG00000013317
gopherus_agassizii ENSGAGG00000021294
chelonoidis_abingdonii ENSCABG00000000993
chrysemys_picta_bellii ENSCPBG00000008631
pelodiscus_sinensis ENSPSIG00000004099
crocodylus_porosus ENSCPRG00005010833
anolis_carolinensis ENSACAG00000001174
pogona_vitticeps ENSPVIG00000007930
notechis_scutatus ENSNSUG00000003228
salvator_merianae ENSSMRG00000017512
sphenodon_punctatus ENSSPUG00000008696
zonotrichia_albicollis ENSZALG00000009583
junco_hyemalis ENSJHYG00000013690
ficedula_albicollis ENSFALG00000007985
lonchura_striata_domestica ENSLSDG00000007455
serinus_canaria ENSSCAG00000010961
taeniopygia_guttata ENSTGUG00000001239
cyanistes_caeruleus ENSCCEG00000010858
parus_major ENSPMJG00000009610
manacus_vitellinus ENSMVIG00005010554
