anolis_carolinensis ENSACAG00000001462
pogona_vitticeps ENSPVIG00000022368
notechis_scutatus ENSNSUG00000008829
salvator_merianae ENSSMRG00000012808
sphenodon_punctatus ENSSPUG00000010280
gopherus_agassizii ENSGAGG00000013706
chelonoidis_abingdonii ENSCABG00000001234
chrysemys_picta_bellii ENSCPBG00000025881
pelodiscus_sinensis ENSPSIG00000014241
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016184
mus_musculus ENSMUSG00000020087
mus_spicilegus ENSMSIG00000030627
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015373
mus_pahari MGP_PahariEiJ_G0030789
rattus_norvegicus ENSRNOG00000024839
meriones_unguiculatus ENSMUGG00000004184
peromyscus_maniculatus_bairdii ENSPEMG00000007945
microtus_ochrogaster ENSMOCG00000012441
cricetulus_griseus_crigri-picr ENSCGRG00015006275
cricetulus_griseus_chok1gshd ENSCGRG00001018209
mesocricetus_auratus ENSMAUG00000010004
nannospalax_galili ENSNGAG00000011865
jaculus_jaculus ENSJJAG00000011394
castor_canadensis ENSCCNG00000030855
dipodomys_ordii ENSDORG00000016309
chinchilla_lanigera ENSCLAG00000013018
octodon_degus ENSODEG00000013729
cavia_porcellus ENSCPOG00000006334
heterocephalus_glaber_female ENSHGLG00000016748
fukomys_damarensis ENSFDAG00000014331
urocitellus_parryii ENSUPAG00010004522
ictidomys_tridecemlineatus ENSSTOG00000019783
marmota_marmota_marmota ENSMMMG00000007246
ochotona_princeps ENSOPRG00000000486
oryctolagus_cuniculus ENSOCUG00000004775
pan_troglodytes ENSPTRG00000002583
pan_paniscus ENSPPAG00000029085
gorilla_gorilla ENSGGOG00000016639
homo_sapiens ENSG00000156521
pongo_abelii ENSPPYG00000002375
nomascus_leucogenys ENSNLEG00000011278
macaca_fascicularis ENSMFAG00000040775
macaca_mulatta ENSMMUG00000006391
macaca_nemestrina ENSMNEG00000044925
papio_anubis ENSPANG00000022248
theropithecus_gelada ENSTGEG00000028935
cercocebus_atys ENSCATG00000044480
chlorocebus_sabaeus ENSCSAG00000008256
piliocolobus_tephrosceles ENSPTEG00000032329
colobus_angolensis_palliatus ENSCANG00000027914
rhinopithecus_roxellana ENSRROG00000003155
rhinopithecus_bieti ENSRBIG00000033276
saimiri_boliviensis_boliviensis ENSSBOG00000031932
callithrix_jacchus ENSCJAG00000016374
cebus_capucinus ENSCCAG00000028714
aotus_nancymaae ENSANAG00000024230
carlito_syrichta ENSTSYG00000033825
microcebus_murinus ENSMICG00000035296
prolemur_simus ENSPSMG00000007584
propithecus_coquereli ENSPCOG00000007292
otolemur_garnettii ENSOGAG00000028011
tupaia_belangeri ENSTBEG00000007981
bos_taurus ENSBTAG00000038845
bos_mutus ENSBMUG00000016573
ovis_aries ENSOARG00000005850
capra_hircus ENSCHIG00000000064
sus_scrofa ENSSSCG00000010259
tursiops_truncatus ENSTTRG00000006638
vicugna_pacos ENSVPAG00000002630
canis_lupus_dingo ENSCAFG00020025903
canis_lupus_familiaris ENSCAFG00000014026
vulpes_vulpes ENSVVUG00000021608
mustela_putorius_furo ENSMPUG00000004346
neovison_vison ENSNVIG00000011017
panthera_pardus ENSPPRG00000023547
felis_catus ENSFCAG00000044166
equus_caballus ENSECAG00000009202
equus_asinus_asinus ENSEASG00005016043
pteropus_vampyrus ENSPVAG00000000096
myotis_lucifugus ENSMLUG00000024592
erinaceus_europaeus ENSEEUG00000012158
sorex_araneus ENSSARG00000000946
dasypus_novemcinctus ENSDNOG00000047164
choloepus_hoffmanni ENSCHOG00000000470
loxodonta_africana ENSLAFG00000027644
procavia_capensis ENSPCAG00000006206
echinops_telfairi ENSETEG00000011032
notamacropus_eugenii ENSMEUG00000004278
phascolarctos_cinereus ENSPCIG00000015317
