amphiprion_percula ENSAPEG00000023979
amphiprion_ocellaris ENSAOCG00000014235
acanthochromis_polyacanthus ENSAPOG00000020584
stegastes_partitus ENSSPAG00000014407
maylandia_zebra ENSMZEG00005015638
astatotilapia_calliptera ENSACLG00000007255
haplochromis_burtoni ENSHBUG00000012743
pundamilia_nyererei ENSPNYG00000021594
neolamprologus_brichardi ENSNBRG00000015584
oreochromis_niloticus ENSONIG00000006503
amphilophus_citrinellus ENSACIG00000009522
xiphophorus_maculatus ENSXMAG00000018794
xiphophorus_couchianus ENSXCOG00000007287
gambusia_affinis ENSGAFG00000007732
poecilia_formosa ENSPFOG00000005341
poecilia_latipinna ENSPLAG00000011765
poecilia_mexicana ENSPMEG00000010278
poecilia_reticulata ENSPREG00000001398
fundulus_heteroclitus ENSFHEG00000009967
cyprinodon_variegatus ENSCVAG00000014085
kryptolebias_marmoratus ENSKMAG00000019951
oryzias_latipes_asm223469v1 ENSORLG00015018266
oryzias_latipes ENSORLG00020012450
oryzias_latipes ENSORLG00000016352
oryzias_melastigma ENSOMEG00000022039
takifugu_rubripes ENSTRUG00000008694
tetraodon_nigroviridis ENSTNIG00000000520
mola_mola ENSMMOG00000002524
labrus_bergylta ENSLBEG00000007044
gasterosteus_aculeatus ENSGACG00000012932
mastacembelus_armatus ENSMAMG00000011394
monopterus_albus ENSMALG00000006249
anabas_testudineus ENSATEG00000004158
seriola_dumerili ENSSDUG00000011889
seriola_lalandi_dorsalis ENSSLDG00000015539
scophthalmus_maximus ENSSMAG00000014674
cynoglossus_semilaevis ENSCSEG00000004117
hippocampus_comes ENSHCOG00000006014
periophthalmus_magnuspinnatus ENSPMGG00000019758
gadus_morhua ENSGMOG00000006579
esox_lucius ENSELUG00000013823
pygocentrus_nattereri ENSPNAG00000016358
astyanax_mexicanus ENSAMXG00000024641
ictalurus_punctatus ENSIPUG00000005674
danio_rerio ENSDARG00000021849
paramormyrops_kingsleyae ENSPKIG00000010958
scleropages_formosus ENSSFOG00015020856
lepisosteus_oculatus ENSLOCG00000011030
latimeria_chalumnae ENSLACG00000001807
petromyzon_marinus ENSPMAG00000008840
eptatretus_burgeri ENSEBUG00000009002
