erinaceus_europaeus ENSEEUG00000009400
myotis_lucifugus ENSMLUG00000009702
ursus_americanus ENSUAMG00000013398
ailuropoda_melanoleuca ENSAMEG00000013599
ursus_maritimus ENSUMAG00000013565
neovison_vison ENSNVIG00000013060
mustela_putorius_furo ENSMPUG00000013425
canis_lupus_familiaris ENSCAFG00000005139
canis_lupus_dingo ENSCAFG00020006250
vulpes_vulpes ENSVVUG00000015183
panthera_tigris_altaica ENSPTIG00000015569
panthera_pardus ENSPPRG00000013664
felis_catus ENSFCAG00000036909
equus_asinus_asinus ENSEASG00005004303
equus_caballus ENSECAG00000021167
tursiops_truncatus ENSTTRG00000001707
vicugna_pacos ENSVPAG00000004436
bos_mutus ENSBMUG00000011264
bos_taurus ENSBTAG00000019153
bison_bison_bison ENSBBBG00000019708
capra_hircus ENSCHIG00000022054
ovis_aries ENSOARG00000006678
capra_hircus ENSCHIG00000009244
bos_mutus ENSBMUG00000002264
sus_scrofa ENSSSCG00000035923
castor_canadensis ENSCCNG00000019087
dipodomys_ordii ENSDORG00000014457
cricetulus_griseus_chok1gshd ENSCGRG00001018648
cricetulus_griseus_crigri ENSCGRG00000017176
cricetulus_griseus_crigri-picr ENSCGRG00015005853
mesocricetus_auratus ENSMAUG00000011301
microtus_ochrogaster ENSMOCG00000015284
peromyscus_maniculatus_bairdii ENSPEMG00000001289
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018301
mus_musculus ENSMUSG00000056962
mus_spicilegus ENSMSIG00000026419
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017455
mus_pahari MGP_PahariEiJ_G0018585
rattus_norvegicus ENSRNOG00000000250
meriones_unguiculatus ENSMUGG00000003976
meriones_unguiculatus ENSMUGG00000003777
nannospalax_galili ENSNGAG00000011471
jaculus_jaculus ENSJJAG00000022867
urocitellus_parryii ENSUPAG00010000850
ictidomys_tridecemlineatus ENSSTOG00000001443
spermophilus_dauricus ENSSDAG00000011968
marmota_marmota_marmota ENSMMMG00000009045
chinchilla_lanigera ENSCLAG00000010162
octodon_degus ENSODEG00000011632
cavia_porcellus ENSCPOG00000004229
cavia_aperea ENSCAPG00000007282
heterocephalus_glaber_female ENSHGLG00000013611
heterocephalus_glaber_male ENSHGLG00100011761
fukomys_damarensis ENSFDAG00000016293
tupaia_belangeri ENSTBEG00000013938
microcebus_murinus ENSMICG00000016945
propithecus_coquereli ENSPCOG00000020192
prolemur_simus ENSPSMG00000007957
otolemur_garnettii ENSOGAG00000033219
carlito_syrichta ENSTSYG00000028329
pongo_abelii ENSPPYG00000008667
homo_sapiens ENSG00000070495
nomascus_leucogenys ENSNLEG00000002543
mandrillus_leucophaeus ENSMLEG00000032426
chlorocebus_sabaeus ENSCSAG00000005101
theropithecus_gelada ENSTGEG00000004573
papio_anubis ENSPANG00000020021
cercocebus_atys ENSCATG00000033039
macaca_fascicularis ENSMFAG00000039650
macaca_nemestrina ENSMNEG00000040644
macaca_mulatta ENSMMUG00000022411
rhinopithecus_bieti ENSRBIG00000013828
rhinopithecus_roxellana ENSRROG00000035170
colobus_angolensis_palliatus ENSCANG00000042928
pan_troglodytes ENSPTRG00000009690
pan_paniscus ENSPPAG00000028606
gorilla_gorilla ENSGGOG00000014361
cebus_capucinus ENSCCAG00000022260
callithrix_jacchus ENSCJAG00000013442
saimiri_boliviensis_boliviensis ENSSBOG00000031416
aotus_nancymaae ENSANAG00000036431
piliocolobus_tephrosceles ENSPTEG00000036754
choloepus_hoffmanni ENSCHOG00000014017
dasypus_novemcinctus ENSDNOG00000034166
echinops_telfairi ENSETEG00000010698
echinops_telfairi ENSETEG00000018140
procavia_capensis ENSPCAG00000000994
loxodonta_africana ENSLAFG00000028280
phascolarctos_cinereus ENSPCIG00000005317
notamacropus_eugenii ENSMEUG00000016728
sarcophilus_harrisii ENSSHAG00000006038
monodelphis_domestica ENSMODG00000001566
oryctolagus_cuniculus ENSOCUG00000025071
ochotona_princeps ENSOPRG00000006334
ornithorhynchus_anatinus ENSOANG00000011569
pogona_vitticeps ENSPVIG00000009500
anolis_carolinensis ENSACAG00000008488
notechis_scutatus ENSNSUG00000015826
salvator_merianae ENSSMRG00000023149
sphenodon_punctatus ENSSPUG00000007627
apteryx_haastii ENSAHAG00000005338
apteryx_owenii ENSAOWG00000011480
apteryx_rowi ENSARWG00000005739
dromaius_novaehollandiae ENSDNVG00000012367
nothoprocta_perdicaria ENSNPEG00000014347
lonchura_striata_domestica ENSLSDG00000003747
taeniopygia_guttata ENSTGUG00000007809
serinus_canaria ENSSCAG00000003280
ficedula_albicollis ENSFALG00000000893
junco_hyemalis ENSJHYG00000011568
zonotrichia_albicollis ENSZALG00000011423
parus_major ENSPMJG00000008294
cyanistes_caeruleus ENSCCEG00000011079
lepidothrix_coronata ENSLCOG00000013490
manacus_vitellinus ENSMVIG00005019030
melopsittacus_undulatus ENSMUNG00000010342
calidris_pugnax ENSCPUG00000004029
calidris_pygmaea ENSCPGG00000009869
coturnix_japonica ENSCJPG00005020698
meleagris_gallopavo ENSMGAG00000004101
gallus_gallus ENSGALG00000001802
numida_meleagris ENSNMEG00000015835
anser_brachyrhynchus ENSABRG00000018988
anas_platyrhynchos_platyrhynchos ENSAPLG00000004061
crocodylus_porosus ENSCPRG00005007233
chelonoidis_abingdonii ENSCABG00000008577
gopherus_agassizii ENSGAGG00000024462
chrysemys_picta_bellii ENSCPBG00000027978
pelodiscus_sinensis ENSPSIG00000002855
xenopus_tropicalis ENSXETG00000019501
latimeria_chalumnae ENSLACG00000013508
astyanax_mexicanus ENSAMXG00000006635
pygocentrus_nattereri ENSPNAG00000005464
danio_rerio ENSDARG00000102896
poecilia_latipinna ENSPLAG00000010812
poecilia_formosa ENSPFOG00000009322
poecilia_mexicana ENSPMEG00000005354
poecilia_reticulata ENSPREG00000012052
xiphophorus_maculatus ENSXMAG00000027107
xiphophorus_couchianus ENSXCOG00000011530
fundulus_heteroclitus ENSFHEG00000020231
cyprinodon_variegatus ENSCVAG00000012728
kryptolebias_marmoratus ENSKMAG00000001632
oryzias_latipes ENSORLG00000018477
oryzias_melastigma ENSOMEG00000020263
astatotilapia_calliptera ENSACLG00000016288
maylandia_zebra ENSMZEG00005002701
pundamilia_nyererei ENSPNYG00000012050
oreochromis_niloticus ENSONIG00000009346
amphilophus_citrinellus ENSACIG00000003910
stegastes_partitus ENSSPAG00000023002
acanthochromis_polyacanthus ENSAPOG00000008504
neolamprologus_brichardi ENSNBRG00000020598
haplochromis_burtoni ENSHBUG00000013221
amphiprion_ocellaris ENSAOCG00000016645
amphiprion_percula ENSAPEG00000006866
gambusia_affinis ENSGAFG00000002053
xiphophorus_couchianus ENSXCOG00000011577
mastacembelus_armatus ENSMAMG00000017683
cynoglossus_semilaevis ENSCSEG00000010738
tetraodon_nigroviridis ENSTNIG00000006500
takifugu_rubripes ENSTRUG00000000851
mola_mola ENSMMOG00000012686
labrus_bergylta ENSLBEG00000028560
gasterosteus_aculeatus ENSGACG00000015017
seriola_dumerili ENSSDUG00000006201
seriola_lalandi_dorsalis ENSSLDG00000023069
scophthalmus_maximus ENSSMAG00000015095
monopterus_albus ENSMALG00000019804
anabas_testudineus ENSATEG00000017255
hippocampus_comes ENSHCOG00000002683
periophthalmus_magnuspinnatus ENSPMGG00000006612
gadus_morhua ENSGMOG00000007652
esox_lucius ENSELUG00000017590
scleropages_formosus ENSSFOG00015000609
paramormyrops_kingsleyae ENSPKIG00000008819
lepisosteus_oculatus ENSLOCG00000011268
petromyzon_marinus ENSPMAG00000004030
eptatretus_burgeri ENSEBUG00000002926
ciona_intestinalis ENSCING00000007133
ciona_savignyi ENSCSAVG00000009952
drosophila_melanogaster FBgn0038948
caenorhabditis_elegans_strain_n2 WBGene00004205
