anabas_testudineus ENSATEG00000005744
monopterus_albus ENSMALG00000021727
seriola_dumerili ENSSDUG00000017384
seriola_lalandi ENSSLDG00000013851
scophthalmus_maximus ENSSMAG00000018870
labrus_bergylta ENSLBEG00000001837
acanthochromis_polyacanthus ENSAPOG00000014849
amphiprion_percula ENSAPEG00000002230
stegastes_partitus ENSSPAG00000003529
poecilia_mexicana ENSPMEG00000009795
xiphophorus_maculatus ENSXMAG00000029214
oryzias_latipes ENSORLG00015007852
maylandia_zebra ENSMZEG00005025007
astatotilapia_calliptera ENSACLG00000017538
pundamilia_nyererei ENSPNYG00000015731
neolamprologus_brichardi ENSNBRG00000011266
haplochromis_burtoni ENSHBUG00000008485
xiphophorus_maculatus ENSXMAG00000020898
poecilia_reticulata ENSPREG00000015987
gambusia_affinis ENSGAFG00000013751
neolamprologus_brichardi ENSNBRG00000016148
larimichthys_crocea ENSLCRG00005021433
clupea_harengus ENSCHAG00000001552
paramormyrops_kingsleyae ENSPKIG00000005347
