pelodiscus_sinensis ENSPSIG00000016766
chrysemys_picta_bellii ENSCPBG00000007984
nothoprocta_perdicaria ENSNPEG00000004948
nothoprocta_perdicaria ENSNPEG00000004946
manacus_vitellinus ENSMVIG00005016753
lonchura_striata_domestica ENSLSDG00000000137
gallus_gallus ENSGALG00000045520
chelonoidis_abingdonii ENSCABG00000007320
notechis_scutatus ENSNSUG00000010989
anolis_carolinensis ENSACAG00000029294
salvator_merianae ENSSMRG00000001292
salvator_merianae ENSSMRG00000017644
sphenodon_punctatus ENSSPUG00000019277
