clupea_harengus ENSCHAG00000016142
denticeps_clupeoides ENSDCDG00000021480
astyanax_mexicanus ENSAMXG00005005065
astyanax_mexicanus ENSAMXG00005005059
astyanax_mexicanus ENSAMXG00000034861
pygocentrus_nattereri ENSPNAG00000021020
ictalurus_punctatus ENSIPUG00000009426
electrophorus_electricus ENSEEEG00000011562
danio_rerio ENSDARG00000040080
hucho_hucho ENSHHUG00000026366
hucho_hucho ENSHHUG00000011281
esox_lucius ENSELUG00000015882
poecilia_formosa ENSPFOG00000003178
poecilia_mexicana ENSPMEG00000000544
poecilia_latipinna ENSPLAG00000013868
poecilia_reticulata ENSPREG00000002822
xiphophorus_maculatus ENSXMAG00000017105
xiphophorus_couchianus ENSXCOG00000020660
gambusia_affinis ENSGAFG00000014459
fundulus_heteroclitus ENSFHEG00000011815
cyprinodon_variegatus ENSCVAG00000007086
kryptolebias_marmoratus ENSKMAG00000009451
gouania_willdenowi ENSGWIG00000007177
parambassis_ranga ENSPRNG00000010377
parambassis_ranga ENSPRNG00000008660
betta_splendens ENSBSLG00000016063
hippocampus_comes ENSHCOG00000012458
monopterus_albus ENSMALG00000007934
mastacembelus_armatus ENSMAMG00000009621
anabas_testudineus ENSATEG00000006908
scophthalmus_maximus ENSSMAG00000004320
cynoglossus_semilaevis ENSCSEG00000012100
lates_calcarifer ENSLCAG00010001952
seriola_dumerili ENSSDUG00000005810
seriola_lalandi ENSSLDG00000012862
cottoperca_gobio ENSCGOG00000001869
labrus_bergylta ENSLBEG00000017412
takifugu_rubripes ENSTRUG00000007024
tetraodon_nigroviridis ENSTNIG00000004887
mola_mola ENSMMOG00000016589
larimichthys_crocea ENSLCRG00005014281
amphiprion_ocellaris ENSAOCG00000015988
amphiprion_percula ENSAPEG00000021912
acanthochromis_polyacanthus ENSAPOG00000003281
stegastes_partitus ENSSPAG00000015428
oryzias_latipes ENSORLG00020014787
oryzias_latipes ENSORLG00000015940
oryzias_latipes ENSORLG00015021505
oryzias_melastigma ENSOMEG00000018957
astatotilapia_calliptera ENSACLG00000011166
maylandia_zebra ENSMZEG00005027762
haplochromis_burtoni ENSHBUG00000010018
pundamilia_nyererei ENSPNYG00000019138
neolamprologus_brichardi ENSNBRG00000005884
oreochromis_niloticus ENSONIG00000002221
amphilophus_citrinellus ENSACIG00000021979
gasterosteus_aculeatus ENSGACG00000012340
periophthalmus_magnuspinnatus ENSPMGG00000012804
gadus_morhua ENSGMOG00000006698
scleropages_formosus ENSSFOG00015019465
paramormyrops_kingsleyae ENSPKIG00000024784
lepisosteus_oculatus ENSLOCG00000004852
erpetoichthys_calabaricus ENSECRG00000016517
pogona_vitticeps ENSPVIG00000024902
anolis_carolinensis ENSACAG00000005484
notechis_scutatus ENSNSUG00000016117
salvator_merianae ENSSMRG00000011658
sphenodon_punctatus ENSSPUG00000011093
gopherus_agassizii ENSGAGG00000014798
chrysemys_picta ENSCPBG00000023996
latimeria_chalumnae ENSLACG00000002157
