cyanistes_caeruleus ENSCCEG00000002321
parus_major ENSPMJG00000000467
ficedula_albicollis ENSFALG00000012287
lonchura_striata_domestica ENSLSDG00000014643
taeniopygia_guttata ENSTGUG00000010270
serinus_canaria ENSSCAG00000003496
junco_hyemalis ENSJHYG00000010922
zonotrichia_albicollis ENSZALG00000013574
manacus_vitellinus ENSMVIG00005008461
lepidothrix_coronata ENSLCOG00000012922
melopsittacus_undulatus ENSMUNG00000014937
calidris_pugnax ENSCPUG00000012596
calidris_pygmaea ENSCPGG00000015811
gallus_gallus ENSGALG00000038217
coturnix_japonica ENSCJPG00005010825
meleagris_gallopavo ENSMGAG00000010519
numida_meleagris ENSNMEG00000009459
anser_brachyrhynchus ENSABRG00000017668
anas_platyrhynchos_platyrhynchos ENSAPLG00000006580
apteryx_haastii ENSAHAG00000017805
apteryx_owenii ENSAOWG00000005028
apteryx_rowi ENSARWG00000016668
dromaius_novaehollandiae ENSDNVG00000004078
nothoprocta_perdicaria ENSNPEG00000009849
crocodylus_porosus ENSCPRG00005011637
gopherus_agassizii ENSGAGG00000006824
chelonoidis_abingdonii ENSCABG00000000468
chrysemys_picta_bellii ENSCPBG00000012593
pelodiscus_sinensis ENSPSIG00000012591
sphenodon_punctatus ENSSPUG00000001536
anolis_carolinensis ENSACAG00000014373
pogona_vitticeps ENSPVIG00000013610
notechis_scutatus ENSNSUG00000008730
salvator_merianae ENSSMRG00000005130
pogona_vitticeps ENSPVIG00000012113
anolis_carolinensis ENSACAG00000013616
salvator_merianae ENSSMRG00000019667
notechis_scutatus ENSNSUG00000008624
notamacropus_eugenii ENSMEUG00000013863
phascolarctos_cinereus ENSPCIG00000025054
sarcophilus_harrisii ENSSHAG00000004226
monodelphis_domestica ENSMODG00000019870
ovis_aries ENSOARG00000001792
capra_hircus ENSCHIG00000015537
bos_mutus ENSBMUG00000012774
bos_taurus ENSBTAG00000031252
bison_bison_bison ENSBBBG00000022777
tursiops_truncatus ENSTTRG00000013469
sus_scrofa ENSSSCG00000029521
myotis_lucifugus ENSMLUG00000004271
pteropus_vampyrus ENSPVAG00000005349
ursus_maritimus ENSUMAG00000015516
ursus_americanus ENSUAMG00000025291
ailuropoda_melanoleuca ENSAMEG00000009274
canis_lupus_dingo ENSCAFG00020017766
canis_lupus_familiaris ENSCAFG00000009441
vulpes_vulpes ENSVVUG00000027274
neovison_vison ENSNVIG00000013361
mustela_putorius_furo ENSMPUG00000006084
panthera_pardus ENSPPRG00000000435
panthera_tigris_altaica ENSPTIG00000001923
felis_catus ENSFCAG00000012861
equus_asinus_asinus ENSEASG00005014890
equus_caballus ENSECAG00000020051
erinaceus_europaeus ENSEEUG00000009970
pan_troglodytes ENSPTRG00000003530
pan_paniscus ENSPPAG00000022324
homo_sapiens ENSG00000085117
gorilla_gorilla ENSGGOG00000010189
pongo_abelii ENSPPYG00000003336
nomascus_leucogenys ENSNLEG00000017971
colobus_angolensis_palliatus ENSCANG00000028031
piliocolobus_tephrosceles ENSPTEG00000029728
rhinopithecus_roxellana ENSRROG00000044249
rhinopithecus_bieti ENSRBIG00000027262
papio_anubis ENSPANG00000017077
theropithecus_gelada ENSTGEG00000001204
cercocebus_atys ENSCATG00000012901
mandrillus_leucophaeus ENSMLEG00000038298
macaca_fascicularis ENSMFAG00000035741
macaca_mulatta ENSMMUG00000019268
macaca_nemestrina ENSMNEG00000031650
chlorocebus_sabaeus ENSCSAG00000005577
cebus_capucinus ENSCCAG00000037197
saimiri_boliviensis_boliviensis ENSSBOG00000029660
aotus_nancymaae ENSANAG00000036520
carlito_syrichta ENSTSYG00000029342
prolemur_simus ENSPSMG00000011626
propithecus_coquereli ENSPCOG00000011651
