castor_canadensis ENSCCNG00000013719
jaculus_jaculus ENSJJAG00000011464
heterocephalus_glaber_male ENSHGLG00100003696
heterocephalus_glaber_female ENSHGLG00000003010
fukomys_damarensis ENSFDAG00000021361
cavia_porcellus ENSCPOG00000012883
cavia_aperea ENSCAPG00000015217
chinchilla_lanigera ENSCLAG00000005392
urocitellus_parryii ENSUPAG00010003287
ictidomys_tridecemlineatus ENSSTOG00000004741
marmota_marmota_marmota ENSMMMG00000013584
oryctolagus_cuniculus ENSOCUG00000013454
otolemur_garnettii ENSOGAG00000009996
tupaia_belangeri ENSTBEG00000015386
ochotona_princeps ENSOPRG00000011066
piliocolobus_tephrosceles ENSPTEG00000028564
rhinopithecus_bieti ENSRBIG00000041307
colobus_angolensis_palliatus ENSCANG00000036807
papio_anubis ENSPANG00000023612
cercocebus_atys ENSCATG00000042510
theropithecus_gelada ENSTGEG00000006582
chlorocebus_sabaeus ENSCSAG00000003729
macaca_mulatta ENSMMUG00000003249
macaca_nemestrina ENSMNEG00000019018
macaca_fascicularis ENSMFAG00000045845
rhinopithecus_roxellana ENSRROG00000035343
mandrillus_leucophaeus ENSMLEG00000023145
pan_paniscus ENSPPAG00000043045
homo_sapiens ENSG00000138738
pan_troglodytes ENSPTRG00000016403
gorilla_gorilla ENSGGOG00000013562
pongo_abelii ENSPPYG00000015031
nomascus_leucogenys ENSNLEG00000009107
callithrix_jacchus ENSCJAG00000003133
saimiri_boliviensis_boliviensis ENSSBOG00000022100
cebus_capucinus ENSCCAG00000023157
aotus_nancymaae ENSANAG00000027411
carlito_syrichta ENSTSYG00000009630
propithecus_coquereli ENSPCOG00000022828
prolemur_simus ENSPSMG00000012774
microcebus_murinus ENSMICG00000001459
bos_taurus ENSBTAG00000012111
bison_bison_bison ENSBBBG00000014823
capra_hircus ENSCHIG00000018772
tursiops_truncatus ENSTTRG00000010996
sus_scrofa ENSSSCG00000009101
vicugna_pacos ENSVPAG00000007435
vulpes_vulpes ENSVVUG00000013192
canis_lupus_dingo ENSCAFG00020017685
neovison_vison ENSNVIG00000012926
mustela_putorius_furo ENSMPUG00000017415
panthera_pardus ENSPPRG00000001020
panthera_tigris_altaica ENSPTIG00000010807
felis_catus ENSFCAG00000025656
equus_asinus_asinus ENSEASG00005018365
equus_caballus ENSECAG00000024747
canis_lupus_familiaris ENSCAFG00000004179
ursus_maritimus ENSUMAG00000003733
ailuropoda_melanoleuca ENSAMEG00000003050
myotis_lucifugus ENSMLUG00000006097
equus_caballus ENSECAG00000011516
ursus_americanus ENSUAMG00000009994
bos_mutus ENSBMUG00000020520
ovis_aries ENSOARG00000015473
erinaceus_europaeus ENSEEUG00000010306
choloepus_hoffmanni ENSCHOG00000007801
dasypus_novemcinctus ENSDNOG00000002009
loxodonta_africana ENSLAFG00000006532
procavia_capensis ENSPCAG00000011671
echinops_telfairi ENSETEG00000020268
octodon_degus ENSODEG00000009133
dipodomys_ordii ENSDORG00000007739
cricetulus_griseus_crigri-picr ENSCGRG00015013623
cricetulus_griseus_chok1gshd ENSCGRG00001010581
cricetulus_griseus_crigri ENSCGRG00000010996
mesocricetus_auratus ENSMAUG00000006768
peromyscus_maniculatus_bairdii ENSPEMG00000019722
microtus_ochrogaster ENSMOCG00000016267
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029467
mus_spicilegus ENSMSIG00000003900
mus_musculus ENSMUSG00000029913
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028463
mus_pahari MGP_PahariEiJ_G0022203
rattus_norvegicus ENSRNOG00000023679
nannospalax_galili ENSNGAG00000018317
sorex_araneus ENSSARG00000014129
pteropus_vampyrus ENSPVAG00000012309
notamacropus_eugenii ENSMEUG00000006576
phascolarctos_cinereus ENSPCIG00000004135
sarcophilus_harrisii ENSSHAG00000003250
monodelphis_domestica ENSMODG00000018942
ornithorhynchus_anatinus ENSOANG00000015109
anser_brachyrhynchus ENSABRG00000015877
anas_platyrhynchos_platyrhynchos ENSAPLG00000013828
gallus_gallus ENSGALG00000011963
meleagris_gallopavo ENSMGAG00000010710
coturnix_japonica ENSCJPG00005003653
numida_meleagris ENSNMEG00000000371
ficedula_albicollis ENSFALG00000008381
serinus_canaria ENSSCAG00000002231
taeniopygia_guttata ENSTGUG00000001920
lonchura_striata_domestica ENSLSDG00000015211
junco_hyemalis ENSJHYG00000006510
zonotrichia_albicollis ENSZALG00000017806
parus_major ENSPMJG00000007437
cyanistes_caeruleus ENSCCEG00000023747
lepidothrix_coronata ENSLCOG00000004114
melopsittacus_undulatus ENSMUNG00000008929
calidris_pygmaea ENSCPGG00000017101
calidris_pugnax ENSCPUG00000012514
apteryx_rowi ENSARWG00000004892
apteryx_owenii ENSAOWG00000000985
apteryx_haastii ENSAHAG00000007659
dromaius_novaehollandiae ENSDNVG00000007446
nothoprocta_perdicaria ENSNPEG00000008183
crocodylus_porosus ENSCPRG00005004805
gopherus_agassizii ENSGAGG00000020362
chelonoidis_abingdonii ENSCABG00000006004
chrysemys_picta_bellii ENSCPBG00000024735
pelodiscus_sinensis ENSPSIG00000013505
pogona_vitticeps ENSPVIG00000001397
anolis_carolinensis ENSACAG00000012999
salvator_merianae ENSSMRG00000015412
sphenodon_punctatus ENSSPUG00000009941
xenopus_tropicalis ENSXETG00000002101
latimeria_chalumnae ENSLACG00000009187
takifugu_rubripes ENSTRUG00000013850
tetraodon_nigroviridis ENSTNIG00000005901
mola_mola ENSMMOG00000006035
labrus_bergylta ENSLBEG00000022736
mastacembelus_armatus ENSMAMG00000013419
monopterus_albus ENSMALG00000013934
anabas_testudineus ENSATEG00000013829
amphiprion_percula ENSAPEG00000016846
amphiprion_ocellaris ENSAOCG00000014806
acanthochromis_polyacanthus ENSAPOG00000023220
stegastes_partitus ENSSPAG00000013866
pundamilia_nyererei ENSPNYG00000012194
maylandia_zebra ENSMZEG00005020645
astatotilapia_calliptera ENSACLG00000017996
haplochromis_burtoni ENSHBUG00000023375
neolamprologus_brichardi ENSNBRG00000004976
oreochromis_niloticus ENSONIG00000003111
amphilophus_citrinellus ENSACIG00000000406
fundulus_heteroclitus ENSFHEG00000013040
cyprinodon_variegatus ENSCVAG00000013692
xiphophorus_couchianus ENSXCOG00000008567
xiphophorus_maculatus ENSXMAG00000013825
poecilia_mexicana ENSPMEG00000018002
poecilia_formosa ENSPFOG00000018630
poecilia_latipinna ENSPLAG00000014148
poecilia_reticulata ENSPREG00000018366
gambusia_affinis ENSGAFG00000019233
kryptolebias_marmoratus ENSKMAG00000013663
oryzias_latipes ENSORLG00000016247
oryzias_latipes_asm223469v1 ENSORLG00015013760
oryzias_latipes ENSORLG00020018051
oryzias_melastigma ENSOMEG00000005143
seriola_dumerili ENSSDUG00000020397
seriola_lalandi_dorsalis ENSSLDG00000013353
scophthalmus_maximus ENSSMAG00000018844
cynoglossus_semilaevis ENSCSEG00000019979
periophthalmus_magnuspinnatus ENSPMGG00000012622
hippocampus_comes ENSHCOG00000012131
gadus_morhua ENSGMOG00000012038
esox_lucius ENSELUG00000005894
pygocentrus_nattereri ENSPNAG00000026181
pygocentrus_nattereri ENSPNAG00000023191
astyanax_mexicanus ENSAMXG00000041864
ictalurus_punctatus ENSIPUG00000001248
danio_rerio ENSDARG00000006288
scleropages_formosus ENSSFOG00015020478
paramormyrops_kingsleyae ENSPKIG00000015492
lepisosteus_oculatus ENSLOCG00000009778
ornithorhynchus_anatinus ENSOANG00000006197
petromyzon_marinus ENSPMAG00000005248
eptatretus_burgeri ENSEBUG00000004301
