caenorhabditis_elegans_strain_n2 WBGene00001617
drosophila_melanogaster FBgn0259190
apteryx_haastii ENSAHAG00000015093
apteryx_owenii ENSAOWG00000008422
apteryx_rowi ENSARWG00000006865
dromaius_novaehollandiae ENSDNVG00000017786
nothoprocta_perdicaria ENSNPEG00000006023
anser_brachyrhynchus ENSABRG00000006436
anas_platyrhynchos_platyrhynchos ENSAPLG00000008702
coturnix_japonica ENSCJPG00005009502
gallus_gallus ENSGALG00000001172
meleagris_gallopavo ENSMGAG00000002116
numida_meleagris ENSNMEG00000005826
calidris_pygmaea ENSCPGG00000012714
calidris_pugnax ENSCPUG00000005883
lonchura_striata_domestica ENSLSDG00000005880
taeniopygia_guttata ENSTGUG00000002903
junco_hyemalis ENSJHYG00000011359
zonotrichia_albicollis ENSZALG00000003134
serinus_canaria ENSSCAG00000000264
ficedula_albicollis ENSFALG00000009539
cyanistes_caeruleus ENSCCEG00000017889
parus_major ENSPMJG00000013342
lepidothrix_coronata ENSLCOG00000002519
manacus_vitellinus ENSMVIG00005001825
melopsittacus_undulatus ENSMUNG00000015830
crocodylus_porosus ENSCPRG00005012687
gopherus_agassizii ENSGAGG00000003947
chelonoidis_abingdonii ENSCABG00000018757
chrysemys_picta_bellii ENSCPBG00000021442
pelodiscus_sinensis ENSPSIG00000003997
pogona_vitticeps ENSPVIG00000020803
anolis_carolinensis ENSACAG00000011689
notechis_scutatus ENSNSUG00000000431
salvator_merianae ENSSMRG00000009013
sphenodon_punctatus ENSSPUG00000015611
ornithorhynchus_anatinus ENSOANG00000007006
xenopus_tropicalis ENSXETG00000012091
latimeria_chalumnae ENSLACG00000016224
oryzias_latipes ENSORLG00000016860
oryzias_latipes_asm223469v1 ENSORLG00015014319
oryzias_latipes ENSORLG00020022057
oryzias_melastigma ENSOMEG00000012629
kryptolebias_marmoratus ENSKMAG00000013794
tetraodon_nigroviridis ENSTNIG00000005991
neolamprologus_brichardi ENSNBRG00000004343
oreochromis_niloticus ENSONIG00000017937
maylandia_zebra ENSMZEG00005022128
astatotilapia_calliptera ENSACLG00000000992
pundamilia_nyererei ENSPNYG00000020858
amphilophus_citrinellus ENSACIG00000007531
fundulus_heteroclitus ENSFHEG00000016040
cyprinodon_variegatus ENSCVAG00000021332
xiphophorus_maculatus ENSXMAG00000001997
xiphophorus_couchianus ENSXCOG00000002209
gambusia_affinis ENSGAFG00000015613
poecilia_formosa ENSPFOG00000022127
poecilia_latipinna ENSPLAG00000007447
poecilia_mexicana ENSPMEG00000009530
poecilia_reticulata ENSPREG00000006446
amphiprion_ocellaris ENSAOCG00000024546
amphiprion_percula ENSAPEG00000011474
acanthochromis_polyacanthus ENSAPOG00000019939
acanthochromis_polyacanthus ENSAPOG00000021792
stegastes_partitus ENSSPAG00000008123
seriola_dumerili ENSSDUG00000002623
seriola_lalandi_dorsalis ENSSLDG00000017560
mastacembelus_armatus ENSMAMG00000015096
monopterus_albus ENSMALG00000018882
anabas_testudineus ENSATEG00000022417
mola_mola ENSMMOG00000020253
labrus_bergylta ENSLBEG00000016517
scophthalmus_maximus ENSSMAG00000002018
cynoglossus_semilaevis ENSCSEG00000004185
gasterosteus_aculeatus ENSGACG00000013002
hippocampus_comes ENSHCOG00000014345
periophthalmus_magnuspinnatus ENSPMGG00000014198
gadus_morhua ENSGMOG00000000856
esox_lucius ENSELUG00000013183
pygocentrus_nattereri ENSPNAG00000027681
astyanax_mexicanus ENSAMXG00000014272
ictalurus_punctatus ENSIPUG00000021221
danio_rerio ENSDARG00000007275
gasterosteus_aculeatus ENSGACG00000001229
labrus_bergylta ENSLBEG00000023722
takifugu_rubripes ENSTRUG00000014117
tetraodon_nigroviridis ENSTNIG00000014774
mola_mola ENSMMOG00000010836
mastacembelus_armatus ENSMAMG00000015935
monopterus_albus ENSMALG00000003035
anabas_testudineus ENSATEG00000024907
seriola_lalandi_dorsalis ENSSLDG00000018319
seriola_lalandi_dorsalis ENSSLDG00000009576
seriola_lalandi_dorsalis ENSSLDG00000003861
seriola_dumerili ENSSDUG00000001106
scophthalmus_maximus ENSSMAG00000015815
cynoglossus_semilaevis ENSCSEG00000021718
periophthalmus_magnuspinnatus ENSPMGG00000005472
maylandia_zebra ENSMZEG00005014608
astatotilapia_calliptera ENSACLG00000014744
haplochromis_burtoni ENSHBUG00000000979
pundamilia_nyererei ENSPNYG00000017353
neolamprologus_brichardi ENSNBRG00000019967
oreochromis_niloticus ENSONIG00000003937
amphilophus_citrinellus ENSACIG00000010534
fundulus_heteroclitus ENSFHEG00000018825
cyprinodon_variegatus ENSCVAG00000006501
xiphophorus_maculatus ENSXMAG00000021403
xiphophorus_couchianus ENSXCOG00000013477
gambusia_affinis ENSGAFG00000012244
poecilia_formosa ENSPFOG00000014893
poecilia_mexicana ENSPMEG00000019091
poecilia_latipinna ENSPLAG00000023015
poecilia_reticulata ENSPREG00000005062
kryptolebias_marmoratus ENSKMAG00000005206
oryzias_latipes ENSORLG00020020540
oryzias_latipes_asm223469v1 ENSORLG00015016364
oryzias_latipes ENSORLG00000003910
oryzias_melastigma ENSOMEG00000022490
amphiprion_ocellaris ENSAOCG00000001227
amphiprion_percula ENSAPEG00000003393
acanthochromis_polyacanthus ENSAPOG00000023740
stegastes_partitus ENSSPAG00000006803
hippocampus_comes ENSHCOG00000020731
gadus_morhua ENSGMOG00000003374
esox_lucius ENSELUG00000023109
pygocentrus_nattereri ENSPNAG00000018493
astyanax_mexicanus ENSAMXG00000031120
danio_rerio ENSDARG00000070511
scleropages_formosus ENSSFOG00015009822
paramormyrops_kingsleyae ENSPKIG00000014336
lepisosteus_oculatus ENSLOCG00000005680
