poecilia_formosa ENSPFOG00000024466
poecilia_mexicana ENSPMEG00000021812
poecilia_reticulata ENSPREG00000006364
xiphophorus_couchianus ENSXCOG00000013174
xiphophorus_maculatus ENSXMAG00000022655
cyprinodon_variegatus ENSCVAG00000003704
oryzias_latipes_asm223469v1 ENSORLG00015010338
oryzias_latipes ENSORLG00020021461
oryzias_latipes ENSORLG00000030076
amphiprion_percula ENSAPEG00000021520
amphiprion_ocellaris ENSAOCG00000000584
acanthochromis_polyacanthus ENSAPOG00000020529
stegastes_partitus ENSSPAG00000013951
maylandia_zebra ENSMZEG00005024697
pundamilia_nyererei ENSPNYG00000007746
neolamprologus_brichardi ENSNBRG00000006075
astatotilapia_calliptera ENSACLG00000012602
amphilophus_citrinellus ENSACIG00000004166
hippocampus_comes ENSHCOG00000004995
cynoglossus_semilaevis ENSCSEG00000015813
labrus_bergylta ENSLBEG00000018020
anabas_testudineus ENSATEG00000003033
mastacembelus_armatus ENSMAMG00000019916
monopterus_albus ENSMALG00000010745
mola_mola ENSMMOG00000009795
seriola_lalandi_dorsalis ENSSLDG00000024463
seriola_dumerili ENSSDUG00000004851
