bos_mutus ENSBMUG00000007244
equus_asinus_asinus ENSEASG00005006601
mandrillus_leucophaeus ENSMLEG00000039471
theropithecus_gelada ENSTGEG00000007716
macaca_nemestrina ENSMNEG00000029531
pan_troglodytes ENSPTRG00000051939
pan_paniscus ENSPPAG00000029834
homo_sapiens ENSG00000198443
gorilla_gorilla ENSGGOG00000039594
callithrix_jacchus ENSCJAG00000039496
panthera_pardus ENSPPRG00000021782
pteropus_vampyrus ENSPVAG00000012798
rhinopithecus_roxellana ENSRROG00000010258
rhinopithecus_bieti ENSRBIG00000030295
colobus_angolensis_palliatus ENSCANG00000031020
macaca_mulatta ENSMMUG00000045776
macaca_mulatta ENSMMUG00000041803
macaca_mulatta ENSMMUG00000046542
macaca_fascicularis ENSMFAG00000034680
macaca_nemestrina ENSMNEG00000030224
mandrillus_leucophaeus ENSMLEG00000032197
pan_troglodytes ENSPTRG00000051351
homo_sapiens ENSG00000244537
gorilla_gorilla ENSGGOG00000041206
pongo_abelii ENSPPYG00000008830
cebus_capucinus ENSCCAG00000026553
tupaia_belangeri ENSTBEG00000008312
pongo_abelii ENSPPYG00000008973
