gambusia_affinis ENSGAFG00000015900
poecilia_reticulata ENSPREG00000017045
poecilia_mexicana ENSPMEG00000002038
cyprinodon_variegatus ENSCVAG00000007793
kryptolebias_marmoratus ENSKMAG00000010820
cynoglossus_semilaevis ENSCSEG00000009802
anabas_testudineus ENSATEG00000012313
gopherus_agassizii ENSGAGG00000015190
chelonoidis_abingdonii ENSCABG00000009141
chrysemys_picta_bellii ENSCPBG00000016042
pelodiscus_sinensis ENSPSIG00000001837
sphenodon_punctatus ENSSPUG00000014521
pogona_vitticeps ENSPVIG00000014015
anolis_carolinensis ENSACAG00000015692
notechis_scutatus ENSNSUG00000002525
salvator_merianae ENSSMRG00000023666
latimeria_chalumnae ENSLACG00000001682
latimeria_chalumnae ENSLACG00000001353
eptatretus_burgeri ENSEBUG00000012139
latimeria_chalumnae ENSLACG00000003054
ciona_intestinalis ENSCING00000010083
