tursiops_truncatus ENSTTRG00000013757
vicugna_pacos ENSVPAG00000010217
pteropus_vampyrus ENSPVAG00000007209
erinaceus_europaeus ENSEEUG00000004902
ursus_maritimus ENSUMAG00000015209
ursus_americanus ENSUAMG00000005067
pan_troglodytes ENSPTRG00000003423
pan_paniscus ENSPPAG00000021825
homo_sapiens ENSG00000166800
gorilla_gorilla ENSGGOG00000039584
pongo_abelii ENSPPYG00000003435
nomascus_leucogenys ENSNLEG00000017780
rhinopithecus_roxellana ENSRROG00000041316
rhinopithecus_bieti ENSRBIG00000037637
piliocolobus_tephrosceles ENSPTEG00000017826
colobus_angolensis_palliatus ENSCANG00000031587
mandrillus_leucophaeus ENSMLEG00000041786
theropithecus_gelada ENSTGEG00000010517
cercocebus_atys ENSCATG00000032545
macaca_fascicularis ENSMFAG00000002582
macaca_mulatta ENSMMUG00000014614
macaca_nemestrina ENSMNEG00000041126
papio_anubis ENSPANG00000008347
chlorocebus_sabaeus ENSCSAG00000005046
cebus_capucinus ENSCCAG00000031041
saimiri_boliviensis_boliviensis ENSSBOG00000032789
callithrix_jacchus ENSCJAG00000007067
aotus_nancymaae ENSANAG00000023203
carlito_syrichta ENSTSYG00000009217
otolemur_garnettii ENSOGAG00000009261
microcebus_murinus ENSMICG00000008876
