panthera_tigris ENSPTIG00000010048
panthera_pardus ENSPPRG00000007027
felis_catus ENSFCAG00000042423
canis_lupus ENSCAFG00020012912
canis_lupus ENSCAFG00000028570
neovison_vison ENSNVIG00000021460
bos_indicus ENSBIXG00005004645
bos_indicus ENSBIXG00000006499
capra_hircus ENSCHIG00000023597
tursiops_truncatus ENSTTRG00000005101
sus_scrofa ENSSSCG00000020744
sorex_araneus ENSSARG00000001193
equus_asinus ENSEASG00005010121
equus_caballus ENSECAG00000011911
microcebus_murinus ENSMICG00000047194
microcebus_murinus ENSMICG00000027801
propithecus_coquereli ENSPCOG00000021021
otolemur_garnettii ENSOGAG00000032737
pan_paniscus ENSPPAG00000036872
pan_troglodytes ENSPTRG00000038773
gorilla_gorilla ENSGGOG00000023681
homo_sapiens ENSG00000108861
pongo_abelii ENSPPYG00000008353
papio_anubis ENSPANG00000025484
chlorocebus_sabaeus ENSCSAG00000003456
macaca_nemestrina ENSMNEG00000040768
macaca_fascicularis ENSMFAG00000039165
theropithecus_gelada ENSTGEG00000013214
cercocebus_atys ENSCATG00000040092
rhinopithecus_bieti ENSRBIG00000031911
rhinopithecus_roxellana ENSRROG00000034333
colobus_angolensis ENSCANG00000034220
piliocolobus_tephrosceles ENSPTEG00000028848
aotus_nancymaae ENSANAG00000038075
ochotona_princeps ENSOPRG00000006796
vombatus_ursinus ENSVURG00010021473
salvator_merianae ENSSMRG00000021773
notechis_scutatus ENSNSUG00000006858
sphenodon_punctatus ENSSPUG00000004321
parus_major ENSPMJG00000002466
cyanistes_caeruleus ENSCCEG00000021379
taeniopygia_guttata ENSTGUG00000002946
serinus_canaria ENSSCAG00000006285
junco_hyemalis ENSJHYG00000008066
lepidothrix_coronata ENSLCOG00000012404
anser_brachyrhynchus ENSABRG00000013228
apteryx_owenii ENSAOWG00000006892
apteryx_rowi ENSARWG00000014197
apteryx_haastii ENSAHAG00000008854
nothoprocta_perdicaria ENSNPEG00000012091
parambassis_ranga ENSPRNG00000000564
gouania_willdenowi ENSGWIG00000022365
amphiprion_ocellaris ENSAOCG00000023997
xiphophorus_maculatus ENSXMAG00000017895
gambusia_affinis ENSGAFG00000012478
poecilia_reticulata ENSPREG00000011638
poecilia_formosa ENSPFOG00000017577
fundulus_heteroclitus ENSFHEG00000012193
kryptolebias_marmoratus ENSKMAG00000005769
maylandia_zebra ENSMZEG00005007412
astyanax_mexicanus ENSAMXG00005013151
astyanax_mexicanus ENSAMXG00000009289
pygocentrus_nattereri ENSPNAG00000026243
ictalurus_punctatus ENSIPUG00000019320
electrophorus_electricus ENSEEEG00000011628
oreochromis_niloticus ENSONIG00000006465
gouania_willdenowi ENSGWIG00000021836
amphiprion_percula ENSAPEG00000019455
amphiprion_ocellaris ENSAOCG00000000045
acanthochromis_polyacanthus ENSAPOG00000020913
stegastes_partitus ENSSPAG00000017405
parambassis_ranga ENSPRNG00000023180
anabas_testudineus ENSATEG00000012099
betta_splendens ENSBSLG00000007501
mastacembelus_armatus ENSMAMG00000017365
labrus_bergylta ENSLBEG00000008604
scophthalmus_maximus ENSSMAG00000017750
tetraodon_nigroviridis ENSTNIG00000011160
tetraodon_nigroviridis ENSTNIG00000005957
takifugu_rubripes ENSTRUG00000005865
hippocampus_comes ENSHCOG00000018334
gadus_morhua ENSGMOG00000002147
pygocentrus_nattereri ENSPNAG00000012969
astyanax_mexicanus ENSAMXG00000034590
