canis_lupus_familiaris ENSCAFG00000018011
canis_lupus_dingo ENSCAFG00020021786
vulpes_vulpes ENSVVUG00000029979
panthera_pardus ENSPPRG00000012418
panthera_tigris_altaica ENSPTIG00000017210
felis_catus ENSFCAG00000046172
bison_bison_bison ENSBBBG00000003234
bos_mutus ENSBMUG00000014043
bos_taurus ENSBTAG00000025078
capra_hircus ENSCHIG00000016430
ovis_aries ENSOARG00000016872
sus_scrofa ENSSSCG00000036776
homo_sapiens ENSG00000181350
pan_troglodytes ENSPTRG00000008814
gorilla_gorilla ENSGGOG00000005080
nomascus_leucogenys ENSNLEG00000033445
macaca_nemestrina ENSMNEG00000041172
cercocebus_atys ENSCATG00000036698
theropithecus_gelada ENSTGEG00000005888
papio_anubis ENSPANG00000023706
piliocolobus_tephrosceles ENSPTEG00000035898
rhinopithecus_bieti ENSRBIG00000037205
rhinopithecus_roxellana ENSRROG00000034503
macaca_mulatta ENSMMUG00000047718
macaca_fascicularis ENSMFAG00000040846
chlorocebus_sabaeus ENSCSAG00000008831
cebus_capucinus ENSCCAG00000037157
callithrix_jacchus ENSCJAG00000011947
aotus_nancymaae ENSANAG00000021724
carlito_syrichta ENSTSYG00000026304
propithecus_coquereli ENSPCOG00000006019
prolemur_simus ENSPSMG00000014102
microcebus_murinus ENSMICG00000031897
otolemur_garnettii ENSOGAG00000026217
chinchilla_lanigera ENSCLAG00000010115
octodon_degus ENSODEG00000008748
cavia_aperea ENSCAPG00000005527
cavia_porcellus ENSCPOG00000027570
heterocephalus_glaber_male ENSHGLG00100003487
fukomys_damarensis ENSFDAG00000013455
ictidomys_tridecemlineatus ENSSTOG00000027093
urocitellus_parryii ENSUPAG00010021883
marmota_marmota_marmota ENSMMMG00000022261
castor_canadensis ENSCCNG00000025078
dipodomys_ordii ENSDORG00000026561
cricetulus_griseus_crigri-picr ENSCGRG00015014657
cricetulus_griseus_chok1gshd ENSCGRG00001024541
cricetulus_griseus_crigri ENSCGRG00000005921
mesocricetus_auratus ENSMAUG00000008492
microtus_ochrogaster ENSMOCG00000005975
peromyscus_maniculatus_bairdii ENSPEMG00000019140
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017331
mus_spicilegus ENSMSIG00000017410
mus_musculus ENSMUSG00000046417
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016495
mus_pahari MGP_PahariEiJ_G0017624
rattus_norvegicus ENSRNOG00000027286
meriones_unguiculatus ENSMUGG00000013476
nannospalax_galili ENSNGAG00000023458
equus_caballus ENSECAG00000003836
equus_asinus_asinus ENSEASG00005017266
oryctolagus_cuniculus ENSOCUG00000025680
mustela_putorius_furo ENSMPUG00000010125
neovison_vison ENSNVIG00000010813
ursus_americanus ENSUAMG00000016080
ursus_maritimus ENSUMAG00000007005
ailuropoda_melanoleuca ENSAMEG00000004784
mandrillus_leucophaeus ENSMLEG00000038709
colobus_angolensis_palliatus ENSCANG00000034447
pan_paniscus ENSPPAG00000009356
saimiri_boliviensis_boliviensis ENSSBOG00000034395
myotis_lucifugus ENSMLUG00000003822
dasypus_novemcinctus ENSDNOG00000037255
loxodonta_africana ENSLAFG00000005790
phascolarctos_cinereus ENSPCIG00000032346
sarcophilus_harrisii ENSSHAG00000001329
ornithorhynchus_anatinus ENSOANG00000000759
ornithorhynchus_anatinus ENSOANG00000010113
salvator_merianae ENSSMRG00000007765
pogona_vitticeps ENSPVIG00000007666
calidris_pygmaea ENSCPGG00000009166
calidris_pugnax ENSCPUG00000001712
melopsittacus_undulatus ENSMUNG00000004694
anser_brachyrhynchus ENSABRG00000010155
anas_platyrhynchos_platyrhynchos ENSAPLG00000007361
coturnix_japonica ENSCJPG00005010593
gallus_gallus ENSGALG00000002631
numida_meleagris ENSNMEG00000015575
lepidothrix_coronata ENSLCOG00000011158
manacus_vitellinus ENSMVIG00005010634
taeniopygia_guttata ENSTGUG00000005393
lonchura_striata_domestica ENSLSDG00000012650
serinus_canaria ENSSCAG00000006883
parus_major ENSPMJG00000019022
cyanistes_caeruleus ENSCCEG00000006564
ficedula_albicollis ENSFALG00000006711
zonotrichia_albicollis ENSZALG00000015696
junco_hyemalis ENSJHYG00000009038
apteryx_owenii ENSAOWG00000014025
