ursus_maritimus ENSUMAG00000019302
sorex_araneus ENSSARG00000000972
myotis_lucifugus ENSMLUG00000027200
pteropus_vampyrus ENSPVAG00000013459
equus_caballus ENSECAG00000007168
panthera_pardus ENSPPRG00000020593
panthera_tigris_altaica ENSPTIG00000004992
felis_catus ENSFCAG00000014761
mustela_putorius_furo ENSMPUG00000019415
neovison_vison ENSNVIG00000003835
bison_bison_bison ENSBBBG00000007946
bos_mutus ENSBMUG00000003836
bos_taurus ENSBTAG00000022915
ovis_aries ENSOARG00000014154
sus_scrofa ENSSSCG00000037018
sus_scrofa ENSSSCG00000034176
sus_scrofa ENSSSCG00000002589
sus_scrofa ENSSSCG00000038799
vicugna_pacos ENSVPAG00000004306
heterocephalus_glaber_female ENSHGLG00000021215
heterocephalus_glaber_male ENSHGLG00100020498
fukomys_damarensis ENSFDAG00000000608
fukomys_damarensis ENSFDAG00000019569
fukomys_damarensis ENSFDAG00000001322
fukomys_damarensis ENSFDAG00000004342
castor_canadensis ENSCCNG00000014187
ictidomys_tridecemlineatus ENSSTOG00000027744
oryctolagus_cuniculus ENSOCUG00000000766
papio_anubis ENSPANG00000031384
mandrillus_leucophaeus ENSMLEG00000038435
macaca_mulatta ENSMMUG00000029455
macaca_mulatta ENSMMUG00000005110
macaca_fascicularis ENSMFAG00000000182
theropithecus_gelada ENSTGEG00000013669
cercocebus_atys ENSCATG00000042411
rhinopithecus_roxellana ENSRROG00000029702
rhinopithecus_bieti ENSRBIG00000044522
piliocolobus_tephrosceles ENSPTEG00000018620
colobus_angolensis_palliatus ENSCANG00000022052
pan_troglodytes ENSPTRG00000050187
homo_sapiens ENSG00000196383
gorilla_gorilla ENSGGOG00000012047
cebus_capucinus ENSCCAG00000025949
saimiri_boliviensis_boliviensis ENSSBOG00000025529
callithrix_jacchus ENSCJAG00000010037
aotus_nancymaae ENSANAG00000029287
carlito_syrichta ENSTSYG00000010290
microcebus_murinus ENSMICG00000002537
propithecus_coquereli ENSPCOG00000025162
prolemur_simus ENSPSMG00000003988
otolemur_garnettii ENSOGAG00000011565
tupaia_belangeri ENSTBEG00000010991
erinaceus_europaeus ENSEEUG00000014706
loxodonta_africana ENSLAFG00000028849
loxodonta_africana ENSLAFG00000003486
procavia_capensis ENSPCAG00000015058
echinops_telfairi ENSETEG00000002841
dasypus_novemcinctus ENSDNOG00000032137
dasypus_novemcinctus ENSDNOG00000036131
choloepus_hoffmanni ENSCHOG00000000138
sarcophilus_harrisii ENSSHAG00000006846
monodelphis_domestica ENSMODG00000019344
phascolarctos_cinereus ENSPCIG00000008167
gopherus_agassizii ENSGAGG00000008729
chelonoidis_abingdonii ENSCABG00000006681
gopherus_agassizii ENSGAGG00000019323
chrysemys_picta_bellii ENSCPBG00000012292
salvator_merianae ENSSMRG00000006584
