mus_musculus ENSMUSG00000037108
mus_spicilegus ENSMSIG00000007568
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027893
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028898
mus_pahari MGP_PahariEiJ_G0024470
rattus_norvegicus ENSRNOG00000024425
rattus_norvegicus ENSRNOG00000052199
rattus_norvegicus ENSRNOG00000050128
meriones_unguiculatus ENSMUGG00000015368
cricetulus_griseus_crigri-picr ENSCGRG00015011036
cricetulus_griseus_chok1gshd ENSCGRG00001015211
cricetulus_griseus_crigri ENSCGRG00000008380
mesocricetus_auratus ENSMAUG00000018839
peromyscus_maniculatus_bairdii ENSPEMG00000000504
microtus_ochrogaster ENSMOCG00000007800
nannospalax_galili ENSNGAG00000023314
castor_canadensis ENSCCNG00000018319
urocitellus_parryii ENSUPAG00010017970
spermophilus_dauricus ENSSDAG00000021721
marmota_marmota_marmota ENSMMMG00000012393
ictidomys_tridecemlineatus ENSSTOG00000007532
heterocephalus_glaber_female ENSHGLG00000017181
heterocephalus_glaber_male ENSHGLG00100015040
fukomys_damarensis ENSFDAG00000016445
chinchilla_lanigera ENSCLAG00000003676
oryctolagus_cuniculus ENSOCUG00000014388
ochotona_princeps ENSOPRG00000014795
pan_troglodytes ENSPTRG00000019486
pan_troglodytes ENSPTRG00000050515
pan_paniscus ENSPPAG00000036953
homo_sapiens ENSG00000078487
gorilla_gorilla ENSGGOG00000005363
pongo_abelii ENSPPYG00000017410
nomascus_leucogenys ENSNLEG00000011728
piliocolobus_tephrosceles ENSPTEG00000024884
colobus_angolensis_palliatus ENSCANG00000030604
rhinopithecus_roxellana ENSRROG00000028354
rhinopithecus_bieti ENSRBIG00000034150
macaca_fascicularis ENSMFAG00000044114
macaca_mulatta ENSMMUG00000012720
macaca_nemestrina ENSMNEG00000040539
mandrillus_leucophaeus ENSMLEG00000028696
chlorocebus_sabaeus ENSCSAG00000017892
theropithecus_gelada ENSTGEG00000010533
papio_anubis ENSPANG00000019546
cercocebus_atys ENSCATG00000040902
cebus_capucinus ENSCCAG00000037503
saimiri_boliviensis_boliviensis ENSSBOG00000030772
callithrix_jacchus ENSCJAG00000015363
aotus_nancymaae ENSANAG00000030162
carlito_syrichta ENSTSYG00000009605
prolemur_simus ENSPSMG00000001508
microcebus_murinus ENSMICG00000003360
otolemur_garnettii ENSOGAG00000011012
bos_taurus ENSBTAG00000001068
bos_mutus ENSBMUG00000024025
bison_bison_bison ENSBBBG00000000347
capra_hircus ENSCHIG00000024057
ovis_aries ENSOARG00000016980
tursiops_truncatus ENSTTRG00000008867
sus_scrofa ENSSSCG00000007659
vicugna_pacos ENSVPAG00000000217
equus_caballus ENSECAG00000022363
neovison_vison ENSNVIG00000000812
mustela_putorius_furo ENSMPUG00000015671
ailuropoda_melanoleuca ENSAMEG00000015049
canis_lupus_familiaris ENSCAFG00000014468
canis_lupus_dingo ENSCAFG00020014025
vulpes_vulpes ENSVVUG00000023416
panthera_pardus ENSPPRG00000004075
panthera_tigris_altaica ENSPTIG00000016293
felis_catus ENSFCAG00000010802
pteropus_vampyrus ENSPVAG00000011995
myotis_lucifugus ENSMLUG00000009644
sorex_araneus ENSSARG00000003187
choloepus_hoffmanni ENSCHOG00000008560
dasypus_novemcinctus ENSDNOG00000002593
erinaceus_europaeus ENSEEUG00000004361
loxodonta_africana ENSLAFG00000026355
procavia_capensis ENSPCAG00000001565
propithecus_coquereli ENSPCOG00000016495
spermophilus_dauricus ENSSDAG00000011819
equus_asinus_asinus ENSEASG00005017081
