mus_spicilegus ENSMSIG00000023017
mus_musculus ENSMUSG00000013668
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030562
mus_pahari MGP_PahariEiJ_G0013769
rattus_norvegicus ENSRNOG00000022900
meriones_unguiculatus ENSMUGG00000025865
cricetulus_griseus_crigri ENSCGRG00000000712
cricetulus_griseus_crigri-picr ENSCGRG00015002454
cricetulus_griseus_chok1gshd ENSCGRG00001021980
mesocricetus_auratus ENSMAUG00000004597
peromyscus_maniculatus_bairdii ENSPEMG00000021538
microtus_ochrogaster ENSMOCG00000021499
nannospalax_galili ENSNGAG00000013572
jaculus_jaculus ENSJJAG00000001575
castor_canadensis ENSCCNG00000015508
chinchilla_lanigera ENSCLAG00000000165
fukomys_damarensis ENSFDAG00000013851
urocitellus_parryii ENSUPAG00010004901
spermophilus_dauricus ENSSDAG00000021253
marmota_marmota_marmota ENSMMMG00000001925
ochotona_princeps ENSOPRG00000004200
oryctolagus_cuniculus ENSOCUG00000006564
propithecus_coquereli ENSPCOG00000020092
microcebus_murinus ENSMICG00000008567
prolemur_simus ENSPSMG00000008229
otolemur_garnettii ENSOGAG00000008685
pan_troglodytes ENSPTRG00000003012
pan_paniscus ENSPPAG00000027128
homo_sapiens ENSG00000183559
gorilla_gorilla ENSGGOG00000026034
pongo_abelii ENSPPYG00000002719
nomascus_leucogenys ENSNLEG00000017025
rhinopithecus_bieti ENSRBIG00000038826
rhinopithecus_roxellana ENSRROG00000040542
colobus_angolensis_palliatus ENSCANG00000037585
piliocolobus_tephrosceles ENSPTEG00000032106
macaca_nemestrina ENSMNEG00000032555
macaca_mulatta ENSMMUG00000021140
papio_anubis ENSPANG00000020485
theropithecus_gelada ENSTGEG00000028522
cercocebus_atys ENSCATG00000033658
macaca_fascicularis ENSMFAG00000041530
mandrillus_leucophaeus ENSMLEG00000005272
chlorocebus_sabaeus ENSCSAG00000004594
cebus_capucinus ENSCCAG00000020897
saimiri_boliviensis_boliviensis ENSSBOG00000021674
callithrix_jacchus ENSCJAG00000012735
aotus_nancymaae ENSANAG00000027570
ovis_aries ENSOARG00000008481
capra_hircus ENSCHIG00000016466
bos_mutus ENSBMUG00000004803
bos_taurus ENSBTAG00000010797
bison_bison_bison ENSBBBG00000001875
tursiops_truncatus ENSTTRG00000016089
sus_scrofa ENSSSCG00000010717
ursus_americanus ENSUAMG00000023725
ursus_maritimus ENSUMAG00000005005
ailuropoda_melanoleuca ENSAMEG00000004692
neovison_vison ENSNVIG00000007718
mustela_putorius_furo ENSMPUG00000002881
canis_lupus_dingo ENSCAFG00020015180
canis_lupus_familiaris ENSCAFG00000012597
vulpes_vulpes ENSVVUG00000006906
panthera_pardus ENSPPRG00000014122
panthera_tigris_altaica ENSPTIG00000021374
felis_catus ENSFCAG00000035584
pteropus_vampyrus ENSPVAG00000003092
equus_asinus_asinus ENSEASG00005013461
equus_caballus ENSECAG00000002143
choloepus_hoffmanni ENSCHOG00000004543
dasypus_novemcinctus ENSDNOG00000001196
loxodonta_africana ENSLAFG00000018686
procavia_capensis ENSPCAG00000005082
phascolarctos_cinereus ENSPCIG00000025831
sarcophilus_harrisii ENSSHAG00000007217
monodelphis_domestica ENSMODG00000007900
