oryctolagus_cuniculus ENSOCUG00000015797
heterocephalus_glaber ENSHGLG00000000283
prolemur_simus ENSPSMG00000021607
pteropus_vampyrus ENSPVAG00000008194
bos_mutus ENSBMUG00000004500
homo_sapiens ENSG00000178021
gorilla_gorilla ENSGGOG00000003174
pan_troglodytes ENSPTRG00000011922
pan_paniscus ENSPPAG00000017725
pongo_abelii ENSPPYG00000012411
theropithecus_gelada ENSTGEG00000005023
macaca_mulatta ENSMMUG00000002154
chlorocebus_sabaeus ENSCSAG00000013844
piliocolobus_tephrosceles ENSPTEG00000030297
callithrix_jacchus ENSCJAG00000063293
procavia_capensis ENSPCAG00000008033
