xiphophorus_maculatus ENSXMAG00000022089
gambusia_affinis ENSGAFG00000012247
poecilia_formosa ENSPFOG00000015991
poecilia_mexicana ENSPMEG00000013509
poecilia_reticulata ENSPREG00000001420
poecilia_latipinna ENSPLAG00000003461
fundulus_heteroclitus ENSFHEG00000011765
kryptolebias_marmoratus ENSKMAG00000014383
oryzias_latipes ENSORLG00020012609
oryzias_latipes ENSORLG00000026567
oryzias_melastigma ENSOMEG00000003642
maylandia_zebra ENSMZEG00005016719
haplochromis_burtoni ENSHBUG00000009597
neolamprologus_brichardi ENSNBRG00000005728
oreochromis_niloticus ENSONIG00000013611
amphilophus_citrinellus ENSACIG00000018163
amphiprion_percula ENSAPEG00000022109
amphiprion_ocellaris ENSAOCG00000000987
acanthochromis_polyacanthus ENSAPOG00000010981
stegastes_partitus ENSSPAG00000018060
anabas_testudineus ENSATEG00000006792
mastacembelus_armatus ENSMAMG00000014073
scophthalmus_maximus ENSSMAG00000010555
mola_mola ENSMMOG00000017419
mola_mola ENSMMOG00000017484
labrus_bergylta ENSLBEG00000013606
periophthalmus_magnuspinnatus ENSPMGG00000000199
