calidris_pygmaea ENSCPGG00000007817
calidris_pugnax ENSCPUG00000008700
serinus_canaria ENSSCAG00000007486
manacus_vitellinus ENSMVIG00005012444
taeniopygia_guttata ENSTGUG00000012477
lonchura_striata_domestica ENSLSDG00000000498
manacus_vitellinus ENSMVIG00005012445
lepidothrix_coronata ENSLCOG00000004514
junco_hyemalis ENSJHYG00000009239
zonotrichia_albicollis ENSZALG00000014494
parus_major ENSPMJG00000011318
cyanistes_caeruleus ENSCCEG00000006386
ficedula_albicollis ENSFALG00000002523
melopsittacus_undulatus ENSMUNG00000016730
anas_platyrhynchos_platyrhynchos ENSAPLG00000006883
anser_brachyrhynchus ENSABRG00000009633
gallus_gallus ENSGALG00000041072
coturnix_japonica ENSCJPG00005005966
meleagris_gallopavo ENSMGAG00000012671
numida_meleagris ENSNMEG00000008498
apteryx_rowi ENSARWG00000002009
apteryx_haastii ENSAHAG00000017050
apteryx_owenii ENSAOWG00000005521
dromaius_novaehollandiae ENSDNVG00000007956
nothoprocta_perdicaria ENSNPEG00000007688
crocodylus_porosus ENSCPRG00005009009
gopherus_agassizii ENSGAGG00000018652
chelonoidis_abingdonii ENSCABG00000004853
chelonoidis_abingdonii ENSCABG00000020569
chrysemys_picta_bellii ENSCPBG00000020621
pelodiscus_sinensis ENSPSIG00000008996
pogona_vitticeps ENSPVIG00000018336
anolis_carolinensis ENSACAG00000009985
notechis_scutatus ENSNSUG00000003174
salvator_merianae ENSSMRG00000000604
sphenodon_punctatus ENSSPUG00000017795
sarcophilus_harrisii ENSSHAG00000007003
monodelphis_domestica ENSMODG00000001840
phascolarctos_cinereus ENSPCIG00000025022
pan_paniscus ENSPPAG00000032418
pan_troglodytes ENSPTRG00000046819
gorilla_gorilla ENSGGOG00000015875
homo_sapiens ENSG00000147687
pan_paniscus ENSPPAG00000040277
pan_troglodytes ENSPTRG00000020568
gorilla_gorilla ENSGGOG00000040996
pongo_abelii ENSPPYG00000018868
nomascus_leucogenys ENSNLEG00000005467
macaca_mulatta ENSMMUG00000015491
macaca_fascicularis ENSMFAG00000037399
macaca_nemestrina ENSMNEG00000044367
theropithecus_gelada ENSTGEG00000009955
papio_anubis ENSPANG00000001330
cercocebus_atys ENSCATG00000040674
mandrillus_leucophaeus ENSMLEG00000024289
chlorocebus_sabaeus ENSCSAG00000010183
rhinopithecus_bieti ENSRBIG00000032007
rhinopithecus_roxellana ENSRROG00000033274
colobus_angolensis_palliatus ENSCANG00000031314
piliocolobus_tephrosceles ENSPTEG00000031820
saimiri_boliviensis_boliviensis ENSSBOG00000023254
callithrix_jacchus ENSCJAG00000012826
cebus_capucinus ENSCCAG00000035961
aotus_nancymaae ENSANAG00000032344
carlito_syrichta ENSTSYG00000001819
microcebus_murinus ENSMICG00000017480
prolemur_simus ENSPSMG00000021818
propithecus_coquereli ENSPCOG00000020843
otolemur_garnettii ENSOGAG00000015849
oryctolagus_cuniculus ENSOCUG00000017403
ochotona_princeps ENSOPRG00000008079
tupaia_belangeri ENSTBEG00000006179
pteropus_vampyrus ENSPVAG00000009152
myotis_lucifugus ENSMLUG00000003759
sorex_araneus ENSSARG00000004610
ursus_maritimus ENSUMAG00000009959
ursus_americanus ENSUAMG00000002623
ursus_maritimus ENSUMAG00000022312
ursus_americanus ENSUAMG00000002009
