ciona_savignyi ENSCSAVG00000002266
ciona_intestinalis ENSCING00000009813
paramormyrops_kingsleyae ENSPKIG00000016679
scleropages_formosus ENSSFOG00015005643
poecilia_formosa ENSPFOG00000007659
poecilia_latipinna ENSPLAG00000000426
poecilia_mexicana ENSPMEG00000017654
xiphophorus_maculatus ENSXMAG00000014624
xiphophorus_couchianus ENSXCOG00000004353
poecilia_reticulata ENSPREG00000008019
gambusia_affinis ENSGAFG00000017671
cyprinodon_variegatus ENSCVAG00000006348
kryptolebias_marmoratus ENSKMAG00000014784
oryzias_latipes ENSORLG00020009229
oryzias_latipes_asm223469v1 ENSORLG00015006443
oryzias_latipes ENSORLG00000018154
oryzias_melastigma ENSOMEG00000008107
scophthalmus_maximus ENSSMAG00000008600
gasterosteus_aculeatus ENSGACG00000005118
amphiprion_ocellaris ENSAOCG00000012230
amphiprion_percula ENSAPEG00000006099
acanthochromis_polyacanthus ENSAPOG00000004730
stegastes_partitus ENSSPAG00000007839
mola_mola ENSMMOG00000021431
tetraodon_nigroviridis ENSTNIG00000010536
labrus_bergylta ENSLBEG00000011895
mastacembelus_armatus ENSMAMG00000000120
monopterus_albus ENSMALG00000000873
anabas_testudineus ENSATEG00000019160
astatotilapia_calliptera ENSACLG00000001484
maylandia_zebra ENSMZEG00005012075
pundamilia_nyererei ENSPNYG00000009649
haplochromis_burtoni ENSHBUG00000018750
neolamprologus_brichardi ENSNBRG00000005731
oreochromis_niloticus ENSONIG00000000437
amphilophus_citrinellus ENSACIG00000011193
seriola_dumerili ENSSDUG00000003847
seriola_lalandi_dorsalis ENSSLDG00000010043
cynoglossus_semilaevis ENSCSEG00000010165
hippocampus_comes ENSHCOG00000011821
periophthalmus_magnuspinnatus ENSPMGG00000020901
gadus_morhua ENSGMOG00000013095
esox_lucius ENSELUG00000023447
pygocentrus_nattereri ENSPNAG00000018253
astyanax_mexicanus ENSAMXG00000038436
ictalurus_punctatus ENSIPUG00000005878
danio_rerio ENSDARG00000029600
lepisosteus_oculatus ENSLOCG00000012118
eptatretus_burgeri ENSEBUG00000014449
parus_major ENSPMJG00000001551
cyanistes_caeruleus ENSCCEG00000002396
lonchura_striata_domestica ENSLSDG00000009321
taeniopygia_guttata ENSTGUG00000007150
serinus_canaria ENSSCAG00000009476
