chinchilla_lanigera ENSCLAG00000017482
cavia_porcellus ENSCPOG00000026054
castor_canadensis ENSCCNG00000016732
ictidomys_tridecemlineatus ENSSTOG00000026626
spermophilus_dauricus ENSSDAG00000014611
urocitellus_parryii ENSUPAG00010002590
marmota_marmota_marmota ENSMMMG00000014225
mus_spicilegus ENSMSIG00000009861
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020136
mus_musculus ENSMUSG00000035626
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019246
mus_pahari MGP_PahariEiJ_G0030265
rattus_norvegicus ENSRNOG00000013338
meriones_unguiculatus ENSMUGG00000017405
cricetulus_griseus_crigri ENSCGRG00000019614
cricetulus_griseus_crigri-picr ENSCGRG00015004766
cricetulus_griseus_chok1gshd ENSCGRG00001015850
peromyscus_maniculatus_bairdii ENSPEMG00000030714
prolemur_simus ENSPSMG00000010299
otolemur_garnettii ENSOGAG00000026485
pan_paniscus ENSPPAG00000005525
pan_troglodytes ENSPTRG00000041296
homo_sapiens ENSG00000221977
gorilla_gorilla ENSGGOG00000027887
pongo_abelii ENSPPYG00000005606
nomascus_leucogenys ENSNLEG00000019286
macaca_mulatta ENSMMUG00000037964
macaca_nemestrina ENSMNEG00000038013
macaca_fascicularis ENSMFAG00000022387
cercocebus_atys ENSCATG00000017264
mandrillus_leucophaeus ENSMLEG00000015373
papio_anubis ENSPANG00000007302
theropithecus_gelada ENSTGEG00000016708
chlorocebus_sabaeus ENSCSAG00000000338
rhinopithecus_bieti ENSRBIG00000036549
rhinopithecus_roxellana ENSRROG00000027486
piliocolobus_tephrosceles ENSPTEG00000022574
cebus_capucinus ENSCCAG00000002899
bos_mutus ENSBMUG00000017584
bos_taurus ENSBTAG00000007029
bison_bison_bison ENSBBBG00000003363
capra_hircus ENSCHIG00000003860
sus_scrofa ENSSSCG00000002106
vicugna_pacos ENSVPAG00000015465
ursus_americanus ENSUAMG00000003776
ursus_americanus ENSUAMG00000009083
ursus_americanus ENSUAMG00000013993
ursus_americanus ENSUAMG00000004783
ursus_maritimus ENSUMAG00000025031
ursus_americanus ENSUAMG00000004896
mustela_putorius_furo ENSMPUG00000019443
neovison_vison ENSNVIG00000015433
canis_lupus_familiaris ENSCAFG00000005679
canis_lupus_dingo ENSCAFG00020015283
vulpes_vulpes ENSVVUG00000009557
panthera_pardus ENSPPRG00000019746
felis_catus ENSFCAG00000019253
equus_asinus_asinus ENSEASG00005011568
equus_caballus ENSECAG00000002752
myotis_lucifugus ENSMLUG00000027871
dasypus_novemcinctus ENSDNOG00000032889
oryctolagus_cuniculus ENSOCUG00000024085
sarcophilus_harrisii ENSSHAG00000010270
monodelphis_domestica ENSMODG00000005980
ornithorhynchus_anatinus ENSOANG00000010758
notechis_scutatus ENSNSUG00000018969
notechis_scutatus ENSNSUG00000018968
pogona_vitticeps ENSPVIG00000014838
salvator_merianae ENSSMRG00000005177
chelonoidis_abingdonii ENSCABG00000011041
gopherus_agassizii ENSGAGG00000023051
chrysemys_picta_bellii ENSCPBG00000015102
pelodiscus_sinensis ENSPSIG00000001350
