oryctolagus_cuniculus ENSOCUG00000007660
ochotona_princeps ENSOPRG00000007542
tupaia_belangeri ENSTBEG00000000022
ursus_maritimus ENSUMAG00000018510
ursus_americanus ENSUAMG00000019402
ailuropoda_melanoleuca ENSAMEG00000018613
mustela_putorius_furo ENSMPUG00000020010
neovison_vison ENSNVIG00000000265
canis_lupus_dingo ENSCAFG00020001326
canis_lupus_familiaris ENSCAFG00000031974
vulpes_vulpes ENSVVUG00000016943
panthera_tigris_altaica ENSPTIG00000004570
panthera_pardus ENSPPRG00000018288
felis_catus ENSFCAG00000043613
equus_caballus ENSECAG00000031002
sus_scrofa ENSSSCG00000033279
sus_scrofa ENSSSCG00000036682
sus_scrofa ENSSSCG00000033589
sus_scrofa ENSSSCG00000039893
bison_bison_bison ENSBBBG00000020820
sorex_araneus ENSSARG00000003706
sorex_araneus ENSSARG00000007052
marmota_marmota_marmota ENSMMMG00000000028
urocitellus_parryii ENSUPAG00010000655
ictidomys_tridecemlineatus ENSSTOG00000019769
spermophilus_dauricus ENSSDAG00000004244
mus_musculus ENSMUSG00000067525
mus_spicilegus ENSMSIG00000030710
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023656
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022744
mus_pahari MGP_PahariEiJ_G0014236
rattus_norvegicus ENSRNOG00000021070
meriones_unguiculatus ENSMUGG00000010892
cricetulus_griseus_chok1gshd ENSCGRG00001006539
cricetulus_griseus_crigri-picr ENSCGRG00015006462
cricetulus_griseus_crigri ENSCGRG00000019882
peromyscus_maniculatus_bairdii ENSPEMG00000030942
chinchilla_lanigera ENSCLAG00000017691
cavia_aperea ENSCAPG00000008446
heterocephalus_glaber_female ENSHGLG00000017360
heterocephalus_glaber_male ENSHGLG00100006961
prolemur_simus ENSPSMG00000004556
propithecus_coquereli ENSPCOG00000020572
loxodonta_africana ENSLAFG00000028160
loxodonta_africana ENSLAFG00000032703
loxodonta_africana ENSLAFG00000026877
procavia_capensis ENSPCAG00000000454
loxodonta_africana ENSLAFG00000030599
loxodonta_africana ENSLAFG00000028112
loxodonta_africana ENSLAFG00000028136
loxodonta_africana ENSLAFG00000031876
procavia_capensis ENSPCAG00000000449
