xiphophorus_couchianus ENSXCOG00000009991
cyprinodon_variegatus ENSCVAG00000007066
kryptolebias_marmoratus ENSKMAG00000010753
pundamilia_nyererei ENSPNYG00000017640
haplochromis_burtoni ENSHBUG00000010053
neolamprologus_brichardi ENSNBRG00000023929
amphiprion_percula ENSAPEG00000004685
scophthalmus_maximus ENSSMAG00000006894
hippocampus_comes ENSHCOG00000013270
takifugu_rubripes ENSTRUG00000024000
esox_lucius ENSELUG00000001538
paramormyrops_kingsleyae ENSPKIG00000009497
manacus_vitellinus ENSMVIG00005003696
manacus_vitellinus ENSMVIG00005001270
lepidothrix_coronata ENSLCOG00000006528
taeniopygia_guttata ENSTGUG00000015023
nothoprocta_perdicaria ENSNPEG00000007222
notechis_scutatus ENSNSUG00000000658
nannospalax_galili ENSNGAG00000015989
mesocricetus_auratus ENSMAUG00000008516
equus_asinus_asinus ENSEASG00005000170
cebus_capucinus ENSCCAG00000036919
ornithorhynchus_anatinus ENSOANG00000020481
eptatretus_burgeri ENSEBUG00000011168
ciona_savignyi ENSCSAVG00000003495
