canis_lupus_dingo ENSCAFG00020013378
vulpes_vulpes ENSVVUG00000009732
ursus_americanus ENSUAMG00000007517
cricetulus_griseus_chok1gshd ENSCGRG00001017398
cricetulus_griseus_crigri-picr ENSCGRG00015016582
mesocricetus_auratus ENSMAUG00000001247
rattus_norvegicus ENSRNOG00000059863
mus_spicilegus ENSMSIG00000026779
meriones_unguiculatus ENSMUGG00000000267
peromyscus_maniculatus_bairdii ENSPEMG00000031137
castor_canadensis ENSCCNG00000020640
urocitellus_parryii ENSUPAG00010017072
equus_asinus_asinus ENSEASG00005002740
equus_caballus ENSECAG00000029157
bison_bison_bison ENSBBBG00000006520
bos_taurus ENSBTAG00000048992
capra_hircus ENSCHIG00000020896
sus_scrofa ENSSSCG00000032870
panthera_pardus ENSPPRG00000022520
felis_catus ENSFCAG00000044428
neovison_vison ENSNVIG00000004408
theropithecus_gelada ENSTGEG00000008660
piliocolobus_tephrosceles ENSPTEG00000037525
prolemur_simus ENSPSMG00000024497
phascolarctos_cinereus ENSPCIG00000006129
