monopterus_albus ENSMALG00000015616
mastacembelus_armatus ENSMAMG00000021114
gasterosteus_aculeatus ENSGACG00000009141
maylandia_zebra ENSMZEG00005027575
pundamilia_nyererei ENSPNYG00000006713
astatotilapia_calliptera ENSACLG00000015140
neolamprologus_brichardi ENSNBRG00000017944
stegastes_partitus ENSSPAG00000008287
poecilia_latipinna ENSPLAG00000003836
poecilia_formosa ENSPFOG00000023741
cynoglossus_semilaevis ENSCSEG00000016346
gadus_morhua ENSGMOG00000011720
poecilia_formosa ENSPFOG00000024152
danio_rerio ENSDARG00000101911
paramormyrops_kingsleyae ENSPKIG00000025233
pelodiscus_sinensis ENSPSIG00000015505
taeniopygia_guttata ENSTGUG00000016437
anolis_carolinensis ENSACAG00000025859
propithecus_coquereli ENSPCOG00000016662
carlito_syrichta ENSTSYG00000031260
tupaia_belangeri ENSTBEG00000007331
nannospalax_galili ENSNGAG00000017790
meriones_unguiculatus ENSMUGG00000010851
castor_canadensis ENSCCNG00000012023
spermophilus_dauricus ENSSDAG00000011254
sorex_araneus ENSSARG00000003790
erinaceus_europaeus ENSEEUG00000002605
ailuropoda_melanoleuca ENSAMEG00000018985
echinops_telfairi ENSETEG00000003219
sarcophilus_harrisii ENSSHAG00000016304
monodelphis_domestica ENSMODG00000029622
ornithorhynchus_anatinus ENSOANG00000006260
