xenopus_tropicalis ENSXETG00000034170
paramormyrops_kingsleyae ENSPKIG00000002429
anolis_carolinensis ENSACAG00000003397
pogona_vitticeps ENSPVIG00000025046
notechis_scutatus ENSNSUG00000019048
salvator_merianae ENSSMRG00000017682
sphenodon_punctatus ENSSPUG00000007079
manacus_vitellinus ENSMVIG00005016633
lepidothrix_coronata ENSLCOG00000007945
serinus_canaria ENSSCAG00000013049
zonotrichia_albicollis ENSZALG00000010515
taeniopygia_guttata ENSTGUG00000000622
lonchura_striata_domestica ENSLSDG00000000323
parus_major ENSPMJG00000007716
cyanistes_caeruleus ENSCCEG00000007556
ficedula_albicollis ENSFALG00000008445
calidris_pugnax ENSCPUG00000000837
calidris_pygmaea ENSCPGG00000015450
melopsittacus_undulatus ENSMUNG00000005681
anser_brachyrhynchus ENSABRG00000016868
anas_platyrhynchos_platyrhynchos ENSAPLG00000013888
coturnix_japonica ENSCJPG00005011338
meleagris_gallopavo ENSMGAG00000004996
gallus_gallus ENSGALG00000003744
numida_meleagris ENSNMEG00000018041
apteryx_rowi ENSARWG00000005104
apteryx_owenii ENSAOWG00000010179
apteryx_haastii ENSAHAG00000001480
dromaius_novaehollandiae ENSDNVG00000001894
nothoprocta_perdicaria ENSNPEG00000004994
crocodylus_porosus ENSCPRG00005013333
chrysemys_picta_bellii ENSCPBG00000001605
chrysemys_picta_bellii ENSCPBG00000001580
gopherus_agassizii ENSGAGG00000016989
chelonoidis_abingdonii ENSCABG00000007470
pelodiscus_sinensis ENSPSIG00000004119
ursus_americanus ENSUAMG00000013348
ursus_maritimus ENSUMAG00000000795
ailuropoda_melanoleuca ENSAMEG00000006282
neovison_vison ENSNVIG00000004808
mustela_putorius_furo ENSMPUG00000013467
canis_lupus_familiaris ENSCAFG00000017357
canis_lupus_dingo ENSCAFG00020025536
vulpes_vulpes ENSVVUG00000004275
panthera_tigris_altaica ENSPTIG00000006421
panthera_pardus ENSPPRG00000010823
felis_catus ENSFCAG00000009956
equus_caballus ENSECAG00000017922
equus_asinus_asinus ENSEASG00005000769
bos_mutus ENSBMUG00000015040
bos_taurus ENSBTAG00000003836
bison_bison_bison ENSBBBG00000022757
ovis_aries ENSOARG00000012373
capra_hircus ENSCHIG00000005265
tursiops_truncatus ENSTTRG00000013117
sus_scrofa ENSSSCG00000017052
vicugna_pacos ENSVPAG00000007837
pteropus_vampyrus ENSPVAG00000010247
myotis_lucifugus ENSMLUG00000015885
erinaceus_europaeus ENSEEUG00000014777
castor_canadensis ENSCCNG00000021620
dipodomys_ordii ENSDORG00000013834
meriones_unguiculatus ENSMUGG00000016729
rattus_norvegicus ENSRNOG00000042980
cricetulus_griseus_chok1gshd ENSCGRG00001021524
cricetulus_griseus_crigri-picr ENSCGRG00015023306
cricetulus_griseus_crigri ENSCGRG00000001505
mesocricetus_auratus ENSMAUG00000001628
microtus_ochrogaster ENSMOCG00000013055
meriones_unguiculatus ENSMUGG00000016201
nannospalax_galili ENSNGAG00000019068
jaculus_jaculus ENSJJAG00000012218
chinchilla_lanigera ENSCLAG00000012647
octodon_degus ENSODEG00000009808
cavia_porcellus ENSCPOG00000007717
cavia_aperea ENSCAPG00000017443
heterocephalus_glaber_female ENSHGLG00000015559
heterocephalus_glaber_male ENSHGLG00100011558
fukomys_damarensis ENSFDAG00000014638
oryctolagus_cuniculus ENSOCUG00000001235
ochotona_princeps ENSOPRG00000003215
pan_troglodytes ENSPTRG00000017470
pan_paniscus ENSPPAG00000032090
homo_sapiens ENSG00000135074
gorilla_gorilla ENSGGOG00000014156
nomascus_leucogenys ENSNLEG00000004135
theropithecus_gelada ENSTGEG00000008424
papio_anubis ENSPANG00000011296
cercocebus_atys ENSCATG00000032288
macaca_nemestrina ENSMNEG00000043474
macaca_fascicularis ENSMFAG00000034190
macaca_mulatta ENSMMUG00000021549
chlorocebus_sabaeus ENSCSAG00000010615
mandrillus_leucophaeus ENSMLEG00000034880
rhinopithecus_roxellana ENSRROG00000008888
rhinopithecus_bieti ENSRBIG00000032143
piliocolobus_tephrosceles ENSPTEG00000012643
colobus_angolensis_palliatus ENSCANG00000043253
saimiri_boliviensis_boliviensis ENSSBOG00000006447
callithrix_jacchus ENSCJAG00000018932
cebus_capucinus ENSCCAG00000028595
aotus_nancymaae ENSANAG00000028302
carlito_syrichta ENSTSYG00000006366
prolemur_simus ENSPSMG00000006256
microcebus_murinus ENSMICG00000001011
propithecus_coquereli ENSPCOG00000014653
otolemur_garnettii ENSOGAG00000006295
tupaia_belangeri ENSTBEG00000007656
choloepus_hoffmanni ENSCHOG00000004887
dasypus_novemcinctus ENSDNOG00000002208
loxodonta_africana ENSLAFG00000028268
procavia_capensis ENSPCAG00000007791
echinops_telfairi ENSETEG00000001054
notamacropus_eugenii ENSMEUG00000006345
sarcophilus_harrisii ENSSHAG00000016446
ornithorhynchus_anatinus ENSOANG00000005077
latimeria_chalumnae ENSLACG00000015210
astyanax_mexicanus ENSAMXG00000013794
pygocentrus_nattereri ENSPNAG00000022567
ictalurus_punctatus ENSIPUG00000003200
danio_rerio ENSDARG00000067545
paramormyrops_kingsleyae ENSPKIG00000002484
seriola_lalandi_dorsalis ENSSLDG00000003450
seriola_dumerili ENSSDUG00000009819
scophthalmus_maximus ENSSMAG00000008967
mastacembelus_armatus ENSMAMG00000012283
monopterus_albus ENSMALG00000005029
anabas_testudineus ENSATEG00000001474
