gasterosteus_aculeatus ENSGACG00000014150
tetraodon_nigroviridis ENSTNIG00000001084
poecilia_mexicana ENSPMEG00000008511
poecilia_formosa ENSPFOG00000001286
poecilia_latipinna ENSPLAG00000013053
poecilia_reticulata ENSPREG00000007421
xiphophorus_maculatus ENSXMAG00000008029
xiphophorus_couchianus ENSXCOG00000017420
cyprinodon_variegatus ENSCVAG00000007825
oryzias_melastigma ENSOMEG00000003563
acanthochromis_polyacanthus ENSAPOG00000006291
amphiprion_percula ENSAPEG00000017889
oreochromis_niloticus ENSONIG00000011987
astatotilapia_calliptera ENSACLG00000027131
mastacembelus_armatus ENSMAMG00000009596
monopterus_albus ENSMALG00000008665
hippocampus_comes ENSHCOG00000012591
cynoglossus_semilaevis ENSCSEG00000014035
haplochromis_burtoni ENSHBUG00000016122
maylandia_zebra ENSMZEG00005006226
stegastes_partitus ENSSPAG00000001709
scophthalmus_maximus ENSSMAG00000002123
mola_mola ENSMMOG00000004373
periophthalmus_magnuspinnatus ENSPMGG00000015414
esox_lucius ENSELUG00000002202
ictalurus_punctatus ENSIPUG00000004401
danio_rerio ENSDARG00000020863
paramormyrops_kingsleyae ENSPKIG00000010094
oryzias_latipes_asm223469v1 ENSORLG00015017664
oryzias_latipes ENSORLG00020019535
oryzias_latipes ENSORLG00000004099
kryptolebias_marmoratus ENSKMAG00000007273
takifugu_rubripes ENSTRUG00000024622
seriola_dumerili ENSSDUG00000010380
neolamprologus_brichardi ENSNBRG00000014266
amphilophus_citrinellus ENSACIG00000018141
haplochromis_burtoni ENSHBUG00000016146
stegastes_partitus ENSSPAG00000001693
gambusia_affinis ENSGAFG00000019637
scophthalmus_maximus ENSSMAG00000002136
seriola_lalandi_dorsalis ENSSLDG00000003613
anabas_testudineus ENSATEG00000005457
periophthalmus_magnuspinnatus ENSPMGG00000015417
gadus_morhua ENSGMOG00000013617
scleropages_formosus ENSSFOG00015012209
esox_lucius ENSELUG00000002205
eptatretus_burgeri ENSEBUG00000016661
esox_lucius ENSELUG00000006957
ictalurus_punctatus ENSIPUG00000022693
paramormyrops_kingsleyae ENSPKIG00000023511
phascolarctos_cinereus ENSPCIG00000030073
notamacropus_eugenii ENSMEUG00000009038
ornithorhynchus_anatinus ENSOANG00000008031
mus_musculus ENSMUSG00000020707
mus_spicilegus ENSMSIG00000008044
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017678
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016834
mus_pahari MGP_PahariEiJ_G0017971
pogona_vitticeps ENSPVIG00000000480
anolis_carolinensis ENSACAG00000009640
notechis_scutatus ENSNSUG00000001797
salvator_merianae ENSSMRG00000005729
sphenodon_punctatus ENSSPUG00000005139
dromaius_novaehollandiae ENSDNVG00000011950
apteryx_owenii ENSAOWG00000003290
calidris_pugnax ENSCPUG00000001786
calidris_pygmaea ENSCPGG00000000243
melopsittacus_undulatus ENSMUNG00000000232
serinus_canaria ENSSCAG00000014140
lonchura_striata_domestica ENSLSDG00000015398
junco_hyemalis ENSJHYG00000013268
zonotrichia_albicollis ENSZALG00000017533
cyanistes_caeruleus ENSCCEG00000016883
taeniopygia_guttata ENSTGUG00000017138
taeniopygia_guttata ENSTGUG00000004915
ficedula_albicollis ENSFALG00000002290
parus_major ENSPMJG00000018054
lepidothrix_coronata ENSLCOG00000000716
manacus_vitellinus ENSMVIG00005011489
anas_platyrhynchos_platyrhynchos ENSAPLG00000006987
anser_brachyrhynchus ENSABRG00000011669
crocodylus_porosus ENSCPRG00005001843
chrysemys_picta_bellii ENSCPBG00000004765
gopherus_agassizii ENSGAGG00000006229
eptatretus_burgeri ENSEBUG00000006587
