heterocephalus_glaber_male ENSHGLG00100008651
heterocephalus_glaber_female ENSHGLG00000001757
fukomys_damarensis ENSFDAG00000015457
chinchilla_lanigera ENSCLAG00000013746
octodon_degus ENSODEG00000006186
cavia_porcellus ENSCPOG00000002918
cavia_aperea ENSCAPG00000013010
urocitellus_parryii ENSUPAG00010019127
ictidomys_tridecemlineatus ENSSTOG00000015883
marmota_marmota_marmota ENSMMMG00000022153
oryctolagus_cuniculus ENSOCUG00000002692
ochotona_princeps ENSOPRG00000005483
mus_musculus ENSMUSG00000032017
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033225
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032086
mus_pahari MGP_PahariEiJ_G0014955
rattus_norvegicus ENSRNOG00000030910
meriones_unguiculatus ENSMUGG00000017155
cricetulus_griseus_chok1gshd ENSCGRG00001023572
cricetulus_griseus_crigri ENSCGRG00000005942
cricetulus_griseus_crigri-picr ENSCGRG00015013422
mesocricetus_auratus ENSMAUG00000012098
microtus_ochrogaster ENSMOCG00000022422
peromyscus_maniculatus_bairdii ENSPEMG00000019743
nannospalax_galili ENSNGAG00000023666
jaculus_jaculus ENSJJAG00000022344
dipodomys_ordii ENSDORG00000009556
erinaceus_europaeus ENSEEUG00000010145
mus_spicilegus ENSMSIG00000019202
myotis_lucifugus ENSMLUG00000015614
tupaia_belangeri ENSTBEG00000002425
propithecus_coquereli ENSPCOG00000027128
prolemur_simus ENSPSMG00000005336
microcebus_murinus ENSMICG00000011188
otolemur_garnettii ENSOGAG00000001541
cercocebus_atys ENSCATG00000035157
mandrillus_leucophaeus ENSMLEG00000025698
papio_anubis ENSPANG00000003099
macaca_fascicularis ENSMFAG00000036614
macaca_mulatta ENSMMUG00000022347
macaca_nemestrina ENSMNEG00000032182
theropithecus_gelada ENSTGEG00000026109
chlorocebus_sabaeus ENSCSAG00000002460
rhinopithecus_roxellana ENSRROG00000036204
rhinopithecus_bieti ENSRBIG00000028153
piliocolobus_tephrosceles ENSPTEG00000012983
colobus_angolensis_palliatus ENSCANG00000043135
pan_troglodytes ENSPTRG00000004394
pan_paniscus ENSPPAG00000029922
gorilla_gorilla ENSGGOG00000000351
nomascus_leucogenys ENSNLEG00000007406
homo_sapiens ENSG00000149403
pongo_abelii ENSPPYG00000003977
saimiri_boliviensis_boliviensis ENSSBOG00000030277
cebus_capucinus ENSCCAG00000009167
callithrix_jacchus ENSCJAG00000007360
aotus_nancymaae ENSANAG00000029340
ursus_maritimus ENSUMAG00000022880
ursus_americanus ENSUAMG00000025733
ailuropoda_melanoleuca ENSAMEG00000008110
neovison_vison ENSNVIG00000001516
mustela_putorius_furo ENSMPUG00000005636
canis_lupus_familiaris ENSCAFG00000011880
canis_lupus_dingo ENSCAFG00020011891
panthera_pardus ENSPPRG00000006092
panthera_tigris_altaica ENSPTIG00000014961
felis_catus ENSFCAG00000003358
pteropus_vampyrus ENSPVAG00000016473
equus_caballus ENSECAG00000017491
equus_asinus_asinus ENSEASG00005002813
bos_taurus ENSBTAG00000017146
bos_mutus ENSBMUG00000009668
bison_bison_bison ENSBBBG00000018764
capra_hircus ENSCHIG00000008888
ovis_aries ENSOARG00000017917
tursiops_truncatus ENSTTRG00000012094
sus_scrofa ENSSSCG00000015131
loxodonta_africana ENSLAFG00000017260
procavia_capensis ENSPCAG00000011684
echinops_telfairi ENSETEG00000003959
choloepus_hoffmanni ENSCHOG00000007699
dasypus_novemcinctus ENSDNOG00000030953
castor_canadensis ENSCCNG00000004627
spermophilus_dauricus ENSSDAG00000016611
mus_spicilegus ENSMSIG00000005080
carlito_syrichta ENSTSYG00000009409
vulpes_vulpes ENSVVUG00000020755
ornithorhynchus_anatinus ENSOANG00000029031
junco_hyemalis ENSJHYG00000009787
monodelphis_domestica ENSMODG00000013079
sarcophilus_harrisii ENSSHAG00000017028
phascolarctos_cinereus ENSPCIG00000006247
notamacropus_eugenii ENSMEUG00000015175
ornithorhynchus_anatinus ENSOANG00000006269
apteryx_owenii ENSAOWG00000007071
apteryx_haastii ENSAHAG00000001264
apteryx_rowi ENSARWG00000003863
dromaius_novaehollandiae ENSDNVG00000011817
nothoprocta_perdicaria ENSNPEG00000007716
anser_brachyrhynchus ENSABRG00000001143
anas_platyrhynchos_platyrhynchos ENSAPLG00000014007
meleagris_gallopavo ENSMGAG00000002074
coturnix_japonica ENSCJPG00005008705
gallus_gallus ENSGALG00000006638
numida_meleagris ENSNMEG00000012241
lepidothrix_coronata ENSLCOG00000004527
manacus_vitellinus ENSMVIG00005016863
taeniopygia_guttata ENSTGUG00000000432
lonchura_striata_domestica ENSLSDG00000018060
serinus_canaria ENSSCAG00000008163
zonotrichia_albicollis ENSZALG00000010552
ficedula_albicollis ENSFALG00000005946
cyanistes_caeruleus ENSCCEG00000007291
parus_major ENSPMJG00000008633
calidris_pygmaea ENSCPGG00000007723
calidris_pugnax ENSCPUG00000014017
melopsittacus_undulatus ENSMUNG00000009691
crocodylus_porosus ENSCPRG00005003077
gopherus_agassizii ENSGAGG00000002185
chelonoidis_abingdonii ENSCABG00000016930
chrysemys_picta_bellii ENSCPBG00000014090
pelodiscus_sinensis ENSPSIG00000012538
sphenodon_punctatus ENSSPUG00000011460
anolis_carolinensis ENSACAG00000002979
pogona_vitticeps ENSPVIG00000025123
notechis_scutatus ENSNSUG00000012050
salvator_merianae ENSSMRG00000021929
xenopus_tropicalis ENSXETG00000017031
latimeria_chalumnae ENSLACG00000005660
labrus_bergylta ENSLBEG00000020313
gasterosteus_aculeatus ENSGACG00000009072
tetraodon_nigroviridis ENSTNIG00000007787
takifugu_rubripes ENSTRUG00000014993
mola_mola ENSMMOG00000012099
cynoglossus_semilaevis ENSCSEG00000016332
mastacembelus_armatus ENSMAMG00000009964
monopterus_albus ENSMALG00000006057
anabas_testudineus ENSATEG00000011088
