kryptolebias_marmoratus ENSKMAG00000020769
cynoglossus_semilaevis ENSCSEG00000007738
amphiprion_ocellaris ENSAOCG00000002462
amphiprion_percula ENSAPEG00000022057
acanthochromis_polyacanthus ENSAPOG00000017852
stegastes_partitus ENSSPAG00000022271
maylandia_zebra ENSMZEG00005001113
astatotilapia_calliptera ENSACLG00000012771
haplochromis_burtoni ENSHBUG00000018879
pundamilia_nyererei ENSPNYG00000015333
neolamprologus_brichardi ENSNBRG00000014406
oreochromis_niloticus ENSONIG00000015543
amphilophus_citrinellus ENSACIG00000005126
poecilia_formosa ENSPFOG00000023078
poecilia_formosa ENSPFOG00000011534
gambusia_affinis ENSGAFG00000020788
xiphophorus_maculatus ENSXMAG00000003813
xiphophorus_couchianus ENSXCOG00000019764
fundulus_heteroclitus ENSFHEG00000004413
monopterus_albus ENSMALG00000006038
mastacembelus_armatus ENSMAMG00000005196
anabas_testudineus ENSATEG00000010644
labrus_bergylta ENSLBEG00000013790
seriola_dumerili ENSSDUG00000019180
seriola_lalandi_dorsalis ENSSLDG00000022826
periophthalmus_magnuspinnatus ENSPMGG00000009870
danio_rerio ENSDARG00000089183
pygocentrus_nattereri ENSPNAG00000029816
