pongo_abelii ENSPPYG00000029678
gorilla_gorilla ENSGGOG00000040111
mus_spicilegus ENSMSIG00000000893
mus_spicilegus ENSMSIG00000005601
mus_spicilegus ENSMSIG00000000034
mus_spicilegus ENSMSIG00000000230
mus_spicilegus ENSMSIG00000000787
mus_spicilegus ENSMSIG00000003545
mus_spicilegus ENSMSIG00000014916
mus_spicilegus ENSMSIG00000024308
mus_musculus ENSMUSG00000094429
mus_spicilegus ENSMSIG00000022654
mus_musculus ENSMUSG00000060630
mus_spicilegus ENSMSIG00000022825
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016710
mus_musculus ENSMUSG00000069476
mus_pahari MGP_PahariEiJ_G0017846
microtus_ochrogaster ENSMOCG00000008070
bos_taurus ENSBTAG00000040336
ailuropoda_melanoleuca ENSAMEG00000013364
