macaca_fascicularis ENSMFAG00000025922
macaca_mulatta ENSMMUG00000045844
papio_anubis ENSPANG00000030786
papio_anubis ENSPANG00000031208
theropithecus_gelada ENSTGEG00000017482
rhinopithecus_bieti ENSRBIG00000007188
piliocolobus_tephrosceles ENSPTEG00000025173
aotus_nancymaae ENSANAG00000031264
rhinopithecus_bieti ENSRBIG00000044293
rhinopithecus_roxellana ENSRROG00000029449
rhinopithecus_bieti ENSRBIG00000004649
piliocolobus_tephrosceles ENSPTEG00000037179
aotus_nancymaae ENSANAG00000003260
carlito_syrichta ENSTSYG00000030477
sphenodon_punctatus ENSSPUG00000011876
