stegastes_partitus ENSSPAG00000019977
amphiprion_percula ENSAPEG00000021356
amphiprion_percula ENSAPEG00000014736
oreochromis_niloticus ENSONIG00000000239
oreochromis_niloticus ENSONIG00000004182
poecilia_formosa ENSPFOG00000024144
poecilia_formosa ENSPFOG00000023336
labrus_bergylta ENSLBEG00000016527
labrus_bergylta ENSLBEG00000023738
labrus_bergylta ENSLBEG00000025019
labrus_bergylta ENSLBEG00000007939
labrus_bergylta ENSLBEG00000008435
mola_mola ENSMMOG00000013710
scophthalmus_maximus ENSSMAG00000009557
mastacembelus_armatus ENSMAMG00000004038
esox_lucius ENSELUG00000024061
astyanax_mexicanus ENSAMXG00000029414
astyanax_mexicanus ENSAMXG00000029045
astyanax_mexicanus ENSAMXG00000041038
astyanax_mexicanus ENSAMXG00000036874
pygocentrus_nattereri ENSPNAG00000007401
ictalurus_punctatus ENSIPUG00000016557
scleropages_formosus ENSSFOG00015009738
scleropages_formosus ENSSFOG00015009696
lepisosteus_oculatus ENSLOCG00000000342
lepisosteus_oculatus ENSLOCG00000008098
lepisosteus_oculatus ENSLOCG00000000777
