heterocephalus_glaber_female ENSHGLG00000017772
heterocephalus_glaber_male ENSHGLG00100011597
chinchilla_lanigera ENSCLAG00000009022
urocitellus_parryii ENSUPAG00010015099
ictidomys_tridecemlineatus ENSSTOG00000011055
spermophilus_dauricus ENSSDAG00000018543
marmota_marmota_marmota ENSMMMG00000007716
oryctolagus_cuniculus ENSOCUG00000016039
ochotona_princeps ENSOPRG00000006239
propithecus_coquereli ENSPCOG00000018430
microcebus_murinus ENSMICG00000017080
prolemur_simus ENSPSMG00000004166
pan_troglodytes ENSPTRG00000009970
homo_sapiens ENSG00000186496
gorilla_gorilla ENSGGOG00000023692
pan_paniscus ENSPPAG00000017163
pongo_abelii ENSPPYG00000009107
macaca_fascicularis ENSMFAG00000046233
macaca_mulatta ENSMMUG00000009323
macaca_nemestrina ENSMNEG00000017123
cercocebus_atys ENSCATG00000040550
rhinopithecus_bieti ENSRBIG00000043578
rhinopithecus_roxellana ENSRROG00000038696
nomascus_leucogenys ENSNLEG00000006258
theropithecus_gelada ENSTGEG00000013820
saimiri_boliviensis_boliviensis ENSSBOG00000020137
mustela_putorius_furo ENSMPUG00000001156
neovison_vison ENSNVIG00000020525
ursus_americanus ENSUAMG00000025766
ursus_maritimus ENSUMAG00000002052
ailuropoda_melanoleuca ENSAMEG00000000436
canis_lupus_familiaris ENSCAFG00000017895
vulpes_vulpes ENSVVUG00000027572
panthera_pardus ENSPPRG00000006265
panthera_tigris_altaica ENSPTIG00000007050
felis_catus ENSFCAG00000003290
equus_caballus ENSECAG00000031435
equus_asinus_asinus ENSEASG00005016598
pteropus_vampyrus ENSPVAG00000017438
myotis_lucifugus ENSMLUG00000016488
tursiops_truncatus ENSTTRG00000006748
sus_scrofa ENSSSCG00000030018
sorex_araneus ENSSARG00000002245
erinaceus_europaeus ENSEEUG00000014641
procavia_capensis ENSPCAG00000015178
loxodonta_africana ENSLAFG00000022376
echinops_telfairi ENSETEG00000016957
dasypus_novemcinctus ENSDNOG00000041114
sarcophilus_harrisii ENSSHAG00000001356
monodelphis_domestica ENSMODG00000007917
phascolarctos_cinereus ENSPCIG00000016300
