sphenodon_punctatus ENSSPUG00000017384
notechis_scutatus ENSNSUG00000013094
calidris_pygmaea ENSCPGG00000014402
melopsittacus_undulatus ENSMUNG00000011178
manacus_vitellinus ENSMVIG00005001084
lepidothrix_coronata ENSLCOG00000015905
lonchura_striata_domestica ENSLSDG00000012883
anas_platyrhynchos_platyrhynchos ENSAPLG00000004736
nothoprocta_perdicaria ENSNPEG00000003528
chelonoidis_abingdonii ENSCABG00000011456
gopherus_agassizii ENSGAGG00000006218
chelonoidis_abingdonii ENSCABG00000012913
jaculus_jaculus ENSJJAG00000012898
mus_spicilegus ENSMSIG00000010947
dipodomys_ordii ENSDORG00000013704
octodon_degus ENSODEG00000018396
cavia_aperea ENSCAPG00000006157
heterocephalus_glaber_female ENSHGLG00000006194
heterocephalus_glaber_male ENSHGLG00100000527
callithrix_jacchus ENSCJAG00000042939
callithrix_jacchus ENSCJAG00000044549
ursus_maritimus ENSUMAG00000015014
ursus_americanus ENSUAMG00000019244
neovison_vison ENSNVIG00000021311
ursus_americanus ENSUAMG00000003304
poecilia_latipinna ENSPLAG00000010352
ictalurus_punctatus ENSIPUG00000001795
