gasterosteus_aculeatus ENSGACG00000015164
ornithorhynchus_anatinus ENSOANG00000006836
tetraodon_nigroviridis ENSTNIG00000000535
calidris_pygmaea ENSCPGG00000014396
calidris_pugnax ENSCPUG00000016990
melopsittacus_undulatus ENSMUNG00000013799
gallus_gallus ENSGALG00000004538
meleagris_gallopavo ENSMGAG00000002132
coturnix_japonica ENSCJPG00005021339
numida_meleagris ENSNMEG00000016694
anser_brachyrhynchus ENSABRG00000014422
anas_platyrhynchos_platyrhynchos ENSAPLG00000003018
apteryx_owenii ENSAOWG00000016380
apteryx_haastii ENSAHAG00000014018
apteryx_rowi ENSARWG00000000326
dromaius_novaehollandiae ENSDNVG00000014661
nothoprocta_perdicaria ENSNPEG00000009209
crocodylus_porosus ENSCPRG00005005422
chelonoidis_abingdonii ENSCABG00000011503
gopherus_agassizii ENSGAGG00000015993
chrysemys_picta_bellii ENSCPBG00000014629
pelodiscus_sinensis ENSPSIG00000013184
pogona_vitticeps ENSPVIG00000000678
anolis_carolinensis ENSACAG00000015034
notechis_scutatus ENSNSUG00000013663
salvator_merianae ENSSMRG00000010628
sphenodon_punctatus ENSSPUG00000005813
phascolarctos_cinereus ENSPCIG00000001508
notamacropus_eugenii ENSMEUG00000007684
monodelphis_domestica ENSMODG00000004446
sarcophilus_harrisii ENSSHAG00000013472
castor_canadensis ENSCCNG00000012109
dipodomys_ordii ENSDORG00000008100
cricetulus_griseus_crigri-picr ENSCGRG00015012676
cricetulus_griseus_crigri ENSCGRG00000010254
cricetulus_griseus_chok1gshd ENSCGRG00001020838
mesocricetus_auratus ENSMAUG00000014939
peromyscus_maniculatus_bairdii ENSPEMG00000011401
microtus_ochrogaster ENSMOCG00000019938
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015559
mus_musculus ENSMUSG00000026725
mus_spicilegus ENSMSIG00000007516
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014752
mus_pahari MGP_PahariEiJ_G0027988
rattus_norvegicus ENSRNOG00000002548
nannospalax_galili ENSNGAG00000018970
jaculus_jaculus ENSJJAG00000015915
chinchilla_lanigera ENSCLAG00000012508
octodon_degus ENSODEG00000011528
heterocephalus_glaber_female ENSHGLG00000009822
heterocephalus_glaber_male ENSHGLG00100015985
fukomys_damarensis ENSFDAG00000021149
cavia_porcellus ENSCPOG00000012246
cavia_aperea ENSCAPG00000008205
ictidomys_tridecemlineatus ENSSTOG00000010862
urocitellus_parryii ENSUPAG00010002190
marmota_marmota_marmota ENSMMMG00000017452
spermophilus_dauricus ENSSDAG00000013727
ochotona_princeps ENSOPRG00000003715
oryctolagus_cuniculus ENSOCUG00000008543
tupaia_belangeri ENSTBEG00000000028
pan_paniscus ENSPPAG00000039665
pan_troglodytes ENSPTRG00000001707
homo_sapiens ENSG00000120332
gorilla_gorilla ENSGGOG00000013336
pongo_abelii ENSPPYG00000000484
nomascus_leucogenys ENSNLEG00000015376
theropithecus_gelada ENSTGEG00000002788
papio_anubis ENSPANG00000005095
cercocebus_atys ENSCATG00000029494
mandrillus_leucophaeus ENSMLEG00000031845
macaca_fascicularis ENSMFAG00000001813
macaca_nemestrina ENSMNEG00000044188
chlorocebus_sabaeus ENSCSAG00000011932
colobus_angolensis_palliatus ENSCANG00000040813
piliocolobus_tephrosceles ENSPTEG00000010910
rhinopithecus_roxellana ENSRROG00000037108
rhinopithecus_bieti ENSRBIG00000041977
macaca_mulatta ENSMMUG00000000545
cebus_capucinus ENSCCAG00000035362
saimiri_boliviensis_boliviensis ENSSBOG00000024049
callithrix_jacchus ENSCJAG00000008930
aotus_nancymaae ENSANAG00000036010
carlito_syrichta ENSTSYG00000001364
propithecus_coquereli ENSPCOG00000021686
microcebus_murinus ENSMICG00000004867
prolemur_simus ENSPSMG00000021991
otolemur_garnettii ENSOGAG00000014283
ursus_americanus ENSUAMG00000017108
ursus_maritimus ENSUMAG00000020200
ailuropoda_melanoleuca ENSAMEG00000000177
mustela_putorius_furo ENSMPUG00000004869
neovison_vison ENSNVIG00000012486
canis_lupus_familiaris ENSCAFG00000014353
canis_lupus_dingo ENSCAFG00020017053
vulpes_vulpes ENSVVUG00000014054
panthera_pardus ENSPPRG00000002699
panthera_tigris_altaica ENSPTIG00000009079
felis_catus ENSFCAG00000008594
pteropus_vampyrus ENSPVAG00000001983
myotis_lucifugus ENSMLUG00000001253
bison_bison_bison ENSBBBG00000003322
bos_taurus ENSBTAG00000015650
bos_mutus ENSBMUG00000004709
capra_hircus ENSCHIG00000016451
ovis_aries ENSOARG00000013897
tursiops_truncatus ENSTTRG00000010410
sus_scrofa ENSSSCG00000015507
vicugna_pacos ENSVPAG00000008688
equus_asinus_asinus ENSEASG00005016932
equus_caballus ENSECAG00000011669
loxodonta_africana ENSLAFG00000015501
procavia_capensis ENSPCAG00000000153
echinops_telfairi ENSETEG00000001909
choloepus_hoffmanni ENSCHOG00000011807
dasypus_novemcinctus ENSDNOG00000008187
erinaceus_europaeus ENSEEUG00000003989
ornithorhynchus_anatinus ENSOANG00000000933
xenopus_tropicalis ENSXETG00000020064
latimeria_chalumnae ENSLACG00000008504
lepisosteus_oculatus ENSLOCG00000002387
