poecilia_mexicana ENSPMEG00000019989
poecilia_latipinna ENSPLAG00000003859
poecilia_formosa ENSPFOG00000016295
poecilia_reticulata ENSPREG00000023188
xiphophorus_maculatus ENSXMAG00000019807
gambusia_affinis ENSGAFG00000006521
cyprinodon_variegatus ENSCVAG00000004108
fundulus_heteroclitus ENSFHEG00000005395
oryzias_latipes_asm223469v1 ENSORLG00015001426
oryzias_latipes ENSORLG00020016619
oryzias_latipes ENSORLG00000011435
oryzias_melastigma ENSOMEG00000022340
amphiprion_percula ENSAPEG00000015740
amphiprion_ocellaris ENSAOCG00000003466
acanthochromis_polyacanthus ENSAPOG00000001860
mastacembelus_armatus ENSMAMG00000019881
monopterus_albus ENSMALG00000002531
astatotilapia_calliptera ENSACLG00000026010
maylandia_zebra ENSMZEG00005008327
pundamilia_nyererei ENSPNYG00000017777
haplochromis_burtoni ENSHBUG00000010529
neolamprologus_brichardi ENSNBRG00000015785
oreochromis_niloticus ENSONIG00000009920
amphilophus_citrinellus ENSACIG00000009753
scophthalmus_maximus ENSSMAG00000008876
mola_mola ENSMMOG00000003410
kryptolebias_marmoratus ENSKMAG00000015801
labrus_bergylta ENSLBEG00000012963
anabas_testudineus ENSATEG00000017579
seriola_lalandi_dorsalis ENSSLDG00000023246
seriola_dumerili ENSSDUG00000005175
cynoglossus_semilaevis ENSCSEG00000011973
takifugu_rubripes ENSTRUG00000021829
stegastes_partitus ENSSPAG00000010499
hippocampus_comes ENSHCOG00000012233
gadus_morhua ENSGMOG00000019810
esox_lucius ENSELUG00000015914
astyanax_mexicanus ENSAMXG00000026285
pygocentrus_nattereri ENSPNAG00000027225
danio_rerio ENSDARG00000039543
scleropages_formosus ENSSFOG00015003890
paramormyrops_kingsleyae ENSPKIG00000006507
lepisosteus_oculatus ENSLOCG00000018238
pogona_vitticeps ENSPVIG00000004526
anolis_carolinensis ENSACAG00000005071
notechis_scutatus ENSNSUG00000017769
salvator_merianae ENSSMRG00000023024
sphenodon_punctatus ENSSPUG00000013319
apteryx_owenii ENSAOWG00000017846
apteryx_rowi ENSARWG00000013620
apteryx_haastii ENSAHAG00000018503
dromaius_novaehollandiae ENSDNVG00000015198
nothoprocta_perdicaria ENSNPEG00000006071
gallus_gallus ENSGALG00000027579
coturnix_japonica ENSCJPG00005007475
meleagris_gallopavo ENSMGAG00000016139
numida_meleagris ENSNMEG00000012431
anser_brachyrhynchus ENSABRG00000018827
lonchura_striata_domestica ENSLSDG00000015179
taeniopygia_guttata ENSTGUG00000000454
serinus_canaria ENSSCAG00000007803
junco_hyemalis ENSJHYG00000003685
cyanistes_caeruleus ENSCCEG00000017439
parus_major ENSPMJG00000009353
ficedula_albicollis ENSFALG00000005093
lepidothrix_coronata ENSLCOG00000013723
manacus_vitellinus ENSMVIG00005015997
melopsittacus_undulatus ENSMUNG00000008184
calidris_pygmaea ENSCPGG00000012770
calidris_pugnax ENSCPUG00000012486
crocodylus_porosus ENSCPRG00005015236
gopherus_agassizii ENSGAGG00000017604
chelonoidis_abingdonii ENSCABG00000009769
pelodiscus_sinensis ENSPSIG00000017909
oryctolagus_cuniculus ENSOCUG00000025692
ochotona_princeps ENSOPRG00000018417
loxodonta_africana ENSLAFG00000020645
pteropus_vampyrus ENSPVAG00000013059
myotis_lucifugus ENSMLUG00000027328
sus_scrofa ENSSSCG00000026981
pan_troglodytes ENSPTRG00000013877
pan_paniscus ENSPPAG00000033507
homo_sapiens ENSG00000243927
gorilla_gorilla ENSGGOG00000043405
pongo_abelii ENSPPYG00000011386
nomascus_leucogenys ENSNLEG00000033707
cercocebus_atys ENSCATG00000005273
papio_anubis ENSPANG00000033815
macaca_fascicularis ENSMFAG00000032733
macaca_mulatta ENSMMUG00000023156
macaca_nemestrina ENSMNEG00000004266
mandrillus_leucophaeus ENSMLEG00000042372
theropithecus_gelada ENSTGEG00000025624
chlorocebus_sabaeus ENSCSAG00000009933
rhinopithecus_bieti ENSRBIG00000003438
rhinopithecus_roxellana ENSRROG00000040127
colobus_angolensis_palliatus ENSCANG00000041718
piliocolobus_tephrosceles ENSPTEG00000005675
cebus_capucinus ENSCCAG00000024506
saimiri_boliviensis_boliviensis ENSSBOG00000034972
callithrix_jacchus ENSCJAG00000043803
aotus_nancymaae ENSANAG00000022450
neovison_vison ENSNVIG00000006925
mustela_putorius_furo ENSMPUG00000001330
ursus_maritimus ENSUMAG00000020133
ursus_americanus ENSUAMG00000028318
ailuropoda_melanoleuca ENSAMEG00000014707
canis_lupus_familiaris ENSCAFG00000028779
canis_lupus_dingo ENSCAFG00020024603
vulpes_vulpes ENSVVUG00000022921
panthera_tigris_altaica ENSPTIG00000000875
panthera_pardus ENSPPRG00000011728
felis_catus ENSFCAG00000035307
equus_caballus ENSECAG00000012603
equus_asinus_asinus ENSEASG00005006162
castor_canadensis ENSCCNG00000031148
dipodomys_ordii ENSDORG00000028219
mus_spicilegus ENSMSIG00000009156
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020970
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021876
mus_musculus ENSMUSG00000039680
mus_pahari MGP_PahariEiJ_G0016675
rattus_norvegicus ENSRNOG00000059381
meriones_unguiculatus ENSMUGG00000014896
cricetulus_griseus_crigri ENSCGRG00000018105
cricetulus_griseus_chok1gshd ENSCGRG00001004615
cricetulus_griseus_crigri-picr ENSCGRG00015014452
microtus_ochrogaster ENSMOCG00000006588
peromyscus_maniculatus_bairdii ENSPEMG00000023075
nannospalax_galili ENSNGAG00000004525
jaculus_jaculus ENSJJAG00000019018
octodon_degus ENSODEG00000003176
octodon_degus ENSODEG00000019820
octodon_degus ENSODEG00000019042
chinchilla_lanigera ENSCLAG00000004549
heterocephalus_glaber_female ENSHGLG00000011207
heterocephalus_glaber_male ENSHGLG00100016976
fukomys_damarensis ENSFDAG00000014986
cavia_aperea ENSCAPG00000003067
cavia_porcellus ENSCPOG00000036980
marmota_marmota_marmota ENSMMMG00000002370
spermophilus_dauricus ENSSDAG00000010972
ictidomys_tridecemlineatus ENSSTOG00000028147
urocitellus_parryii ENSUPAG00010002819
tursiops_truncatus ENSTTRG00000004878
vicugna_pacos ENSVPAG00000009160
capra_hircus ENSCHIG00000020464
ovis_aries ENSOARG00000012707
bos_mutus ENSBMUG00000008946
bos_taurus ENSBTAG00000012594
bison_bison_bison ENSBBBG00000018831
procavia_capensis ENSPCAG00000002299
propithecus_coquereli ENSPCOG00000013816
prolemur_simus ENSPSMG00000011623
microcebus_murinus ENSMICG00000027621
otolemur_garnettii ENSOGAG00000031219
carlito_syrichta ENSTSYG00000004217
choloepus_hoffmanni ENSCHOG00000003863
dasypus_novemcinctus ENSDNOG00000041980
phascolarctos_cinereus ENSPCIG00000008946
notamacropus_eugenii ENSMEUG00000006954
monodelphis_domestica ENSMODG00000021054
ornithorhynchus_anatinus ENSOANG00000002440
xenopus_tropicalis ENSXETG00000032139
latimeria_chalumnae ENSLACG00000011712
eptatretus_burgeri ENSEBUG00000001150
